"var","categoria","Vino","Cerveza","Destilados (whisky, vodka, ron, etc.)","Espumantes","Otros","No consume bebidas alcohólicas"
"P04","Gran excedente habitual",0.014,0.016,0.04,0.005,0.005,0.003
"P04","Gran excedente excepcional",0.01,0.009,0.013,0,0,0.002
"P04","Pequeño excedente habitual",0.079,0.097,0.055,0.022,0.04,0.02
"P04","Pequeño excedente excepcional",0.081,0.083,0.118,0.024,0.058,0.028
"P04","Alcanza gastos familia",0.187,0.174,0.205,0.062,0.115,0.104
"P04","No alcanza gastos familia",0.148,0.141,0.112,0.153,0.16,0.191
"P04","Solo NBFamiliares",0.261,0.283,0.267,0.275,0.268,0.261
"P04","No alcanza NBFamiliares",0.203,0.173,0.186,0.455,0.346,0.367
"P04","No sabe",0.017,0.024,0.004,0.004,0.008,0.024
"P05","Todos los días",0.219,0.176,0.238,0.275,0.205,0.166
"P05","Entre 4 y 6 días a la semana",0.319,0.308,0.342,0.23,0.273,0.235
"P05","Entre 1 y 3 días a la semana",0.327,0.325,0.199,0.305,0.279,0.337
"P05","Raramente",0.117,0.158,0.184,0.161,0.176,0.204
"P05","Nunca",0.018,0.033,0.037,0.029,0.067,0.058
"P06","Todos los días",0.106,0.06,0.13,0.104,0.056,0.056
"P06","Entre 4 y 6 días a la semana",0.213,0.286,0.263,0.173,0.238,0.177
"P06","Entre 1 y 3 días a la semana",0.48,0.413,0.479,0.395,0.343,0.354
"P06","Raramente",0.165,0.207,0.116,0.267,0.284,0.309
"P06","Nunca",0.036,0.034,0.012,0.061,0.079,0.104
"P07","Todos los días",0.085,0.066,0.158,0.064,0.055,0.074
"P07","Entre 4 y 6 días a la semana",0.22,0.213,0.209,0.206,0.197,0.191
"P07","Entre 1 y 3 días a la semana",0.496,0.492,0.456,0.404,0.398,0.384
"P07","Raramente",0.163,0.189,0.135,0.275,0.285,0.281
"P07","Nunca",0.036,0.04,0.042,0.051,0.065,0.07
"P08","Todos los días",0.045,0.068,0.111,0.058,0.029,0.021
"P08","Entre 4 y 6 días a la semana",0.063,0.112,0.097,0.12,0.066,0.077
"P08","Entre 1 y 3 días a la semana",0.213,0.243,0.31,0.245,0.229,0.125
"P08","Raramente",0.469,0.452,0.376,0.407,0.428,0.415
"P08","Nunca",0.21,0.125,0.106,0.17,0.248,0.362
"P09","Todos los días",0.102,0.119,0.13,0.083,0.051,0.071
"P09","Entre 4 y 6 días a la semana",0.142,0.185,0.171,0.167,0.179,0.112
"P09","Entre 1 y 3 días a la semana",0.282,0.331,0.391,0.224,0.199,0.215
"P09","Raramente",0.37,0.313,0.258,0.427,0.393,0.43
"P09","Nunca",0.104,0.052,0.05,0.099,0.178,0.172
"P10","Todos los días",0.255,0.165,0.181,0.081,0.115,0.151
"P10","Entre 4 y 6 días a la semana",0.212,0.216,0.235,0.205,0.211,0.127
"P10","Entre 1 y 3 días a la semana",0.307,0.326,0.263,0.291,0.258,0.258
"P10","Raramente",0.18,0.248,0.246,0.367,0.277,0.341
"P10","Nunca",0.046,0.045,0.075,0.056,0.139,0.123
"P11","Todos los días",0.36,0.301,0.371,0.173,0.201,0.192
"P11","Entre 4 y 6 días a la semana",0.18,0.204,0.185,0.155,0.192,0.153
"P11","Entre 1 y 3 días a la semana",0.237,0.256,0.233,0.293,0.238,0.269
"P11","Raramente",0.162,0.195,0.168,0.318,0.259,0.279
"P11","Nunca",0.061,0.044,0.043,0.061,0.11,0.107
"P12","Todos los días",0.076,0.065,0.155,0.098,0.058,0.045
"P12","Entre 4 y 6 días a la semana",0.101,0.151,0.104,0.09,0.101,0.09
"P12","Entre 1 y 3 días a la semana",0.341,0.318,0.358,0.293,0.293,0.288
"P12","Raramente",0.397,0.397,0.313,0.461,0.401,0.398
"P12","Nunca",0.085,0.069,0.07,0.058,0.147,0.179
"P13","Todos los días",0.296,0.28,0.281,0.13,0.258,0.248
"P13","Entre 4 y 6 días a la semana",0.238,0.315,0.265,0.203,0.235,0.202
"P13","Entre 1 y 3 días a la semana",0.326,0.275,0.288,0.303,0.227,0.285
"P13","Raramente",0.111,0.122,0.153,0.328,0.205,0.207
"P13","Nunca",0.029,0.008,0.013,0.036,0.075,0.058
"P14","Todos los días",0.133,0.114,0.186,0.107,0.157,0.105
"P14","Entre 4 y 6 días a la semana",0.219,0.291,0.198,0.24,0.218,0.209
"P14","Entre 1 y 3 días a la semana",0.397,0.387,0.414,0.324,0.332,0.361
"P14","Raramente",0.212,0.185,0.143,0.3,0.202,0.241
"P14","Nunca",0.039,0.023,0.059,0.029,0.091,0.084
"P15","Menos de un vaso al día",0.083,0.086,0.057,0.099,0.137,0.085
"P15","De 1 a 4 vasos al día",0.376,0.365,0.303,0.314,0.31,0.331
"P15","Más de 4 vasos al día",0.492,0.488,0.532,0.477,0.474,0.518
"P15","No consume agua",0.049,0.061,0.108,0.11,0.079,0.066
"P16","Agua embotellada/mineral",0.187,0.173,0.148,0.115,0.151,0.133
"P16","Agua de la canilla filtrada",0.333,0.302,0.298,0.336,0.276,0.294
"P16","Agua de la canilla directamente",0.356,0.41,0.409,0.385,0.464,0.444
"P16","Agua de bidón",0.115,0.114,0.087,0.147,0.09,0.121
"P16","No consume agua",0.009,0.001,0.058,0.017,0.019,0.008
"P17","Todos los días",0.166,0.043,0.071,0.024,0.025,0.032
"P17","Entre 4 y 6 días a la semana",0.133,0.184,0.05,0.015,0.033,0.065
"P17","Entre 1 y 3 días a la semana",0.295,0.293,0.609,0.044,0.086,0.11
"P17","Raramente",0.383,0.455,0.231,0.907,0.305,0.162
"P17","Nunca",0.023,0.025,0.039,0.01,0.551,0.631
"P19","Todos los días",0.236,0.094,0.099,0.078,0.068,0.08
"P19","Entre 4 y 6 días a la semana",0.073,0.225,0.106,0.088,0.097,0.079
"P19","Entre 1 y 3 días a la semana",0.138,0.198,0.378,0.166,0.18,0.155
"P19","Raramente",0.34,0.344,0.3,0.546,0.378,0.407
"P19","Nunca",0.213,0.139,0.117,0.122,0.277,0.279
"P20","Todos los días",0.583,0.591,0.439,0.361,0.408,0.497
