"var","categoria","Todos los días","Entre 4 y 6 días a la semana","Entre 1 y 3 días a la semana","Raramente","Nunca"
"P04","Gran excedente habitual",0.012,0.027,0.017,0.006,0.004
"P04","Gran excedente excepcional",0.033,0,0.007,0.004,0.001
"P04","Pequeño excedente habitual",0.072,0.053,0.067,0.058,0.025
"P04","Pequeño excedente excepcional",0.084,0.073,0.083,0.049,0.037
"P04","Alcanza gastos familia",0.184,0.151,0.174,0.149,0.093
"P04","No alcanza gastos familia",0.112,0.139,0.162,0.168,0.174
"P04","Solo NBFamiliares",0.201,0.275,0.286,0.273,0.257
"P04","No alcanza NBFamiliares",0.262,0.27,0.189,0.279,0.385
"P04","No sabe",0.04,0.012,0.015,0.014,0.024
"P05","Todos los días",0.281,0.196,0.211,0.186,0.168
"P05","Entre 4 y 6 días a la semana",0.228,0.318,0.318,0.282,0.243
"P05","Entre 1 y 3 días a la semana",0.276,0.258,0.323,0.357,0.299
"P05","Raramente",0.147,0.191,0.127,0.156,0.209
"P05","Nunca",0.068,0.037,0.021,0.019,0.081
"P06","Todos los días",0.201,0.095,0.077,0.07,0.054
"P06","Entre 4 y 6 días a la semana",0.268,0.341,0.221,0.203,0.172
"P06","Entre 1 y 3 días a la semana",0.301,0.338,0.474,0.452,0.333
"P06","Raramente",0.146,0.181,0.182,0.241,0.326
"P06","Nunca",0.084,0.045,0.046,0.034,0.115
"P07","Todos los días",0.173,0.086,0.083,0.064,0.069
"P07","Entre 4 y 6 días a la semana",0.226,0.319,0.197,0.2,0.179
"P07","Entre 1 y 3 días a la semana",0.353,0.387,0.506,0.457,0.383
"P07","Raramente",0.155,0.16,0.182,0.244,0.287
"P07","Nunca",0.093,0.048,0.032,0.035,0.082
"P08","Todos los días",0.165,0.091,0.027,0.037,0.022
"P08","Entre 4 y 6 días a la semana",0.075,0.162,0.085,0.076,0.063
"P08","Entre 1 y 3 días a la semana",0.252,0.208,0.286,0.19,0.119
"P08","Raramente",0.338,0.38,0.432,0.501,0.392
"P08","Nunca",0.17,0.159,0.17,0.196,0.404
"P09","Todos los días",0.196,0.114,0.084,0.086,0.067
"P09","Entre 4 y 6 días a la semana",0.125,0.213,0.155,0.148,0.117
"P09","Entre 1 y 3 días a la semana",0.236,0.238,0.344,0.283,0.188
"P09","Raramente",0.332,0.321,0.318,0.402,0.432
"P09","Nunca",0.111,0.114,0.099,0.081,0.196
"P10","Todos los días",0.311,0.158,0.213,0.139,0.149
"P10","Entre 4 y 6 días a la semana",0.203,0.263,0.202,0.187,0.135
"P10","Entre 1 y 3 días a la semana",0.23,0.271,0.287,0.34,0.23
"P10","Raramente",0.175,0.228,0.243,0.278,0.335
"P10","Nunca",0.081,0.08,0.055,0.056,0.151
"P11","Todos los días",0.45,0.29,0.292,0.253,0.197
"P11","Entre 4 y 6 días a la semana",0.182,0.204,0.197,0.179,0.145
"P11","Entre 1 y 3 días a la semana",0.161,0.213,0.261,0.281,0.255
"P11","Raramente",0.089,0.211,0.211,0.249,0.264
"P11","Nunca",0.118,0.082,0.039,0.038,0.139
"P12","Todos los días",0.208,0.092,0.065,0.047,0.047
"P12","Entre 4 y 6 días a la semana",0.15,0.177,0.103,0.09,0.091
"P12","Entre 1 y 3 días a la semana",0.243,0.308,0.366,0.319,0.276
"P12","Raramente",0.293,0.321,0.383,0.463,0.381
"P12","Nunca",0.106,0.102,0.083,0.081,0.205
"P13","Todos los días",0.396,0.304,0.251,0.237,0.257
"P13","Entre 4 y 6 días a la semana",0.212,0.314,0.249,0.242,0.204
"P13","Entre 1 y 3 días a la semana",0.193,0.21,0.31,0.322,0.269
"P13","Raramente",0.13,0.147,0.151,0.186,0.196
"P13","Nunca",0.069,0.025,0.039,0.013,0.074
"P14","Todos los días",0.217,0.161,0.119,0.112,0.111
"P14","Entre 4 y 6 días a la semana",0.183,0.296,0.257,0.194,0.232
"P14","Entre 1 y 3 días a la semana",0.321,0.372,0.387,0.415,0.318
"P14","Raramente",0.191,0.131,0.195,0.243,0.242
"P14","Nunca",0.088,0.04,0.042,0.036,0.097
"P15","Menos de un vaso al día",0.194,0.121,0.078,0.077,0.09
"P15","De 1 a 4 vasos al día",0.331,0.428,0.322,0.33,0.344
"P15","Más de 4 vasos al día",0.384,0.403,0.514,0.532,0.499
"P15","No consume agua",0.091,0.048,0.086,0.061,0.067
"P16","Agua embotellada/mineral",0.543,0.095,0.127,0.119,0.147
"P16","Agua de la canilla filtrada",0.175,0.708,0.21,0.302,0.275
"P16","Agua de la canilla directamente",0.184,0.148,0.571,0.401,0.45
"P16","Agua de bidón",0.061,0.045,0.086,0.168,0.113
"P16","No consume agua",0.037,0.004,0.006,0.01,0.015
"P18","Vino",0.587,0.336,0.334,0.277,0.017
"P18","Cerveza",0.104,0.317,0.227,0.225,0.013
"P18","Destilados (whisky, vodka, ron, etc.)",0.063,0.032,0.175,0.043,0.007
"P18","Espumantes",0.02,0.009,0.012,0.152,0.002
"P18","Otros",0.045,0.042,0.05,0.112,0.206
"P18","No consume bebidas alcohólicas",0.181,0.264,0.202,0.191,0.755
"P19","Todos los días",0.293,0.189,0.126,0.096,0.081
"P19","Entre 4 y 6 días a la semana",0.134,0.179,0.099,0.107,0.079
"P19","Entre 1 y 3 días a la semana",0.118,0.143,0.257,0.171,0.146
"P19","Raramente",0.257,0.307,0.326,0.439,0.398
"P19","Nunca",0.198,0.182,0.192,0.187,0.296
"P20","Todos los días",0.568,0.473,0.499,0.514,0.516
"P20","Entre 4 y 6 días a la semana",0.06,0.139,0.088,0.093,0.1
"P20","Entre 1 y 3 días a la semana",0.108,0.062,0.131,0.095,0.09
"P20","Raramente",0.12,0.2,0.162,0.183,0.138
"P20","Nunca",0.144,0.126,0.12,0.115,0.156
"P21","Todos los días",0.564,0.532,0.542,0.473,0.482
"P21","Entre 4 y 6 días a la semana",0.109,0.162,0.181,0.187,0.157
"P21","Entre 1 y 3 días a la semana",0.129,0.099,0.142,0.14,0.145
"P21","Raramente",0.105,0.122,0.092,0.157,0.134
"P21","Nunca",0.093,0.085,0.043,0.043,0.082
"P22","Asado",0.532,0.472,0.445,0.396,0.365
"P22","Pizza",0.064,0.112,0.101,0.096,0.074
"P22","Milanesa",0.131,0.152,0.16,0.159,0.165
"P22","Pastas",0.083,0.093,0.116,0.124,0.107
"P22","Empanadas",0.035,0.048,0.053,0.052,0.034
"P22","Hamburguesa",0.005,0.002,0.006,0.014,0.018
"P22","Ensaladas (de cualquier tipo)",0.061,0.021,0.039,0.058,0.069
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.053,0.07,0.059,0.061,0.09
"P22","Polenta o similares (de cualquier tipo)",0.023,0.016,0.006,0.025,0.033
"P22","Ninguno de los anteriores",0.013,0.014,0.015,0.015,0.045
"P23","Asado",0.243,0.199,0.155,0.097,0.062
"P23","Pizza",0.058,0.097,0.069,0.085,0.044
"P23","Milanesa",0.251,0.226,0.232,0.209,0.15
"P23","Pastas",0.107,0.157,0.199,0.194,0.193
"P23","Empanadas",0.04,0.036,0.047,0.047,0.023
"P23","Hamburguesa",0.006,0.025,0.015,0.023,0.023
"P23","Ensaladas (de cualquier tipo)",0.104,0.083,0.08,0.102,0.114
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.098,0.078,0.082,0.115,0.173
"P23","Polenta o similares (de cualquier tipo)",0.046,0.034,0.055,0.062,0.107
"P23","Ninguno de los anteriores",0.047,0.065,0.066,0.066,0.111
"P24","Helado",0.277,0.309,0.268,0.271,0.224
"P24","Tortas, tartas dulces y masas",0.163,0.13,0.158,0.168,0.136
"P24","Ensalada de frutas",0.154,0.165,0.172,0.164,0.175
"P24","Flan, budín de pan y similares",0.141,0.117,0.127,0.119,0.124
"P24","Dulce de batata, membrillo o similares",0.1,0.064,0.074,0.074,0.085
"P24","Facturas de todo tipo",0.018,0.028,0.054,0.035,0.037
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.031,0.031,0.021,0.029,0.026
"P24","Gelatina",0.031,0.033,0.031,0.038,0.052
"P24","Panqueques, wafles y similares",0.013,0.019,0.023,0.028,0.024
"P24","Ninguno de los anteriores",0.072,0.104,0.072,0.074,0.117
"P25","Helado",0.204,0.192,0.127,0.115,0.077
"P25","Tortas, tartas dulces y masas",0.185,0.158,0.174,0.158,0.102
"P25","Ensalada de frutas",0.122,0.103,0.09,0.099,0.097
"P25","Flan, budín de pan y similares",0.062,0.073,0.049,0.073,0.061
"P25","Dulce de batata, membrillo o similares",0.1,0.124,0.101,0.112,0.105
"P25","Facturas de todo tipo",0.049,0.062,0.124,0.09,0.071
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.016,0.008,0.022,0.038,0.032
"P25","Gelatina",0.031,0.03,0.032,0.032,0.072
"P25","Panqueques, wafles y similares",0.002,0.017,0.014,0.018,0.01
"P25","Ninguno de los anteriores",0.229,0.233,0.267,0.265,0.373
