"var","categoria","Asado","Pizza","Milanesa","Pastas","Empanadas","Hamburguesa","Ensaladas (de cualquier tipo)","Guiso (de lentejas, de arroz, locro o similares)","Polenta o similares (de cualquier tipo)","Ninguno de los anteriores"
"P04","Gran excedente habitual",0.014,0.014,0.008,0.006,0.003,0.048,0.01,0.002,0,0.003
"P04","Gran excedente excepcional",0.009,0.007,0.004,0.001,0,0,0.002,0,0,0
"P04","Pequeño excedente habitual",0.057,0.067,0.053,0.036,0.041,0.116,0.056,0.02,0.007,0.081
"P04","Pequeño excedente excepcional",0.067,0.053,0.06,0.063,0.052,0.011,0.064,0.044,0.007,0.024
"P04","Alcanza gastos familia",0.138,0.135,0.177,0.14,0.177,0.088,0.171,0.09,0.024,0.142
"P04","No alcanza gastos familia",0.148,0.149,0.164,0.181,0.184,0.181,0.118,0.197,0.216,0.222
"P04","Solo NBFamiliares",0.268,0.303,0.293,0.261,0.228,0.088,0.316,0.261,0.191,0.211
"P04","No alcanza NBFamiliares",0.283,0.271,0.23,0.277,0.299,0.42,0.254,0.343,0.555,0.282
"P04","No sabe",0.016,0.001,0.011,0.035,0.016,0.048,0.009,0.043,0,0.035
"P05","Todos los días",0.198,0.205,0.179,0.189,0.17,0.249,0.301,0.129,0.093,0.201
"P05","Entre 4 y 6 días a la semana",0.295,0.285,0.262,0.219,0.29,0.245,0.307,0.325,0.196,0.179
"P05","Entre 1 y 3 días a la semana",0.298,0.315,0.364,0.384,0.338,0.327,0.198,0.333,0.245,0.266
"P05","Raramente",0.169,0.17,0.167,0.175,0.144,0.042,0.172,0.177,0.338,0.162
"P05","Nunca",0.04,0.025,0.028,0.033,0.058,0.137,0.022,0.036,0.128,0.192
"P06","Todos los días",0.09,0.047,0.073,0.067,0.075,0.072,0.079,0.07,0.01,0.045
"P06","Entre 4 y 6 días a la semana",0.248,0.258,0.231,0.148,0.136,0.273,0.179,0.212,0.103,0.129
"P06","Entre 1 y 3 días a la semana",0.396,0.381,0.467,0.399,0.474,0.495,0.366,0.358,0.342,0.332
"P06","Raramente",0.212,0.274,0.201,0.277,0.253,0.143,0.297,0.269,0.357,0.265
"P06","Nunca",0.054,0.04,0.028,0.109,0.062,0.017,0.079,0.091,0.188,0.229
"P07","Todos los días",0.086,0.066,0.065,0.073,0.075,0.112,0.1,0.089,0.028,0.077
"P07","Entre 4 y 6 días a la semana",0.217,0.218,0.218,0.19,0.148,0.09,0.145,0.215,0.231,0.159
"P07","Entre 1 y 3 días a la semana",0.446,0.424,0.498,0.406,0.554,0.504,0.418,0.346,0.221,0.301
"P07","Raramente",0.205,0.243,0.2,0.269,0.131,0.065,0.262,0.284,0.428,0.32
"P07","Nunca",0.046,0.049,0.019,0.062,0.092,0.229,0.075,0.066,0.092,0.143
"P08","Todos los días",0.05,0.029,0.04,0.031,0.045,0.233,0.018,0.013,0.004,0.032
"P08","Entre 4 y 6 días a la semana",0.081,0.097,0.103,0.098,0.059,0.18,0.043,0.083,0.01,0.029
"P08","Entre 1 y 3 días a la semana",0.206,0.195,0.246,0.158,0.251,0.093,0.126,0.16,0.065,0.054
"P08","Raramente",0.435,0.452,0.431,0.46,0.373,0.26,0.434,0.425,0.29,0.445
"P08","Nunca",0.228,0.227,0.18,0.253,0.272,0.234,0.379,0.319,0.631,0.44
"P09","Todos los días",0.096,0.088,0.093,0.083,0.089,0.19,0.049,0.063,0.038,0.104
"P09","Entre 4 y 6 días a la semana",0.149,0.154,0.154,0.171,0.152,0.292,0.078,0.115,0.039,0.128
"P09","Entre 1 y 3 días a la semana",0.242,0.343,0.323,0.299,0.237,0.206,0.209,0.173,0.198,0.11
"P09","Raramente",0.387,0.327,0.35,0.331,0.411,0.162,0.512,0.461,0.435,0.391
"P09","Nunca",0.126,0.088,0.08,0.116,0.111,0.15,0.152,0.188,0.29,0.267
"P10","Todos los días",0.178,0.198,0.16,0.165,0.101,0.171,0.298,0.113,0.038,0.204
"P10","Entre 4 y 6 días a la semana",0.192,0.192,0.182,0.155,0.145,0.035,0.218,0.165,0.156,0.138
"P10","Entre 1 y 3 días a la semana",0.272,0.278,0.338,0.334,0.269,0.35,0.192,0.29,0.18,0.178
"P10","Raramente",0.292,0.249,0.266,0.265,0.304,0.274,0.216,0.29,0.41,0.27
"P10","Nunca",0.066,0.083,0.054,0.081,0.181,0.17,0.076,0.142,0.216,0.21
"P11","Todos los días",0.279,0.24,0.266,0.312,0.215,0.235,0.323,0.193,0.041,0.25
"P11","Entre 4 y 6 días a la semana",0.174,0.216,0.192,0.159,0.114,0.14,0.174,0.15,0.119,0.13
"P11","Entre 1 y 3 días a la semana",0.243,0.255,0.278,0.266,0.212,0.265,0.225,0.26,0.383,0.192
"P11","Raramente",0.236,0.226,0.219,0.209,0.317,0.175,0.182,0.257,0.28,0.158
"P11","Nunca",0.068,0.063,0.045,0.054,0.142,0.185,0.096,0.14,0.177,0.27
"P12","Todos los días",0.084,0.058,0.053,0.055,0.062,0.048,0.052,0.041,0.077,0.048
"P12","Entre 4 y 6 días a la semana",0.093,0.147,0.068,0.121,0.066,0.027,0.161,0.181,0.067,0.058
"P12","Entre 1 y 3 días a la semana",0.301,0.334,0.363,0.309,0.266,0.206,0.378,0.335,0.197,0.167
"P12","Raramente",0.402,0.361,0.405,0.423,0.409,0.42,0.319,0.349,0.457,0.403
"P12","Nunca",0.12,0.1,0.111,0.092,0.197,0.299,0.09,0.094,0.202,0.324
"P13","Todos los días",0.278,0.255,0.252,0.286,0.251,0.195,0.215,0.223,0.152,0.266
"P13","Entre 4 y 6 días a la semana",0.251,0.264,0.243,0.24,0.207,0.318,0.122,0.249,0.14,0.166
"P13","Entre 1 y 3 días a la semana",0.271,0.253,0.338,0.289,0.273,0.224,0.37,0.305,0.307,0.193
"P13","Raramente",0.165,0.191,0.157,0.145,0.204,0.13,0.252,0.172,0.243,0.243
"P13","Nunca",0.035,0.037,0.01,0.04,0.065,0.133,0.041,0.051,0.158,0.132
"P14","Todos los días",0.143,0.122,0.097,0.108,0.146,0.068,0.092,0.129,0.086,0.117
"P14","Entre 4 y 6 días a la semana",0.219,0.288,0.242,0.227,0.156,0.112,0.172,0.268,0.267,0.216
"P14","Entre 1 y 3 días a la semana",0.388,0.335,0.408,0.366,0.331,0.374,0.428,0.395,0.248,0.189
"P14","Raramente",0.189,0.24,0.214,0.252,0.223,0.157,0.266,0.15,0.325,0.321
"P14","Nunca",0.061,0.015,0.039,0.047,0.144,0.289,0.042,0.058,0.074,0.157
"P15","Menos de un vaso al día",0.11,0.082,0.058,0.08,0.101,0.072,0.062,0.069,0.122,0.098
"P15","De 1 a 4 vasos al día",0.351,0.359,0.335,0.32,0.331,0.569,0.224,0.338,0.306,0.375
"P15","Más de 4 vasos al día",0.477,0.473,0.559,0.514,0.47,0.352,0.637,0.547,0.463,0.413
"P15","No consume agua",0.062,0.086,0.048,0.086,0.098,0.007,0.077,0.046,0.109,0.114
"P16","Agua embotellada/mineral",0.176,0.121,0.17,0.134,0.083,0.188,0.189,0.091,0.02,0.18
"P16","Agua de la canilla filtrada",0.321,0.307,0.302,0.305,0.296,0.252,0.292,0.288,0.245,0.256
"P16","Agua de la canilla directamente",0.389,0.417,0.424,0.435,0.461,0.405,0.419,0.472,0.555,0.363
"P16","Agua de bidón",0.109,0.147,0.096,0.107,0.117,0.145,0.099,0.144,0.127,0.125
"P16","No consume agua",0.005,0.008,0.008,0.019,0.043,0.01,0.001,0.005,0.053,0.076
"P17","Todos los días",0.083,0.046,0.053,0.048,0.05,0.025,0.072,0.049,0.065,0.035
"P17","Entre 4 y 6 días a la semana",0.107,0.117,0.089,0.078,0.099,0.018,0.037,0.093,0.066,0.055
"P17","Entre 1 y 3 días a la semana",0.225,0.234,0.21,0.216,0.245,0.105,0.15,0.175,0.058,0.132
"P17","Raramente",0.307,0.342,0.321,0.357,0.367,0.382,0.341,0.28,0.355,0.193
"P17","Nunca",0.278,0.261,0.327,0.301,0.239,0.47,0.4,0.403,0.456,0.585
"P18","Vino",0.271,0.194,0.249,0.21,0.23,0.12,0.221,0.215,0.136,0.115
"P18","Cerveza",0.163,0.261,0.169,0.165,0.157,0.16,0.126,0.102,0.063,0.064
"P18","Destilados (whisky, vodka, ron, etc.)",0.076,0.06,0.045,0.043,0.107,0.048,0.036,0.031,0.029,0.055
"P18","Espumantes",0.058,0.06,0.039,0.075,0.053,0.023,0.033,0.017,0.116,0.023
"P18","Otros",0.115,0.141,0.112,0.137,0.129,0.158,0.106,0.089,0.08,0.093
"P18","No consume bebidas alcohólicas",0.317,0.284,0.386,0.37,0.324,0.491,0.478,0.546,0.576,0.65
"P19","Todos los días",0.154,0.067,0.14,0.096,0.084,0.163,0.051,0.07,0.014,0.047
"P19","Entre 4 y 6 días a la semana",0.119,0.145,0.106,0.117,0.078,0.168,0.063,0.04,0.063,0.048
"P19","Entre 1 y 3 días a la semana",0.179,0.226,0.22,0.176,0.206,0.119,0.111,0.085,0.049,0.118
"P19","Raramente",0.347,0.387,0.388,0.39,0.371,0.327,0.342,0.508,0.539,0.417
"P19","Nunca",0.201,0.175,0.146,0.221,0.261,0.223,0.433,0.297,0.335,0.37
"P20","Todos los días",0.538,0.47,0.506,0.476,0.44,0.367,0.544,0.55,0.543,0.392
"P20","Entre 4 y 6 días a la semana",0.093,0.109,0.115,0.085,0.081,0.115,0.052,0.135,0.083,0.064
"P20","Entre 1 y 3 días a la semana",0.086,0.094,0.138,0.085,0.143,0.076,0.103,0.054,0.138,0.085
"P20","Raramente",0.159,0.178,0.15,0.225,0.179,0.079,0.138,0.134,0.14,0.134
"P20","Nunca",0.124,0.149,0.091,0.129,0.157,0.363,0.163,0.127,0.096,0.325
"P21","Todos los días",0.602,0.361,0.465,0.384,0.362,0.644,0.569,0.467,0.343,0.435
"P21","Entre 4 y 6 días a la semana",0.126,0.471,0.157,0.142,0.087,0.136,0.177,0.161,0.213,0.105
"P21","Entre 1 y 3 días a la semana",0.107,0.084,0.273,0.122,0.203,0.092,0.112,0.117,0.139,0.073
"P21","Raramente",0.113,0.048,0.074,0.303,0.072,0.068,0.104,0.157,0.233,0.252
"P21","Nunca",0.052,0.036,0.031,0.049,0.276,0.06,0.038,0.098,0.072,0.135
"P23","Asado",0.241,0.06,0.024,0.019,0.046,0,0.023,0.029,0,0.021
"P23","Pizza",0.055,0.228,0.056,0.05,0.156,0.031,0.015,0.019,0.02,0.052
