"var","categoria","Todos los días","Entre 4 y 6 días a la semana","Entre 1 y 3 días a la semana","Raramente","Nunca"
"P04","Gran excedente habitual",0.01,0.009,0.04,0.009,0.003
"P04","Gran excedente excepcional",0.001,0,0.019,0.007,0.001
"P04","Pequeño excedente habitual",0.056,0.048,0.174,0.072,0.015
"P04","Pequeño excedente excepcional",0.03,0.099,0.144,0.089,0.027
"P04","Alcanza gastos familia",0.133,0.142,0.226,0.21,0.1
"P04","No alcanza gastos familia",0.198,0.155,0.118,0.178,0.167
"P04","Solo NBFamiliares",0.177,0.272,0.13,0.261,0.295
"P04","No alcanza NBFamiliares",0.334,0.263,0.107,0.163,0.379
"P04","No sabe",0.061,0.012,0.042,0.011,0.013
"P05","Todos los días",0.238,0.241,0.248,0.222,0.163
"P05","Entre 4 y 6 días a la semana",0.152,0.349,0.333,0.319,0.239
"P05","Entre 1 y 3 días a la semana",0.331,0.292,0.28,0.319,0.337
"P05","Raramente",0.21,0.09,0.099,0.123,0.204
"P05","Nunca",0.069,0.028,0.04,0.017,0.057
"P06","Todos los días",0.228,0.119,0.119,0.072,0.058
"P06","Entre 4 y 6 días a la semana",0.16,0.321,0.305,0.259,0.168
"P06","Entre 1 y 3 días a la semana",0.38,0.351,0.48,0.447,0.381
"P06","Raramente",0.131,0.194,0.079,0.188,0.312
"P06","Nunca",0.101,0.015,0.017,0.034,0.081
"P07","Todos los días",0.259,0.113,0.098,0.068,0.058
"P07","Entre 4 y 6 días a la semana",0.245,0.222,0.29,0.224,0.174
"P07","Entre 1 y 3 días a la semana",0.253,0.374,0.493,0.497,0.412
"P07","Raramente",0.141,0.263,0.065,0.182,0.299
"P07","Nunca",0.102,0.028,0.054,0.029,0.057
"P08","Todos los días",0.218,0.075,0.048,0.019,0.029
"P08","Entre 4 y 6 días a la semana",0.086,0.115,0.139,0.084,0.057
"P08","Entre 1 y 3 días a la semana",0.15,0.278,0.339,0.217,0.135
"P08","Raramente",0.325,0.351,0.375,0.536,0.405
"P08","Nunca",0.221,0.181,0.099,0.144,0.374
"P09","Todos los días",0.262,0.161,0.14,0.086,0.055
"P09","Entre 4 y 6 días a la semana",0.099,0.136,0.174,0.174,0.119
"P09","Entre 1 y 3 días a la semana",0.188,0.318,0.363,0.288,0.234
"P09","Raramente",0.267,0.272,0.274,0.381,0.426
"P09","Nunca",0.184,0.113,0.049,0.071,0.166
"P10","Todos los días",0.287,0.243,0.269,0.221,0.118
"P10","Entre 4 y 6 días a la semana",0.178,0.16,0.286,0.233,0.131
"P10","Entre 1 y 3 días a la semana",0.21,0.319,0.237,0.305,0.287
"P10","Raramente",0.228,0.211,0.168,0.205,0.355
"P10","Nunca",0.097,0.067,0.04,0.036,0.109
"P11","Todos los días",0.417,0.36,0.445,0.323,0.191
"P11","Entre 4 y 6 días a la semana",0.136,0.181,0.222,0.211,0.139
"P11","Entre 1 y 3 días a la semana",0.201,0.227,0.178,0.26,0.281
"P11","Raramente",0.155,0.178,0.116,0.182,0.279
"P11","Nunca",0.091,0.054,0.039,0.024,0.11
"P12","Todos los días",0.269,0.12,0.103,0.051,0.047
"P12","Entre 4 y 6 días a la semana",0.136,0.102,0.125,0.11,0.097
"P12","Entre 1 y 3 días a la semana",0.241,0.302,0.357,0.369,0.295
"P12","Raramente",0.23,0.388,0.334,0.405,0.41
"P12","Nunca",0.124,0.088,0.081,0.065,0.151
"P13","Todos los días",0.357,0.316,0.264,0.266,0.252
"P13","Entre 4 y 6 días a la semana",0.24,0.197,0.253,0.246,0.227
"P13","Entre 1 y 3 días a la semana",0.181,0.322,0.313,0.308,0.291
"P13","Raramente",0.128,0.128,0.152,0.163,0.178
"P13","Nunca",0.094,0.037,0.018,0.017,0.052
"P14","Todos los días",0.233,0.148,0.108,0.096,0.116
"P14","Entre 4 y 6 días a la semana",0.236,0.229,0.234,0.252,0.213
"P14","Entre 1 y 3 días a la semana",0.277,0.407,0.452,0.4,0.383
"P14","Raramente",0.17,0.17,0.157,0.22,0.224
"P14","Nunca",0.084,0.046,0.049,0.032,0.064
"P15","Menos de un vaso al día",0.237,0.041,0.062,0.066,0.088
"P15","De 1 a 4 vasos al día",0.332,0.385,0.317,0.371,0.333
"P15","Más de 4 vasos al día",0.366,0.483,0.606,0.512,0.51
"P15","No consume agua",0.065,0.091,0.015,0.051,0.069
"P16","Agua embotellada/mineral",0.254,0.155,0.189,0.184,0.117
"P16","Agua de la canilla filtrada",0.233,0.368,0.336,0.312,0.293
"P16","Agua de la canilla directamente",0.378,0.394,0.305,0.372,0.476
"P16","Agua de bidón",0.056,0.083,0.161,0.127,0.103
"P16","No consume agua",0.079,0,0.009,0.005,0.011
"P17","Todos los días",0.305,0.089,0.074,0.053,0.05
"P17","Entre 4 y 6 días a la semana",0.074,0.175,0.128,0.082,0.07
"P17","Entre 1 y 3 días a la semana",0.205,0.27,0.323,0.242,0.142
"P17","Raramente",0.206,0.247,0.352,0.397,0.305
"P17","Nunca",0.21,0.219,0.123,0.226,0.433
"P18","Vino",0.373,0.227,0.313,0.298,0.183
"P18","Cerveza",0.077,0.181,0.245,0.195,0.129
"P18","Destilados (whisky, vodka, ron, etc.)",0.107,0.119,0.148,0.043,0.036
"P18","Espumantes",0.086,0.042,0.045,0.058,0.045
"P18","Otros",0.092,0.104,0.085,0.105,0.128
"P18","No consume bebidas alcohólicas",0.265,0.327,0.164,0.301,0.479
"P19","Todos los días",0.276,0.213,0.126,0.134,0.08
"P19","Entre 4 y 6 días a la semana",0.137,0.21,0.094,0.117,0.075
"P19","Entre 1 y 3 días a la semana",0.169,0.124,0.306,0.215,0.144
"P19","Raramente",0.294,0.295,0.322,0.359,0.427
"P19","Nunca",0.124,0.158,0.152,0.175,0.274
"P20","Todos los días",0.544,0.461,0.415,0.504,0.535
"P20","Entre 4 y 6 días a la semana",0.112,0.138,0.113,0.098,0.079
"P20","Entre 1 y 3 días a la semana",0.05,0.102,0.173,0.121,0.081
"P20","Raramente",0.154,0.197,0.139,0.156,0.164
"P20","Nunca",0.14,0.102,0.16,0.121,0.141
"P21","Todos los días",0.603,0.589,0.597,0.552,0.452
"P21","Entre 4 y 6 días a la semana",0.19,0.161,0.191,0.167,0.165
"P21","Entre 1 y 3 días a la semana",0.056,0.109,0.115,0.152,0.144
"P21","Raramente",0.078,0.109,0.064,0.106,0.153
"P21","Nunca",0.073,0.032,0.033,0.023,0.086
"P22","Asado",0.505,0.469,0.434,0.4,0.396
"P22","Pizza",0.085,0.157,0.085,0.099,0.081
"P22","Milanesa",0.108,0.162,0.185,0.179,0.148
"P22","Pastas",0.064,0.119,0.09,0.114,0.11
"P22","Empanadas",0.082,0.037,0.062,0.038,0.051
"P22","Hamburguesa",0.015,0,0.042,0.006,0.009
"P22","Ensaladas (de cualquier tipo)",0.064,0.017,0.04,0.067,0.061
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.014,0.026,0.042,0.057,0.086
"P22","Polenta o similares (de cualquier tipo)",0.052,0.002,0,0.017,0.03
"P22","Ninguno de los anteriores",0.011,0.011,0.02,0.023,0.028
"P23","Asado",0.248,0.167,0.152,0.105,0.093
"P23","Pizza",0.12,0.062,0.058,0.071,0.072
"P23","Milanesa",0.127,0.284,0.287,0.245,0.152
"P23","Pastas",0.129,0.186,0.113,0.179,0.22
"P23","Empanadas",0.04,0.042,0.094,0.036,0.029
"P23","Hamburguesa",0.005,0.011,0.026,0.017,0.022
"P23","Ensaladas (de cualquier tipo)",0.129,0.109,0.122,0.124,0.088
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.058,0.06,0.034,0.112,0.143
"P23","Polenta o similares (de cualquier tipo)",0.081,0.042,0.033,0.037,0.095
"P23","Ninguno de los anteriores",0.063,0.037,0.081,0.074,0.086
"P24","Helado",0.347,0.222,0.31,0.254,0.237
"P24","Tortas, tartas dulces y masas",0.062,0.143,0.174,0.176,0.144
"P24","Ensalada de frutas",0.098,0.211,0.189,0.183,0.168
"P24","Flan, budín de pan y similares",0.179,0.149,0.098,0.124,0.13
"P24","Dulce de batata, membrillo o similares",0.098,0.086,0.053,0.064,0.092
"P24","Facturas de todo tipo",0.004,0.02,0.047,0.027,0.042
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.02,0.064,0.022,0.031,0.023
"P24","Gelatina",0.083,0.034,0.015,0.039,0.04
"P24","Panqueques, wafles y similares",0.027,0.032,0.023,0.016,0.02
"P24","Ninguno de los anteriores",0.082,0.039,0.069,0.086,0.104
"P25","Helado",0.248,0.178,0.139,0.113,0.087
"P25","Tortas, tartas dulces y masas",0.174,0.085,0.251,0.189,0.098
"P25","Ensalada de frutas",0.141,0.086,0.114,0.123,0.089
"P25","Flan, budín de pan y similares",0.086,0.061,0.062,0.064,0.063
"P25","Dulce de batata, membrillo o similares",0.128,0.135,0.101,0.1,0.112
"P25","Facturas de todo tipo",0.058,0.125,0.142,0.091,0.072
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.023,0.009,0.029,0.03,0.032
"P25","Gelatina",0.051,0.041,0.012,0.045,0.054
"P25","Panqueques, wafles y similares",0,0,0.005,0.014,0.014
"P25","Ninguno de los anteriores",0.091,0.28,0.145,0.231,0.379
"P26","Vegetariano",0.107,0.05,0.033,0.045,0.038
"P26","Vegano",0.16,0.083,0.028,0.049,0.023
"P26","Dieta baja en carnes rojas",0.117,0.123,0.125,0.169,0.147
"P26","Dieta baja en carbohidratos",0.112,0.107,0.12,0.101,0.078
"P26","Dieta baja en azúcares",0.195,0.167,0.128,0.135,0.113
"P26","Kosher o Alal",0.02,0.034,0.029,0.017,0.024
"P26","Ninguna restricción alimentaria",0.289,0.436,0.537,0.484,0.577
"P27","Si",0.492,0.494,0.641,0.612,0.484
"P27","Parcialmente",0.209,0.24,0.201,0.167,0.17
"P27","No",0.299,0.266,0.158,0.221,0.346
"P28","Si",0.618,0.67,0.76,0.77,0.698
"P28","Si, pero solo en algunos de ellos",0.258,0.311,0.192,0.202,0.254
"P28","No",0.124,0.019,0.048,0.028,0.048
"P29","Si",0.552,0.664,0.675,0.658,0.594
"P29","No",0.448,0.336,0.325,0.342,0.406
"P30","Muy de acuerdo",0.685,0.463,0.656,0.6,0.506
"P30","Parcialmente de acuerdo",0.245,0.413,0.251,0.303,0.343
"P30","No",0.07,0.124,0.093,0.097,0.151
"P31","Bajo peso",0.353,0.143,0.067,0.071,0.086
"P31","Sobrepeso",0.218,0.402,0.305,0.272,0.254
"P31","Obesidad",0.167,0.183,0.114,0.077,0.127
"P31","Normal",0.172,0.24,0.457,0.505,0.452
"P31","No sabe",0.09,0.032,0.057,0.075,0.081
"P32","Diabetes",0.638,0.145,0.055,0.076,0.081
"P32","Hipertensión",0.11,0.613,0.122,0.178,0.155
"P32","Enfermedades cardiovasculares",0.032,0.02,0.136,0.045,0.049
"P32","Celiaquía",0.013,0.029,0.111,0.097,0.077
"P32","Ninguna",0.192,0.172,0.528,0.529,0.54
"P32","No sabe",0.015,0.021,0.048,0.075,0.098
"P34","Todos los días",0.306,0.03,0.012,0.004,0.005
"P34","Entre 4 y 6 días a la semana",0.085,0.137,0.061,0.013,0.006
"P34","Entre 1 y 3 días a la semana",0.088,0.158,0.495,0.096,0.041
"P34","Raramente",0.238,0.345,0.225,0.592,0.209
"P34","Nunca",0.283,0.33,0.207,0.295,0.739
"P35","Todos los días",0.551,0.417,0.35,0.656,0.7
"P35","Entre 4 y 6 días a la semana",0.185,0.204,0.333,0.189,0.062
"P35","Entre 1 y 3 días a la semana",0.052,0.085,0.202,0.047,0.058
"P35","Raramente",0.064,0.173,0.063,0.063,0.063
"P35","Nunca",0.148,0.121,0.052,0.045,0.117
"P36","Menos de 1 comida al día",0.399,0.175,0.134,0.174,0.194
"P36","1 comida",0.195,0.332,0.216,0.265,0.362
"P36","2 comidas",0.108,0.254,0.264,0.27,0.265
"P36","3 comidas",0.082,0.135,0.194,0.157,0.091
"P36","4 comidas",0.195,0.093,0.156,0.114,0.082
"P36","Más de 4 comidas",0.021,0.011,0.036,0.02,0.006
"P37","Precio",0.35,0.191,0.103,0.224,0.399
"P37","Calidad",0.219,0.378,0.201,0.207,0.148
"P37","Cantidad de sellos presentes en el producto",0.09,0.066,0.099,0.046,0.063
"P37","Precio y calidad",0.095,0.232,0.408,0.374,0.232
"P37","Precio y cantidad de sellos presentes en el producto",0.102,0.048,0.071,0.037,0.035
"P37","Calidad y cantidad de sellos presentes en el producto",0.072,0.026,0.016,0.01,0.011
"P37","Precio, calidad y cantidad de sellos presentes en el producto",0.012,0.034,0.069,0.073,0.055
"P37","Compra sin ningún tipo de consideración",0.06,0.025,0.033,0.029,0.057
"P38","Menos de 1 vez a la semana",0.301,0.197,0.143,0.169,0.239
"P38","1 vez a la semana",0.3,0.381,0.242,0.269,0.279
"P38","Entre 1 a 4 veces a la semana",0.122,0.301,0.391,0.295,0.217
"P38","Más de 4 veces a la semana",0.197,0.089,0.163,0.193,0.17
"P38","No sabe",0.08,0.032,0.061,0.074,0.095
"P39","Hipermercado/Supermercado",0.487,0.391,0.513,0.485,0.459
"P39","Almacenes",0.24,0.32,0.23,0.259,0.258
"P39","Productores locales/mercados de cercanía/Ferias",0.103,0.237,0.2,0.162,0.167
"P39","Vía pública",0.031,0.03,0.038,0.03,0.053
"P39","No sabe",0.139,0.022,0.019,0.064,0.063
