"var","categoria","Si","No"
"P04","Gran excedente habitual",0.013,0.009
"P04","Gran excedente excepcional",0.008,0.005
"P04","Pequeño excedente habitual",0.067,0.051
"P04","Pequeño excedente excepcional",0.079,0.055
"P04","Alcanza gastos familia",0.188,0.156
"P04","No alcanza gastos familia",0.151,0.146
"P04","Solo NBFamiliares",0.27,0.299
"P04","No alcanza NBFamiliares",0.211,0.265
"P04","No sabe",0.013,0.014
"P05","Todos los días",0.203,0.163
"P05","Entre 4 y 6 días a la semana",0.303,0.296
"P05","Entre 1 y 3 días a la semana",0.322,0.332
"P05","Raramente",0.145,0.172
"P05","Nunca",0.027,0.037
"P06","Todos los días",0.082,0.062
"P06","Entre 4 y 6 días a la semana",0.25,0.229
"P06","Entre 1 y 3 días a la semana",0.429,0.416
"P06","Raramente",0.195,0.242
"P06","Nunca",0.044,0.051
"P07","Todos los días",0.071,0.06
"P07","Entre 4 y 6 días a la semana",0.213,0.204
"P07","Entre 1 y 3 días a la semana",0.487,0.457
"P07","Raramente",0.181,0.247
"P07","Nunca",0.048,0.032
"P08","Todos los días",0.033,0.045
"P08","Entre 4 y 6 días a la semana",0.065,0.087
"P08","Entre 1 y 3 días a la semana",0.203,0.22
"P08","Raramente",0.467,0.415
"P08","Nunca",0.232,0.233
"P09","Todos los días",0.084,0.09
"P09","Entre 4 y 6 días a la semana",0.161,0.138
"P09","Entre 1 y 3 días a la semana",0.299,0.271
"P09","Raramente",0.347,0.396
"P09","Nunca",0.109,0.105
"P10","Todos los días",0.225,0.15
"P10","Entre 4 y 6 días a la semana",0.199,0.187
"P10","Entre 1 y 3 días a la semana",0.296,0.321
"P10","Raramente",0.224,0.283
"P10","Nunca",0.056,0.059
"P11","Todos los días",0.327,0.275
"P11","Entre 4 y 6 días a la semana",0.187,0.174
"P11","Entre 1 y 3 días a la semana",0.242,0.283
"P11","Raramente",0.189,0.218
"P11","Nunca",0.055,0.05
"P12","Todos los días",0.073,0.065
"P12","Entre 4 y 6 días a la semana",0.103,0.097
"P12","Entre 1 y 3 días a la semana",0.337,0.321
"P12","Raramente",0.398,0.405
"P12","Nunca",0.089,0.112
"P13","Todos los días",0.262,0.284
"P13","Entre 4 y 6 días a la semana",0.267,0.233
"P13","Entre 1 y 3 días a la semana",0.284,0.303
"P13","Raramente",0.151,0.146
"P13","Nunca",0.036,0.034
"P14","Todos los días",0.121,0.116
"P14","Entre 4 y 6 días a la semana",0.232,0.233
"P14","Entre 1 y 3 días a la semana",0.422,0.392
"P14","Raramente",0.181,0.213
"P14","Nunca",0.044,0.046
"P15","Menos de un vaso al día",0.073,0.09
"P15","De 1 a 4 vasos al día",0.357,0.322
"P15","Más de 4 vasos al día",0.519,0.521
"P15","No consume agua",0.051,0.067
"P16","Agua embotellada/mineral",0.162,0.161
"P16","Agua de la canilla filtrada",0.303,0.278
"P16","Agua de la canilla directamente",0.406,0.435
"P16","Agua de bidón",0.122,0.113
"P16","No consume agua",0.007,0.013
"P17","Todos los días",0.071,0.063
"P17","Entre 4 y 6 días a la semana",0.092,0.098
"P17","Entre 1 y 3 días a la semana",0.224,0.229
"P17","Raramente",0.343,0.312
"P17","Nunca",0.27,0.298
"P18","Vino",0.26,0.255
"P18","Cerveza",0.188,0.184
"P18","Destilados (whisky, vodka, ron, etc.)",0.055,0.071
"P18","Espumantes",0.041,0.057
"P18","Otros",0.101,0.119
"P18","No consume bebidas alcohólicas",0.355,0.314
"P19","Todos los días",0.112,0.134
"P19","Entre 4 y 6 días a la semana",0.107,0.105
"P19","Entre 1 y 3 días a la semana",0.201,0.161
"P19","Raramente",0.348,0.387
"P19","Nunca",0.232,0.213
"P20","Todos los días",0.538,0.467
"P20","Entre 4 y 6 días a la semana",0.086,0.115
"P20","Entre 1 y 3 días a la semana",0.104,0.104
"P20","Raramente",0.138,0.146
"P20","Nunca",0.134,0.168
"P21","Todos los días",0.544,0.518
"P21","Entre 4 y 6 días a la semana",0.161,0.185
"P21","Entre 1 y 3 días a la semana",0.14,0.126
"P21","Raramente",0.112,0.122
"P21","Nunca",0.043,0.049
"P22","Asado",0.431,0.436
"P22","Pizza",0.092,0.098
"P22","Milanesa",0.149,0.16
"P22","Pastas",0.107,0.105
"P22","Empanadas",0.044,0.045
"P22","Hamburguesa",0.016,0.01
"P22","Ensaladas (de cualquier tipo)",0.066,0.055
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.059,0.054
"P22","Polenta o similares (de cualquier tipo)",0.016,0.022
"P22","Ninguno de los anteriores",0.02,0.015
"P23","Asado",0.123,0.105
"P23","Pizza",0.07,0.092
"P23","Milanesa",0.214,0.211
"P23","Pastas",0.204,0.194
"P23","Empanadas",0.036,0.035
"P23","Hamburguesa",0.022,0.019
"P23","Ensaladas (de cualquier tipo)",0.115,0.092
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.089,0.111
"P23","Polenta o similares (de cualquier tipo)",0.056,0.061
"P23","Ninguno de los anteriores",0.071,0.08
"P24","Helado",0.28,0.281
"P24","Tortas, tartas dulces y masas",0.154,0.173
