"var","categoria","Todos los días","Entre 4 y 6 días a la semana","Entre 1 y 3 días a la semana","Raramente","Nunca"
"P04","Gran excedente habitual",0.012,0.012,0.008,0.007,0.005
"P04","Gran excedente excepcional",0.01,0.004,0.003,0.003,0
"P04","Pequeño excedente habitual",0.057,0.044,0.047,0.052,0.026
"P04","Pequeño excedente excepcional",0.055,0.07,0.061,0.052,0.015
"P04","Alcanza gastos familia",0.157,0.151,0.14,0.096,0.055
"P04","No alcanza gastos familia",0.131,0.162,0.178,0.177,0.254
"P04","Solo NBFamiliares",0.274,0.295,0.275,0.214,0.147
"P04","No alcanza NBFamiliares",0.28,0.25,0.272,0.381,0.434
"P04","No sabe",0.024,0.012,0.016,0.018,0.064
"P05","Todos los días",0.214,0.177,0.173,0.203,0.235
"P05","Entre 4 y 6 días a la semana",0.297,0.338,0.259,0.212,0.131
"P05","Entre 1 y 3 días a la semana",0.282,0.314,0.371,0.298,0.273
"P05","Raramente",0.16,0.142,0.156,0.23,0.219
"P05","Nunca",0.047,0.029,0.041,0.057,0.142
"P06","Todos los días",0.133,0.056,0.058,0.062,0.115
"P06","Entre 4 y 6 días a la semana",0.243,0.269,0.178,0.154,0.109
"P06","Entre 1 y 3 días a la semana",0.357,0.413,0.463,0.338,0.295
"P06","Raramente",0.212,0.212,0.249,0.361,0.253
"P06","Nunca",0.055,0.05,0.052,0.085,0.228
"P07","Todos los días",0.115,0.065,0.059,0.072,0.115
"P07","Entre 4 y 6 días a la semana",0.245,0.244,0.183,0.146,0.085
"P07","Entre 1 y 3 días a la semana",0.416,0.435,0.471,0.394,0.283
"P07","Raramente",0.167,0.209,0.249,0.335,0.28
"P07","Nunca",0.057,0.047,0.038,0.053,0.237
"P08","Todos los días",0.086,0.042,0.026,0.026,0.058
"P08","Entre 4 y 6 días a la semana",0.096,0.117,0.062,0.051,0.027
"P08","Entre 1 y 3 días a la semana",0.209,0.227,0.201,0.132,0.093
"P08","Raramente",0.39,0.438,0.462,0.465,0.254
"P08","Nunca",0.219,0.176,0.249,0.326,0.568
"P09","Todos los días",0.21,0.076,0.026,0.046,0.031
