"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"CFK","Positiva",0.617,0.55,0.679,0.672,0.611,0.529,0.609,0.686,0.602,0.422,0.762,0.105,0.312
"CFK","Neutra",0.167,0.171,0.163,0.18,0.185,0.134,0.121,0.18,0.175,0.105,0.163,0.15,0.073
"CFK","Negativa",0.201,0.258,0.149,0.129,0.188,0.323,0.27,0.117,0.209,0.464,0.074,0.698,0.542
"CFK","No sabe",0.015,0.021,0.009,0.019,0.016,0.014,0,0.017,0.014,0.009,0.001,0.047,0.073
"Alberto Fernandez","Positiva",0.593,0.543,0.64,0.582,0.607,0.549,0.651,0.647,0.598,0.406,0.715,0.173,0.353
"Alberto Fernandez","Neutra",0.193,0.188,0.198,0.269,0.201,0.104,0.078,0.204,0.183,0.176,0.191,0.124,0.298
"Alberto Fernandez","Negativa",0.187,0.244,0.134,0.121,0.163,0.316,0.262,0.112,0.2,0.408,0.08,0.628,0.349
"Alberto Fernandez","No sabe",0.027,0.025,0.028,0.028,0.029,0.031,0.009,0.037,0.019,0.01,0.014,0.075,0
"Horacio Rodriguez Larreta","Positiva",0.223,0.276,0.174,0.165,0.177,0.364,0.32,0.21,0.204,0.306,0.174,0.588,0.114
"Horacio Rodriguez Larreta","Neutra",0.468,0.434,0.499,0.579,0.472,0.198,0.538,0.485,0.515,0.314,0.49,0.302,0.679
"Horacio Rodriguez Larreta","Negativa",0.242,0.244,0.24,0.18,0.271,0.367,0.142,0.244,0.189,0.343,0.27,0.06,0.207
"Horacio Rodriguez Larreta","No sabe",0.067,0.046,0.087,0.076,0.08,0.071,0,0.061,0.092,0.037,0.066,0.05,0
"Mauricio Macri","Positiva",0.153,0.149,0.155,0.159,0.107,0.195,0.206,0.142,0.122,0.25,0.085,0.564,0
"Mauricio Macri","Neutra",0.236,0.215,0.256,0.234,0.217,0.252,0.28,0.246,0.251,0.175,0.201,0.298,0.255
"Mauricio Macri","Negativa",0.571,0.622,0.525,0.578,0.608,0.522,0.514,0.574,0.575,0.554,0.67,0.138,0.673
"Mauricio Macri","No sabe",0.04,0.014,0.064,0.029,0.068,0.031,0,0.038,0.052,0.021,0.044,0,0.072
