"var","categoria","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","No sabe"
"P12","Gran excedente habitual",0.127,0,0,0,0.023,0
"P12","Gran excedente excepcional",0,0.013,0,0,0,0
"P12","Pequeño excedente habitual",0.054,0.089,0.053,0.007,0.003,0
"P12","Pequeño excedente excepcional",0.114,0.115,0.046,0.031,0.004,0
"P12","Alcanza gastos familia",0.046,0.189,0.224,0.115,0.096,0
"P12","No alcanza gastos familia",0.082,0.076,0.058,0.088,0.103,0.403
"P12","Solo NBFamiliares",0.174,0.359,0.309,0.294,0.262,0
"P12","No alcanza NBFamiliares",0.403,0.138,0.31,0.464,0.509,0.597
"P12","No sabe",0,0.021,0,0.001,0,0
"P13","Muy buena",0.266,0.053,0.092,0.12,0.182,0
"P13","Buena",0.182,0.168,0.124,0.209,0.089,0.049
"P13","Ni buena ni mala",0.109,0.19,0.231,0.322,0.26,0.548
"P13","Mala",0.251,0.38,0.403,0.213,0.252,0.403
"P13","Muy mala",0.18,0.158,0.139,0.13,0.217,0
"P13","No sabe",0.012,0.051,0.011,0.006,0,0
"P14","Muy buena",0.722,0.317,0.355,0.084,0.088,0.403
"P14","Buena",0.096,0.462,0.266,0.077,0.057,0
"P14","Ni buena ni mala",0.061,0.1,0.247,0.212,0.088,0.548
"P14","Mala",0.017,0.072,0.105,0.271,0.231,0
"P14","Muy mala",0.104,0.049,0.019,0.356,0.536,0.049
"P14","No sabe",0,0,0.008,0,0,0
"P16","Muy buena",0.323,0.186,0.091,0.196,0.334,0.548
"P16","Buena",0.112,0.145,0.215,0.187,0.118,0.049
"P16","Ni buena ni mala",0.226,0.301,0.303,0.232,0.129,0
"P16","Mala",0.145,0.245,0.245,0.277,0.15,0.403
"P16","Muy mala",0.194,0.123,0.142,0.097,0.213,0
"P16","No sabe",0,0,0.004,0.011,0.056,0
"P19","Muy buena",0.248,0.175,0.075,0.082,0.126,0
"P19","Buena",0.1,0.131,0.132,0.234,0.237,0.049
"P19","Ni buena ni mala",0.221,0.256,0.326,0.337,0.226,0.548
"P19","Mala",0.247,0.237,0.3,0.214,0.223,0.403
"P19","Muy mala",0.184,0.185,0.133,0.131,0.188,0
"P19","No sabe",0,0.016,0.034,0.002,0,0
"P20","Gobierno nacional",0.249,0.064,0.062,0.422,0.465,0
"P20","Gobierno provincial",0.578,0.799,0.698,0.427,0.418,1
"P20","No sabe",0.173,0.137,0.24,0.151,0.117,0
"P21","El anterior gobierno de Arabela Carreras",0.254,0.381,0.328,0.373,0.232,0
"P21","El actual gobierno de Alberto Weretilneck",0.631,0.583,0.534,0.501,0.732,0.444
"P21","No sabe",0.115,0.036,0.138,0.126,0.036,0.556
"P22","El anterior gobierno de Alberto Fernández",0.967,0.664,0.636,0.205,0.211,0
"P22","El actual gobierno de Javier Milei",0.033,0.336,0.266,0.764,0.763,0
"P22","No sabe",0,0,0.098,0.031,0.026,0
"P23","Empleado sector publico",0.454,0.205,0.215,0.221,0.201,0
"P23","Empleado sector privado",0.267,0.237,0.166,0.212,0.152,0.548
"P23","Changas o trabajos eventuales",0.221,0.189,0.192,0.322,0.261,0
"P23","Estudiante",0,0.047,0.01,0.025,0.035,0
"P23","Amas de casa",0.019,0.106,0.147,0.045,0.105,0
"P23","Profesional o independiente",0.03,0.086,0.163,0.072,0.052,0
"P23","Comerciante, emprendedor o empresario",0.001,0.039,0.077,0.037,0.058,0.403
"P23","Trabajador informal",0,0.013,0.002,0.011,0,0.049
"P23","No tengo trabajo",0.008,0.078,0.028,0.055,0.136,0
"P24","Muy de acuerdo",0.523,0.216,0.251,0.164,0.096,0
"P24","De acuerdo",0.107,0.221,0.117,0.249,0.098,0
"P24","Ni de acuerdo ni en desacuerdo",0.096,0.276,0.432,0.335,0.36,0.548
"P24","En desacuerdo",0.073,0.163,0.162,0.19,0.147,0
"P24","Muy en desacuerdo",0.109,0.111,0.013,0.032,0.258,0.049
"P24","No sabe",0.092,0.013,0.025,0.03,0.041,0.403
"P26","Si",0.865,0.703,0.577,0.674,0.677,0.084
"P26","No",0.135,0.297,0.423,0.326,0.323,0.916
"P27","Muy de acuerdo",0.774,0.127,0.151,0.121,0.258,0
"P27","De acuerdo",0.075,0.315,0.249,0.176,0.022,0
"P27","Ni de acuerdo ni en desacuerdo",0.115,0.317,0.463,0.151,0.069,0.92
"P27","En desacuerdo",0,0.169,0.033,0.468,0.15,0
"P27","Muy en desacuerdo",0.036,0.072,0.094,0.078,0.501,0.08
"P27","No sabe",0,0,0.01,0.006,0,0
"P28","Si",0.91,0.801,0.683,0.674,0.686,0.103
"P28","No",0.09,0.199,0.317,0.326,0.314,0.897
"P29","Muy de acuerdo",0.853,0.277,0.265,0.133,0.279,0
"P29","De acuerdo",0.069,0.352,0.224,0.117,0.099,0
"P29","Ni de acuerdo ni en desacuerdo",0.066,0.258,0.346,0.173,0.165,0
"P29","En desacuerdo",0,0.014,0.071,0.398,0.216,1
"P29","Muy en desacuerdo",0.008,0.086,0.086,0.162,0.237,0
"P29","No sabe",0.004,0.013,0.008,0.017,0.004,0
"P30","No estaba enterado",0.51,0.086,0.293,0.219,0.184,0.897
"P30","De acuerdo",0.479,0.806,0.419,0.173,0.347,0
"P30","En desacuerdo",0.011,0.055,0.258,0.471,0.362,0
"P30","No sabe",0,0.053,0.03,0.137,0.107,0.103
"P31","No tengo cable ni internet",0.477,0.096,0.242,0.217,0.194,0.913
"P31","Si tuve",0.311,0.634,0.648,0.587,0.63,0.087
"P31","No tuve",0.212,0.27,0.11,0.196,0.176,0
"P32","Reclamando directamente a la empresa",0.284,0.337,0.224,0.396,0.536,0
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.429,0.518,0.379,0.285,0.188,0
"P32","Nunca se pudo resolver",0.287,0.145,0.397,0.319,0.276,1
"P33","1-Excelente",0.203,0.169,0.141,0.216,0.127,0
"P33","2",0.126,0.258,0.146,0.056,0.091,0
"P33","3",0.002,0,0.081,0.026,0.035,0
"P33","4",0.054,0.075,0.019,0.046,0.072,0
"P33","5",0.123,0.131,0.116,0.21,0.196,1
"P33","6",0.018,0.017,0.024,0.077,0.067,0
"P33","7",0,0.051,0.12,0.027,0.04,0
"P33","8",0.025,0.093,0.121,0.025,0.085,0
"P33","9-Pésimo",0.347,0.191,0.203,0.266,0.255,0
"P33","No sabe",0.102,0.015,0.029,0.051,0.032,0
"P34","1-Excelente",0.179,0.082,0.158,0.202,0.133,0
"P34","2",0.108,0.225,0.123,0.06,0.031,0
"P34","3",0,0.035,0.089,0.042,0.228,0
"P34","4",0.076,0.125,0.012,0.08,0.091,0
"P34","5",0.145,0.09,0.09,0.137,0.047,1
"P34","6",0.004,0.029,0.058,0.039,0.022,0
"P34","7",0,0.095,0.111,0.022,0.014,0
"P34","8",0.026,0.055,0.086,0.037,0.118,0
"P34","9-Pésimo",0.348,0.236,0.236,0.329,0.301,0
"P34","No sabe",0.114,0.028,0.037,0.052,0.015,0
"P35","1-Excelente",0.187,0.064,0.202,0.177,0.317,0
"P35","2",0.122,0.199,0.037,0.045,0.031,0
"P35","3",0.019,0.025,0.046,0.064,0.137,0
"P35","4",0.088,0.126,0.035,0.042,0.021,0
"P35","5",0.194,0.168,0.172,0.178,0.017,0
"P35","6",0.01,0.037,0.073,0.052,0.038,0
"P35","7",0,0.125,0.015,0.051,0.135,1
"P35","8",0.026,0.023,0.116,0.078,0.013,0
"P35","9-Pésimo",0.252,0.227,0.28,0.265,0.276,0
"P35","No sabe",0.102,0.006,0.024,0.048,0.015,0
"P36","1-Excelente",0.144,0.066,0.13,0.158,0.127,0
"P36","2",0.062,0.181,0.034,0.06,0.093,0
"P36","3",0.103,0.085,0.105,0.068,0.13,0
"P36","4",0.088,0.081,0.008,0.071,0.037,0
"P36","5",0.129,0.281,0.256,0.146,0.022,1
"P36","6",0.004,0.011,0.087,0.024,0.073,0
"P36","7",0,0.031,0.113,0.076,0.138,0
"P36","8",0.117,0.051,0.084,0.052,0.09,0
"P36","9-Pésimo",0.259,0.187,0.155,0.268,0.275,0
"P36","No sabe",0.094,0.026,0.028,0.077,0.015,0
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.197,0.064,0.104,0.727,0.528,1
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.112,0.211,0.314,0.112,0.183,0
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.205,0.272,0.296,0.1,0.051,0
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.486,0.453,0.227,0.025,0.148,0
