"var","categoria","Oponerse totalmente","Oponerse parcialmente","Apoyar parcialmente","Apoyar totalmente","No sabe"
"P12","Gran excedente habitual",0.018,0,0,0.006,0.377
"P12","Gran excedente excepcional",0,0.03,0,0,0
"P12","Pequeño excedente habitual",0.002,0.032,0.057,0.02,0.02
"P12","Pequeño excedente excepcional",0.02,0,0.053,0.192,0.165
"P12","Alcanza gastos familia",0.047,0.143,0.129,0.195,0.057
"P12","No alcanza gastos familia",0.043,0.058,0.108,0.089,0
"P12","Solo NBFamiliares",0.382,0.342,0.449,0.255,0
"P12","No alcanza NBFamiliares",0.486,0.395,0.193,0.243,0.381
"P12","No sabe",0.002,0,0.011,0,0
"P13","Muy buena",0.177,0.307,0.147,0.019,0.169
"P13","Buena",0.222,0.142,0.085,0.068,0.076
"P13","Ni buena ni mala",0.311,0.271,0.25,0.139,0.249
"P13","Mala",0.139,0.169,0.306,0.368,0.02
"P13","Muy mala",0.149,0.111,0.212,0.336,0.377
"P13","No sabe",0.002,0,0,0.07,0.109
"P14","Muy buena",0.043,0.152,0.288,0.658,0.546
"P14","Buena",0.016,0.023,0.315,0.208,0.096
"P14","Ni buena ni mala",0.12,0.21,0.249,0.046,0.173
"P14","Mala",0.221,0.186,0.108,0.013,0.052
"P14","Muy mala",0.6,0.429,0.04,0.075,0.076
"P14","No sabe",0,0,0,0,0.057
"P16","Muy buena",0.266,0.344,0.099,0.028,0
"P16","Buena",0.21,0.285,0.192,0.079,0.378
"P16","Ni buena ni mala",0.159,0.166,0.249,0.445,0.133
"P16","Mala",0.228,0.14,0.277,0.218,0.052
"P16","Muy mala",0.132,0.041,0.159,0.23,0.377
"P16","No sabe",0.005,0.024,0.024,0,0.06
"P19","Muy buena",0.159,0.262,0.065,0.09,0
"P19","Buena",0.247,0.153,0.18,0.039,0.076
"P19","Ni buena ni mala",0.263,0.307,0.196,0.26,0.306
"P19","Mala",0.133,0.157,0.321,0.367,0.02
"P19","Muy mala",0.196,0.106,0.238,0.216,0.429
"P19","No sabe",0.002,0.015,0,0.028,0.169
