"var","categoria","No estaba enterado","De acuerdo","En desacuerdo","No sabe"
"P12","Gran excedente habitual",0.012,0.068,0.004,0
"P12","Gran excedente excepcional",0.006,0,0,0
"P12","Pequeño excedente habitual",0.029,0.036,0.006,0.009
"P12","Pequeño excedente excepcional",0.037,0.117,0.01,0.035
"P12","Alcanza gastos familia",0.057,0.199,0.118,0.108
"P12","No alcanza gastos familia",0.08,0.078,0.069,0.24
"P12","Solo NBFamiliares",0.329,0.278,0.295,0.312
"P12","No alcanza NBFamiliares",0.45,0.217,0.495,0.296
"P12","No sabe",0,0.007,0.003,0
"P13","Muy buena",0.18,0.146,0.071,0.109
"P13","Buena",0.136,0.093,0.238,0.195
"P13","Ni buena ni mala",0.286,0.142,0.414,0.177
"P13","Mala",0.231,0.362,0.159,0.305
"P13","Muy mala",0.162,0.233,0.116,0.197
"P13","No sabe",0.005,0.024,0.002,0.017
"P14","Muy buena",0.316,0.428,0.028,0.259
"P14","Buena",0.111,0.277,0.076,0.022
"P14","Ni buena ni mala",0.258,0.13,0.121,0.109
"P14","Mala",0.146,0.125,0.218,0.239
"P14","Muy mala",0.164,0.04,0.557,0.371
"P14","No sabe",0.005,0,0,0
"P16","Muy buena",0.251,0.15,0.307,0.093
"P16","Buena",0.203,0.112,0.24,0.126
"P16","Ni buena ni mala",0.265,0.215,0.174,0.286
"P16","Mala",0.231,0.257,0.154,0.282
"P16","Muy mala",0.041,0.266,0.114,0.113
"P16","No sabe",0.009,0,0.011,0.1
"P19","Muy buena",0.213,0.07,0.118,0.071
"P19","Buena",0.135,0.135,0.286,0.124
"P19","Ni buena ni mala",0.287,0.252,0.322,0.289
"P19","Mala",0.225,0.311,0.149,0.318
"P19","Muy mala",0.12,0.224,0.119,0.198
"P19","No sabe",0.02,0.008,0.006,0
"P20","Gobierno nacional",0.256,0.083,0.589,0.293
"P20","Gobierno provincial",0.468,0.743,0.373,0.529
"P20","No sabe",0.276,0.174,0.038,0.178
"P21","El anterior gobierno de Arabela Carreras",0.275,0.283,0.367,0.16
"P21","El actual gobierno de Alberto Weretilneck",0.615,0.654,0.489,0.699
"P21","No sabe",0.11,0.063,0.144,0.141
"P22","El anterior gobierno de Alberto Fernández",0.647,0.611,0.093,0.498
"P22","El actual gobierno de Javier Milei",0.319,0.389,0.879,0.502
"P22","No sabe",0.034,0,0.028,0
"P23","Empleado sector publico",0.314,0.227,0.273,0.319
"P23","Empleado sector privado",0.202,0.279,0.218,0.04
"P23","Changas o trabajos eventuales",0.255,0.2,0.17,0.374
"P23","Estudiante",0.022,0.035,0.014,0.033
"P23","Amas de casa",0.107,0.032,0.093,0.037
"P23","Profesional o independiente",0.035,0.099,0.105,0.135
"P23","Comerciante, emprendedor o empresario",0.016,0.063,0.069,0.017
"P23","Trabajador informal",0.008,0,0.012,0.037
"P23","No tengo trabajo",0.041,0.065,0.046,0.008
"P24","Muy de acuerdo",0.322,0.266,0.13,0.28
"P24","De acuerdo",0.117,0.142,0.26,0.145
"P24","Ni de acuerdo ni en desacuerdo",0.323,0.263,0.377,0.295
"P24","En desacuerdo",0.145,0.131,0.127,0.185
"P24","Muy en desacuerdo",0.069,0.153,0.073,0.033
"P24","No sabe",0.024,0.045,0.033,0.062
"P25","Muy de acuerdo",0.313,0.216,0.007,0
"P25","De acuerdo",0.038,0.258,0.022,0.077
"P25","Ni de acuerdo ni en desacuerdo",0.189,0.199,0.156,0.064
"P25","En desacuerdo",0.308,0.179,0.619,0.636
"P25","Muy en desacuerdo",0.107,0.148,0.196,0.206
"P25","No sabe",0.045,0,0,0.017
"P26","Si",0.679,0.725,0.706,0.743
"P26","No",0.321,0.275,0.294,0.257
"P27","Muy de acuerdo",0.353,0.316,0.12,0.138
"P27","De acuerdo",0.109,0.229,0.179,0.1
"P27","Ni de acuerdo ni en desacuerdo",0.276,0.223,0.162,0.176
"P27","En desacuerdo",0.172,0.126,0.375,0.345
"P27","Muy en desacuerdo",0.084,0.101,0.161,0.241
"P27","No sabe",0.006,0.005,0.003,0
"P28","Si",0.629,0.784,0.711,0.84
"P28","No",0.371,0.216,0.289,0.16
"P29","Muy de acuerdo",0.443,0.451,0.082,0.067
"P29","De acuerdo",0.117,0.235,0.091,0.077
"P29","Ni de acuerdo ni en desacuerdo",0.158,0.198,0.217,0.196
"P29","En desacuerdo",0.193,0.023,0.396,0.468
"P29","Muy en desacuerdo",0.08,0.085,0.206,0.16
