"var","categoria","1-Excelente","2","3","4","5","6","7","8","9-Pésimo","No sabe"
"P12","Gran excedente habitual",0,0.015,0,0,0.01,0,0,0,0.056,0
"P12","Gran excedente excepcional",0,0,0,0,0.02,0,0,0,0,0
"P12","Pequeño excedente habitual",0.009,0.015,0.034,0,0.021,0,0.079,0.021,0.026,0.039
"P12","Pequeño excedente excepcional",0.068,0.003,0.067,0.114,0.038,0.05,0.071,0.101,0.092,0
"P12","Alcanza gastos familia",0.162,0.05,0.106,0.135,0.076,0.153,0.107,0.419,0.075,0.015
"P12","No alcanza gastos familia",0.047,0.036,0.244,0.011,0.145,0.07,0.053,0.051,0.088,0.066
"P12","Solo NBFamiliares",0.325,0.335,0.177,0.199,0.357,0.416,0.246,0.339,0.343,0.407
"P12","No alcanza NBFamiliares",0.389,0.529,0.372,0.541,0.326,0.311,0.412,0.069,0.32,0.473
"P12","No sabe",0,0.017,0,0,0.007,0,0.032,0,0,0
"P13","Muy buena",0.216,0.123,0.173,0.216,0.077,0.051,0.167,0.069,0.129,0.031
"P13","Buena",0.127,0.239,0.174,0.048,0.227,0.293,0.114,0.073,0.088,0.405
"P13","Ni buena ni mala",0.205,0.15,0.372,0.377,0.387,0.46,0.392,0.136,0.12,0.416
"P13","Mala",0.255,0.393,0.214,0.18,0.259,0.196,0.197,0.45,0.266,0.043
"P13","Muy mala",0.197,0.067,0.045,0.065,0.05,0,0.13,0.272,0.389,0.105
"P13","No sabe",0,0.028,0.022,0.114,0,0,0,0,0.008,0
"P14","Muy buena",0.28,0.459,0.11,0.173,0.143,0.069,0.349,0.304,0.347,0.379
"P14","Buena",0.097,0.152,0.112,0.216,0.223,0.35,0.064,0.275,0.112,0.19
"P14","Ni buena ni mala",0.14,0.108,0.206,0.092,0.157,0.209,0.296,0.019,0.145,0.033
"P14","Mala",0.17,0.12,0.195,0.224,0.14,0.07,0.119,0.173,0.122,0.185
"P14","Muy mala",0.313,0.161,0.355,0.295,0.337,0.302,0.172,0.229,0.274,0.213
"P14","No sabe",0,0,0.022,0,0,0,0,0,0,0
"P16","Muy buena",0.364,0.212,0.206,0.09,0.126,0.213,0.022,0.084,0.216,0.016
"P16","Buena",0.189,0.174,0.252,0.24,0.176,0.439,0.218,0.082,0.116,0.238
"P16","Ni buena ni mala",0.221,0.194,0.158,0.342,0.461,0.134,0.539,0.191,0.081,0.641
"P16","Mala",0.104,0.347,0.165,0.319,0.198,0.13,0.137,0.253,0.263,0.046
"P16","Muy mala",0.085,0.073,0.206,0.009,0.039,0,0.084,0.39,0.319,0.031
