"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.18,0.178,0.182,0.167,0.168,0.174,0.237,0.288,0.131,0.15,0.267,0.1,0.234,0.189,0.174,0,0,0
"2",0.112,0.116,0.109,0.178,0.093,0.098,0.102,0.141,0.105,0.097,0.048,0.167,0.028,0.074,0.163,0,0,0
"3",0.03,0.029,0.031,0,0.025,0.053,0.046,0.014,0.014,0.07,0.047,0.024,0.031,0.032,0.035,0,0,0
"4",0.051,0.04,0.061,0.02,0.074,0.053,0.026,0.047,0.055,0.047,0.067,0.058,0.009,0.036,0.061,0,0,0
"5",0.169,0.155,0.184,0.172,0.152,0.14,0.258,0.064,0.237,0.167,0.147,0.144,0.187,0.224,0.106,0,0,0
"6",0.049,0.062,0.037,0.112,0.007,0.073,0.046,0.022,0.052,0.072,0.083,0.023,0.086,0.051,0.064,0,0,0
"7",0.044,0.03,0.056,0.016,0.079,0.03,0.004,0,0.045,0.084,0.059,0.037,0.047,0.034,0.06,0,0,0
"8",0.06,0.079,0.041,0,0.076,0.066,0.083,0.036,0.062,0.079,0.034,0.099,0.109,0.025,0.104,0,0,0
"9-Pésimo",0.257,0.287,0.228,0.267,0.292,0.242,0.176,0.357,0.237,0.193,0.193,0.265,0.24,0.279,0.216,0,0,0
"No sabe",0.048,0.024,0.071,0.068,0.034,0.071,0.022,0.031,0.062,0.041,0.055,0.083,0.029,0.056,0.017,0,0,0
