"var","categoria","Oponerse totalmente y elevar un recurso de amparo ante la corte","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino","No sabe"
"P12","Gran excedente habitual",0.016,0,0,0.073,0
"P12","Gran excedente excepcional",0,0,0.016,0,0
"P12","Pequeño excedente habitual",0.009,0.01,0.082,0.027,0
"P12","Pequeño excedente excepcional",0.016,0.021,0.096,0.214,0
"P12","Alcanza gastos familia",0.073,0.073,0.18,0.179,0.05
"P12","No alcanza gastos familia",0.029,0.156,0.089,0.077,0.206
"P12","Solo NBFamiliares",0.397,0.436,0.427,0.195,0.084
"P12","No alcanza NBFamiliares",0.458,0.304,0.106,0.223,0.66
"P12","No sabe",0.002,0,0.004,0.012,0
"P13","Muy buena",0.17,0.222,0,0.074,0.483
"P13","Buena",0.213,0.097,0.055,0.104,0.091
"P13","Ni buena ni mala",0.34,0.287,0.171,0.119,0.053
"P13","Mala",0.148,0.333,0.351,0.267,0.159
"P13","Muy mala",0.127,0.05,0.409,0.374,0.164
"P13","No sabe",0.002,0.011,0.014,0.062,0.05
"P14","Muy buena",0.034,0.35,0.302,0.682,0.149
"P14","Buena",0.057,0.098,0.377,0.193,0.091
"P14","Ni buena ni mala",0.115,0.272,0.292,0.031,0.1
"P14","Mala",0.193,0.198,0.013,0.01,0.493
"P14","Muy mala",0.601,0.082,0.016,0.084,0.117
"P14","No sabe",0,0,0,0,0.05
"P16","Muy buena",0.288,0.121,0.058,0.069,0.023
"P16","Buena",0.202,0.294,0.158,0.06,0.323
"P16","Ni buena ni mala",0.167,0.296,0.231,0.41,0.206
"P16","Mala",0.212,0.152,0.325,0.198,0.334
"P16","Muy mala",0.123,0.096,0.228,0.263,0.061
"P16","No sabe",0.008,0.041,0,0,0.053
"P19","Muy buena",0.184,0.1,0,0.109,0.061
"P19","Buena",0.197,0.285,0.048,0.037,0.481
