"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.235,0.227,0.243,0.274,0.219,0.233,0.243,0.209,0.22,0.281,0.228,0.083,0.451,0.38,0.082,0,0,0,6
"Buena",0.162,0.207,0.118,0.218,0.16,0.158,0.114,0.251,0.095,0.164,0.203,0.033,0.223,0.246,0.089,0,0,0,6
"Ni buena ni mala",0.066,0.063,0.068,0.041,0.057,0.083,0.087,0.061,0.055,0.084,0.098,0.02,0.074,0.115,0.026,0,0,0,6
"Mala",0.163,0.109,0.214,0.041,0.136,0.198,0.3,0.191,0.176,0.119,0.224,0.166,0.057,0.082,0.227,0,0,0,6
"Muy mala",0.364,0.392,0.338,0.426,0.428,0.306,0.226,0.274,0.441,0.349,0.236,0.667,0.195,0.17,0.568,0,0,0,6
"No sabe",0.01,0.002,0.019,0,0,0.022,0.03,0.014,0.013,0.003,0.011,0.031,0,0.007,0.008,0,0,0,6
"Positiva",0.397,0.434,0.361,0.492,0.379,0.391,0.357,0.46,0.315,0.445,0.431,0.116,0.674,0.626,0.171,0,0,0,4
"Neutra",0.066,0.063,0.068,0.041,0.057,0.083,0.087,0.061,0.055,0.084,0.098,0.02,0.074,0.115,0.026,0,0,0,4
"Negativa",0.527,0.501,0.552,0.467,0.564,0.504,0.526,0.465,0.617,0.468,0.46,0.833,0.252,0.252,0.795,0,0,0,4
"No sabe",0.01,0.002,0.019,0,0,0.022,0.03,0.014,0.013,0.003,0.011,0.031,0,0.007,0.008,0,0,0,4
