"var","categoria","Peor","Igual","Mejor","No sabe"
"P12","Gran excedente habitual",0.012,0.062,0,0
"P12","Gran excedente excepcional",0.005,0,0,0
"P12","Pequeño excedente habitual",0.024,0.017,0.026,0.047
"P12","Pequeño excedente excepcional",0.038,0.087,0.112,0.139
"P12","Alcanza gastos familia",0.104,0.128,0.151,0.067
"P12","No alcanza gastos familia",0.059,0.099,0.048,0.093
"P12","Solo NBFamiliares",0.347,0.32,0.432,0.441
"P12","No alcanza NBFamiliares",0.411,0.273,0.231,0.206
"P12","No sabe",0,0.014,0,0.007
"P13","Muy buena",0.122,0.16,0.278,0.106
"P13","Buena",0.15,0.105,0.109,0.179
"P13","Ni buena ni mala",0.23,0.249,0.213,0.395
"P13","Mala",0.223,0.292,0.223,0.164
"P13","Muy mala",0.262,0.194,0.177,0.026
"P13","No sabe",0.013,0,0,0.13
"P14","Muy buena",0.138,0.426,0.545,0.364
"P14","Buena",0.097,0.149,0.189,0.364
"P14","Ni buena ni mala",0.151,0.196,0.044,0.167
"P14","Mala",0.167,0.082,0.149,0.077
"P14","Muy mala",0.443,0.147,0.073,0.028
"P14","No sabe",0.004,0,0,0
"P16","Muy buena",0.233,0.069,0.104,0.085
"P16","Buena",0.17,0.268,0.192,0.088
"P16","Ni buena ni mala",0.175,0.27,0.314,0.503
"P16","Mala",0.217,0.216,0.258,0.282
"P16","Muy mala",0.199,0.168,0.069,0.033
"P16","No sabe",0.006,0.009,0.063,0.009
"P19","Muy buena",0.117,0.04,0.246,0.21
"P19","Buena",0.149,0.249,0.221,0.028
"P19","Ni buena ni mala",0.231,0.249,0.19,0.39
"P19","Mala",0.245,0.22,0.157,0.301
"P19","Muy mala",0.254,0.234,0.148,0.007
"P19","No sabe",0.004,0.008,0.038,0.064
"P20","Gobierno nacional",0.402,0.131,0.242,0.128
"P20","Gobierno provincial",0.519,0.649,0.704,0.58
"P20","No sabe",0.079,0.22,0.054,0.292
"P21","El anterior gobierno de Arabela Carreras",0.243,0.156,0.348,0.572
"P21","El actual gobierno de Alberto Weretilneck",0.699,0.765,0.577,0.364
"P21","No sabe",0.058,0.079,0.075,0.064
"P22","El anterior gobierno de Alberto Fernández",0.269,0.086,0.201,0.844
"P22","El actual gobierno de Javier Milei",0.726,0.914,0.73,0.127
"P22","No sabe",0.005,0,0.069,0.029
"P23","Empleado sector publico",0.279,0.229,0.244,0.154
"P23","Empleado sector privado",0.214,0.178,0.287,0.33
"P23","Changas o trabajos eventuales",0.185,0.27,0.079,0.231
"P23","Estudiante",0.033,0.066,0.038,0
"P23","Amas de casa",0.065,0.118,0.135,0.109
"P23","Profesional o independiente",0.104,0.079,0.152,0.106
"P23","Comerciante, emprendedor o empresario",0.054,0.023,0.011,0.04
