"var","categoria","Reclamando directamente a la empresa","Reclamando en el Enacom porque la empresa nunca lo resolvió","Nunca se pudo resolver"
"P12","Gran excedente habitual",0.017,0.1,0
"P12","Gran excedente excepcional",0,0.009,0
"P12","Pequeño excedente habitual",0.004,0.052,0.097
"P12","Pequeño excedente excepcional",0.085,0.028,0.021
"P12","Alcanza gastos familia",0.153,0.134,0.157
"P12","No alcanza gastos familia",0.012,0.013,0.041
"P12","Solo NBFamiliares",0.408,0.301,0.4
"P12","No alcanza NBFamiliares",0.321,0.36,0.28
"P12","No sabe",0,0.003,0.004
"P13","Muy buena",0.063,0.045,0.213
"P13","Buena",0.238,0.298,0.08
"P13","Ni buena ni mala",0.294,0.201,0.096
"P13","Mala",0.125,0.235,0.39
"P13","Muy mala",0.275,0.219,0.221
"P13","No sabe",0.005,0.002,0
"P14","Muy buena",0.269,0.278,0.21
"P14","Buena",0.086,0.167,0.133
"P14","Ni buena ni mala",0.115,0.236,0.11
"P14","Mala",0.145,0.094,0.354
"P14","Muy mala",0.385,0.225,0.193
"P14","No sabe",0,0,0
"P16","Muy buena",0.324,0.139,0.204
"P16","Buena",0.17,0.205,0.188
"P16","Ni buena ni mala",0.338,0.178,0.135
"P16","Mala",0.132,0.148,0.397
"P16","Muy mala",0.034,0.321,0.071
"P16","No sabe",0.002,0.009,0.005
"P19","Muy buena",0.145,0.026,0.095
"P19","Buena",0.175,0.3,0.195
"P19","Ni buena ni mala",0.346,0.19,0.187
"P19","Mala",0.08,0.247,0.255
"P19","Muy mala",0.254,0.235,0.263
"P19","No sabe",0,0.002,0.005
"P20","Gobierno nacional",0.336,0.116,0.298
"P20","Gobierno provincial",0.579,0.751,0.618
"P20","No sabe",0.085,0.133,0.084
"P21","El anterior gobierno de Arabela Carreras",0.312,0.401,0.193
"P21","El actual gobierno de Alberto Weretilneck",0.625,0.501,0.765
"P21","No sabe",0.063,0.098,0.042
"P22","El anterior gobierno de Alberto Fernández",0.029,0.279,0.374
"P22","El actual gobierno de Javier Milei",0.963,0.721,0.579
"P22","No sabe",0.008,0,0.047
"P23","Empleado sector publico",0.212,0.23,0.262
"P23","Empleado sector privado",0.255,0.395,0.23
"P23","Changas o trabajos eventuales",0.225,0.119,0.207
"P23","Estudiante",0.074,0.022,0
"P23","Amas de casa",0.086,0.118,0.019
"P23","Profesional o independiente",0.081,0.042,0.086
"P23","Comerciante, emprendedor o empresario",0.016,0.035,0.06
"P23","Trabajador informal",0.002,0,0.023
"P23","No tengo trabajo",0.049,0.039,0.113
"P24","Muy de acuerdo",0.223,0.227,0.177
"P24","De acuerdo",0.107,0.135,0.202
"P24","Ni de acuerdo ni en desacuerdo",0.329,0.438,0.408
"P24","En desacuerdo",0.097,0.084,0.136
"P24","Muy en desacuerdo",0.217,0.107,0.061
"P24","No sabe",0.027,0.009,0.016
"P25","Muy de acuerdo",0.088,0.154,0.109
"P25","De acuerdo",0.093,0.165,0.049
"P25","Ni de acuerdo ni en desacuerdo",0.113,0.22,0.244
"P25","En desacuerdo",0.418,0.345,0.411
"P25","Muy en desacuerdo",0.288,0.116,0.181
"P25","No sabe",0,0,0.006
"P26","Si",0.718,0.646,0.643
"P26","No",0.282,0.354,0.357
"P27","Muy de acuerdo",0.29,0.324,0.146
"P27","De acuerdo",0.083,0.201,0.258
"P27","Ni de acuerdo ni en desacuerdo",0.203,0.163,0.183
"P27","En desacuerdo",0.294,0.146,0.208
"P27","Muy en desacuerdo",0.13,0.166,0.202
"P27","No sabe",0,0,0.003
"P28","Si",0.801,0.607,0.715
"P28","No",0.199,0.393,0.285
"P29","Muy de acuerdo",0.141,0.319,0.326
"P29","De acuerdo",0.183,0.098,0.187
"P29","Ni de acuerdo ni en desacuerdo",0.274,0.269,0.108
"P29","En desacuerdo",0.33,0.094,0.17
"P29","Muy en desacuerdo",0.064,0.22,0.191
"P29","No sabe",0.008,0,0.018
"P30","No estaba enterado",0.17,0.152,0.325
"P30","De acuerdo",0.295,0.528,0.411
"P30","En desacuerdo",0.457,0.279,0.16
"P30","No sabe",0.078,0.041,0.104
"P33","1-Excelente",0.34,0.118,0.107
"P33","2",0.05,0.151,0.072
"P33","3",0.061,0.015,0.031
"P33","4",0.024,0.046,0.013
"P33","5",0.143,0.07,0.248
"P33","6",0.009,0.036,0.195
"P33","7",0.051,0.046,0.05
"P33","8",0.018,0.121,0.014
"P33","9-Pésimo",0.212,0.381,0.247
"P33","No sabe",0.092,0.016,0.023
"P34","1-Excelente",0.324,0.129,0.123
"P34","2",0.045,0.095,0.068
"P34","3",0.157,0.047,0.033
"P34","4",0.013,0.067,0.129
"P34","5",0.053,0.06,0.133
"P34","6",0.03,0.026,0.016
"P34","7",0.031,0.057,0.019
"P34","8",0.022,0.107,0.068
"P34","9-Pésimo",0.22,0.408,0.388
"P34","No sabe",0.105,0.004,0.023
"P35","1-Excelente",0.332,0.151,0.203
"P35","2",0.031,0.109,0.05
"P35","3",0.111,0.034,0.046
"P35","4",0.032,0.016,0.023
"P35","5",0.085,0.204,0.14
"P35","6",0.04,0.034,0.047
"P35","7",0.068,0.081,0.078
"P35","8",0.007,0.064,0.136
"P35","9-Pésimo",0.19,0.307,0.263
"P35","No sabe",0.104,0,0.014
"P36","1-Excelente",0.283,0.044,0.048
"P36","2",0.025,0.144,0.05
"P36","3",0.127,0.116,0.054
"P36","4",0.052,0.015,0.025
"P36","5",0.116,0.109,0.168
"P36","6",0.028,0.045,0.04
"P36","7",0.032,0.05,0.277
"P36","8",0.069,0.197,0.027
"P36","9-Pésimo",0.163,0.254,0.291
"P36","No sabe",0.105,0.026,0.02
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.538,0.328,0.444
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.099,0.265,0.079
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.067,0.157,0.32
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.291,0.233,0.072
"P37","No sabe",0.005,0.017,0.085
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.479,0.316,0.385
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.112,0.121,0.19
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.182,0.263,0.205
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.227,0.163,0.22
"P38","No sabe",0,0.137,0
"P39","Oponerse totalmente",0.518,0.266,0.471
"P39","Oponerse parcialmente",0.036,0.109,0.067
"P39","Apoyar parcialmente",0.133,0.359,0.353
"P39","Apoyar totalmente",0.308,0.124,0.107
"P39","No sabe",0.005,0.142,0.002
"P40","Inseguridad y narcotráfico",0.231,0.18,0.328
"P40","Altos impuestos y tarifas",0.154,0.284,0.115
"P40","Educación y estado de las escuelas",0.16,0.384,0.321
"P40","Inflación",0.279,0.066,0.079
"P40","Estado de la salud",0.145,0.068,0.061
"P40","Corrupción",0.027,0.009,0
"P40","Pobreza",0.002,0,0.089
"P40","Medio ambiente, incendios y contaminación",0,0,0.007
"P40","Falta de trabajo",0.002,0.009,0
"P40","No sabe",0,0,0
"P44","Muy buena",0.065,0.01,0.01
"P44","Buena",0.042,0.073,0.028
"P44","Ni buena ni mala",0.281,0.435,0.195
"P44","Mala",0.449,0.237,0.547
"P44","Muy mala",0.154,0.245,0.218
"P44","No sabe",0.009,0,0.002
"P45","Peor",0.601,0.552,0.727
"P45","Igual",0.144,0.182,0.167
"P45","Mejor",0.137,0.107,0.093
"P45","No sabe",0.118,0.159,0.013
"P46","Peor",0.683,0.434,0.733
"P46","Igual",0.159,0.444,0.109
"P46","Mejor",0.029,0.045,0.134
"P46","No sabe",0.129,0.077,0.024
"P47","Javier Milei",0.443,0.543,0.226
"P47","Los gobernadores",0.521,0.339,0.555
"P47","No sabe",0.036,0.118,0.219
"P48","Muy buena",0.078,0.111,0.066
"P48","Buena",0.205,0.193,0.122
"P48","Ni buena ni mala",0.198,0.187,0.298
"P48","Mala",0.271,0.24,0.308
"P48","Muy mala",0.248,0.269,0.2
"P48","No sabe",0,0,0.006
"P50","Muy buena",0.285,0.101,0.133
"P50","Buena",0.274,0.224,0.239
"P50","Ni buena ni mala",0.153,0.127,0.157
"P50","Mala",0.204,0.211,0.425
"P50","Muy mala",0.084,0.318,0.04
"P50","No sabe",0,0.019,0.006
"P51","Muy buena",0.019,0.11,0.059
"P51","Buena",0.055,0.378,0.184
"P51","Ni buena ni mala",0.284,0.275,0.483
"P51","Mala",0.199,0.045,0.211
"P51","Muy mala",0.383,0.146,0.057
"P51","No sabe",0.06,0.046,0.006
"P54","Muy buena",0.257,0.317,0.102
"P54","Buena",0.03,0.088,0.072
"P54","Ni buena ni mala",0.165,0.058,0.144
"P54","Mala",0.138,0.166,0.301
"P54","Muy mala",0.41,0.365,0.381
"P54","No sabe",0,0.006,0
"P55","Muy buena",0.036,0.237,0.027
"P55","Buena",0.187,0.108,0.142
"P55","Ni buena ni mala",0.085,0.189,0.153
"P55","Mala",0.132,0.12,0.29
"P55","Muy mala",0.56,0.338,0.383
"P55","No sabe",0,0.008,0.005
"P56","Muy buena",0.019,0.183,0.024
"P56","Buena",0.216,0.075,0.142
"P56","Ni buena ni mala",0.175,0.041,0.357
"P56","Mala",0.107,0.115,0.092
"P56","Muy mala",0.483,0.586,0.385
"P56","No sabe",0,0,0
"P57","Muy buena",0.318,0.23,0.183
"P57","Buena",0.185,0.041,0.379
"P57","Ni buena ni mala",0.031,0.077,0.035
"P57","Mala",0.033,0.098,0.246
"P57","Muy mala",0.419,0.554,0.157
"P57","No sabe",0.014,0,0
"P58","Muy buena",0.509,0.441,0.103
"P58","Buena",0.023,0.1,0.179
"P58","Ni buena ni mala",0.02,0.051,0.181
"P58","Mala",0.051,0.077,0.249
