"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.163,0.137,0.19,0.17,0.17,0.143,0.169,0.219,0.143,0.142,0.199,0.065,0.241,0.195,0.145,0,0,0
"2",0.094,0.12,0.068,0.095,0.072,0.11,0.127,0.128,0.075,0.092,0.06,0.12,0.04,0.066,0.127,0,0,0
"3",0.075,0.075,0.075,0.153,0.059,0.06,0.046,0.064,0.063,0.105,0.051,0.09,0.025,0.105,0.061,0,0,0
"4",0.075,0.045,0.105,0.089,0.073,0.08,0.058,0.062,0.093,0.059,0.118,0.071,0.099,0.094,0.064,0,0,0
"5",0.11,0.108,0.111,0.021,0.119,0.114,0.188,0.053,0.158,0.089,0.126,0.128,0.053,0.088,0.09,0,0,0
"6",0.032,0.034,0.03,0,0.028,0.046,0.061,0.015,0.028,0.054,0.051,0.013,0.037,0.038,0.036,0,0,0
"7",0.042,0.045,0.039,0.013,0.056,0.022,0.068,0.025,0.032,0.073,0.075,0.051,0.019,0.022,0.075,0,0,0
"8",0.06,0.071,0.049,0.051,0.068,0.047,0.067,0.023,0.055,0.102,0.023,0.102,0.1,0.027,0.103,0,0,0
"9-Pésimo",0.299,0.335,0.264,0.34,0.309,0.323,0.185,0.377,0.297,0.229,0.231,0.271,0.356,0.31,0.273,0,0,0
"No sabe",0.05,0.03,0.069,0.068,0.046,0.055,0.031,0.034,0.056,0.055,0.066,0.089,0.03,0.055,0.026,0,0,0
