"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.262,0.304,0.223,0.358,0.229,0.198,0.276,0.288,0.242,0.266,0.249,0.323,0.096,0.112,0.41,0,0,0,6
"Buena",0.163,0.19,0.137,0.114,0.2,0.162,0.146,0.166,0.166,0.152,0.138,0.286,0,0.048,0.277,0,0,0,6
"Ni buena ni mala",0.159,0.097,0.217,0.094,0.164,0.199,0.204,0.145,0.203,0.097,0.193,0.141,0.111,0.158,0.145,0,0,0,6
"Mala",0.17,0.185,0.156,0.208,0.144,0.167,0.18,0.186,0.177,0.138,0.202,0.133,0.307,0.234,0.098,0,0,0,6
"Muy mala",0.243,0.224,0.261,0.226,0.26,0.264,0.194,0.215,0.208,0.342,0.218,0.117,0.472,0.448,0.065,0,0,0,6
"No sabe",0.003,0,0.006,0,0.003,0.01,0,0,0.004,0.005,0,0,0.014,0,0.005,0,0,0,6
"Positiva",0.425,0.494,0.36,0.472,0.429,0.36,0.422,0.454,0.408,0.418,0.387,0.609,0.096,0.16,0.687,0,0,0,4
"Neutra",0.159,0.097,0.217,0.094,0.164,0.199,0.204,0.145,0.203,0.097,0.193,0.141,0.111,0.158,0.145,0,0,0,4
"Negativa",0.413,0.409,0.417,0.434,0.404,0.431,0.374,0.401,0.385,0.48,0.42,0.25,0.779,0.682,0.163,0,0,0,4
"No sabe",0.003,0,0.006,0,0.003,0.01,0,0,0.004,0.005,0,0,0.014,0,0.005,0,0,0,4
