"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P05","Mucho",0.444,0.167,0.377
"P05","Bastante",0.369,0.452,0.287
"P05","Poco",0.128,0.282,0.148
"P05","Nada",0.051,0.051,0.178
"P05","No sabe",0.008,0.048,0.01
"P06","Siempre",0.239,0.132,0.123
"P06","Casi siempre",0.378,0.266,0.25
"P06","Casi nunca",0.276,0.495,0.408
"P06","Nunca, pero esta es una excepción",0.107,0.107,0.219
"P10","Unidos para Cambiar cordoba",0.155,0.162,0.137
"P10","Juntos Avancemos",0.304,0.261,0.236
"P10","De los liberales libertarios",0.289,0.151,0.127
"P10","Hacemos por nuestro país",0.099,0.154,0.019
"P10","De la Izquierda",0.032,0.055,0.087
"P10","En blanco",0.021,0.025,0.062
"P10","No sabe",0.1,0.192,0.332
"P14","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.166,0.124,0.122
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.262,0.289,0.187
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.321,0.229,0.134
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.191,0.205,0.228
"P14","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.013,0.025,0.004
"P14","En blanco",0.01,0.026,0.102
"P14","No sabe",0.037,0.102,0.223
"P18","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.434,0.234,0.315
"P18","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.25,0.373,0.347
"P18","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.177,0.143,0.19
"P18","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.068,0.117,0.026
"P18","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.02,0.055,0.004
"P18","No sabe",0.051,0.078,0.118
"P19","Totalmente seguro.",0.689,0.115,0.292
"P19","Bastante seguro",0.15,0.484,0.106
"P19","Algo seguro",0.086,0.103,0.501
"P19","Para nada seguro",0.075,0.298,0.101
"P21","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.371,0.164,0.086
"P21","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.38,0.494,0.335
"P21","En blanco",0.116,0.171,0.431
"P21","No sabe",0.133,0.171,0.148
"P22","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.365,0.204,0.229
"P22","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.379,0.368,0.253
"P22","En blanco",0.141,0.191,0.31
"P22","No sabe",0.115,0.237,0.208
"P23","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.272,0.14,0.134
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.472,0.395,0.421
"P23","En blanco",0.135,0.112,0.359
"P23","No sabe",0.121,0.353,0.086
"P24","Si",0.463,0.273,0.21
"P24","No",0.537,0.727,0.79
"P14_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.174,0.139,0.127
"P14_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.268,0.307,0.187
"P14_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.329,0.272,0.157
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.202,0.23,0.417
"P14_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.013,0.026,0.01
"P14_imputada","En blanco",0.014,0.026,0.102
