"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","En blanco"
"P05","Mucho",0.514,0.414,0.416,0.325,0.341,0.209
"P05","Bastante",0.359,0.406,0.347,0.368,0.355,0.329
"P05","Poco",0.082,0.148,0.145,0.229,0.071,0.042
"P05","Nada",0.036,0.022,0.076,0.053,0.138,0.405
"P05","No sabe",0.009,0.01,0.016,0.025,0.095,0.015
"P06","Siempre",0.258,0.207,0.21,0.262,0.254,0.046
"P06","Casi siempre",0.385,0.41,0.337,0.333,0.234,0.217
"P06","Casi nunca",0.24,0.3,0.304,0.32,0.451,0.311
"P06","Nunca, pero esta es una excepción",0.117,0.083,0.149,0.085,0.061,0.426
"P10","Unidos para Cambiar cordoba",0.527,0.068,0.051,0.145,0.14,0
"P10","Juntos Avancemos",0.203,0.766,0.066,0.192,0.11,0.147
"P10","De los liberales libertarios",0.05,0.098,0.675,0.111,0.029,0.021
"P10","Hacemos por nuestro país",0.121,0.029,0.054,0.243,0.013,0.006
"P10","De la Izquierda",0.014,0.001,0.039,0.026,0.578,0.129
"P10","En blanco",0.006,0.004,0.016,0.03,0.052,0.531
"P10","No sabe",0.079,0.034,0.099,0.253,0.078,0.166
"P18","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.182,0.388,0.613,0.356,0.414,0.206
"P18","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.203,0.358,0.211,0.242,0.18,0.252
"P18","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.383,0.144,0.086,0.207,0.127,0.036
"P18","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.139,0.061,0.036,0.084,0.029,0.075
"P18","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.034,0.008,0.025,0.024,0.226,0
"P18","No sabe",0.059,0.041,0.029,0.087,0.024,0.431
"P19","Totalmente seguro.",0.653,0.666,0.777,0.442,0.456,0.453
"P19","Bastante seguro",0.142,0.193,0.114,0.229,0.219,0.228
"P19","Algo seguro",0.153,0.082,0.068,0.136,0.134,0.019
"P19","Para nada seguro",0.052,0.059,0.041,0.193,0.191,0.3
"P20","Tiene Decidido que va a ir a votar.",0.936,0.92,0.942,0.881,0.886,0.735
"P20","Tiene dudas sobre si va a ir a  votar",0.04,0.057,0.042,0.054,0.091,0.074
"P20","Tiene Decidido que no va a ir a votar",0.024,0.023,0.016,0.065,0.023,0.191
"P21","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.844,0.213,0.207,0.334,0.221,0.454
"P21","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.1,0.739,0.361,0.226,0.281,0.216
"P21","En blanco",0.013,0.032,0.231,0.178,0.216,0.284
"P21","No sabe",0.043,0.016,0.201,0.262,0.282,0.046
"P22","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.288,0.778,0.074,0.326,0.108,0.069
"P22","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.133,0.164,0.819,0.179,0.448,0.168
"P22","En blanco",0.364,0.042,0.05,0.207,0.358,0.586
"P22","No sabe",0.215,0.016,0.057,0.288,0.086,0.177
"P23","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.707,0.223,0.069,0.259,0.218,0.01
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.133,0.391,0.853,0.279,0.404,0.015
"P23","En blanco",0.077,0.251,0.019,0.172,0.304,0.801
"P23","No sabe",0.083,0.135,0.059,0.29,0.074,0.174
"P24","Si",0.534,0.473,0.435,0.388,0.317,0.086
"P24","No",0.466,0.527,0.565,0.612,0.683,0.914
