"var","categoria","Union por la Patria","Cambiemos","Liberales","Izquierda","No sabe"
"P09_votan","Unión por la Patria",0.737,0.08,0.051,0.277,0.131
"P09_votan","Juntos por el Cambio",0.132,0.789,0.242,0.149,0.127
"P09_votan","De los liberales libertarios",0.057,0.074,0.559,0.025,0.147
"P09_votan","De la Izquierda",0.023,0.009,0.044,0.485,0.012
"P09_votan","Hacemos por nuestro país",0,0.002,0.014,0,0.023
"P09_votan","Otro",0.02,0.016,0.009,0.013,0.102
"P09_votan","En blanco",0.018,0.004,0.067,0.015,0.126
"P09_votan","No sabe",0.013,0.026,0.014,0.036,0.332
"P12_votan","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.503,0.076,0.048,0.147,0.098
"P12_votan","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.226,0.027,0.044,0.17,0.059
"P12_votan","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.085,0.464,0.246,0.194,0.037
"P12_votan","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.049,0.307,0.024,0.133,0.081
"P12_votan","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.089,0.089,0.535,0.025,0.15
"P12_votan","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.007,0.005,0,0.318,0.062
"P12_votan","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.005,0.006,0.038,0,0.043
"P12_votan","Otros",0.023,0.002,0.065,0.013,0.182
"P12_votan","En blanco",0.013,0.009,0,0,0.061
"P12_votan","No sabe",0,0.015,0,0,0.227
"P16_votan","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.722,0.076,0.05,0.38,0.091
"P16_votan","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.122,0.559,0.247,0.149,0.032
"P16_votan","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.054,0.315,0.132,0.051,0.12
"P16_votan","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.058,0.017,0.475,0.121,0.016
"P16_votan","Los candidatos a Jefe de Gobierno de las diferentes opciones de izquierda",0.011,0,0.033,0.299,0.25
"P16_votan","Otros",0.012,0.013,0.011,0,0.241
"P16_votan","En blanco",0.006,0.013,0.008,0,0.049
"P16_votan","No sabe",0.015,0.007,0.044,0,0.201
"P22_votan","Totalmente seguro.",0.689,0.6,0.683,0.642,0.444
"P22_votan","Bastante seguro",0.179,0.253,0.106,0.143,0.053
"P22_votan","Algo seguro",0.063,0.106,0.11,0.089,0.114
"P22_votan","Para nada seguro",0.069,0.041,0.101,0.126,0.389
"P23_votan","Tiene Decidido que va a ir a votar.",0.944,0.942,0.922,0.929,0.864
"P23_votan","Tiene dudas sobre si va a ir a  votar",0.056,0.058,0.078,0.071,0.136
"P34_votan","Inflación",0.314,0.342,0.324,0.324,0.23
"P34_votan","Desempleo",0.054,0.061,0.054,0.161,0.031
"P34_votan","Corrupción",0.144,0.284,0.428,0.15,0.351
"P34_votan","Inseguridad",0.072,0.19,0.094,0.132,0.222
"P34_votan","Precio del dólar",0.011,0.004,0.064,0,0.028
"P34_votan","Pobreza",0.187,0.042,0.005,0.115,0.028
"P34_votan","Narcotráfico",0.021,0.015,0.011,0.023,0.049
"P34_votan","Tarifas",0.007,0.012,0,0.05,0
"P34_votan","Otro",0.16,0.032,0.02,0.045,0.019
"P34_votan","No sabe",0.03,0.018,0,0,0.042
