"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Inflación",0.318,0.314,0.321,0.348,0.337,0.315,0.251,0.204,0.321,0.357,0.339,0.314,0.484
"Desempleo",0.065,0.076,0.056,0.072,0.068,0.055,0.06,0.125,0.086,0.027,0.06,0.083,0.021
"Corrupción",0.259,0.268,0.252,0.311,0.202,0.266,0.287,0.361,0.263,0.22,0.147,0.305,0.268
"Inseguridad",0.136,0.116,0.153,0.072,0.132,0.16,0.198,0.119,0.132,0.145,0.086,0.173,0.038
"Precio del dólar",0.024,0.022,0.026,0.07,0.005,0.011,0.015,0.073,0,0.025,0.02,0.005,0.022
"Pobreza",0.085,0.071,0.096,0.058,0.115,0.091,0.058,0.019,0.083,0.109,0.176,0.036,0
"Narcotráfico",0.018,0.018,0.019,0,0.023,0.017,0.035,0.022,0.023,0.014,0.033,0.015,0
"Tarifas",0.009,0.005,0.012,0,0.016,0.007,0.009,0.005,0.018,0.003,0.008,0.012,0
"Otro",0.065,0.083,0.05,0.05,0.081,0.066,0.056,0.054,0.05,0.081,0.114,0.037,0.064
"No sabe",0.021,0.027,0.015,0.019,0.021,0.012,0.031,0.018,0.024,0.019,0.017,0.02,0.103
