"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de la Izquierda","A otro candidato","No sabe"
"P07","Muy buena",0.268,0.046,0.095,0.018,0.042
"P07","Buena",0.319,0.091,0.145,0.079,0.171
"P07","Ni buena ni mala",0.174,0.137,0.29,0.184,0.359
"P07","Mala",0.104,0.189,0.26,0.224,0.123
"P07","Muy mala",0.122,0.521,0.206,0.464,0.295
"P07","No sabe",0.013,0.016,0.004,0.031,0.01
"P08","Muy buena",0.105,0.191,0.036,0,0.062
"P08","Buena",0.071,0.311,0.03,0.05,0.065
"P08","Ni buena ni mala",0.373,0.281,0.526,0.396,0.531
"P08","Mala",0.096,0.039,0.088,0.16,0.041
"P08","Muy mala",0.201,0.079,0.216,0.218,0.076
"P08","No sabe",0.154,0.099,0.104,0.176,0.225
"P09","Muy buena",0.222,0.036,0.096,0.009,0.093
"P09","Buena",0.31,0.085,0.063,0.053,0.098
"P09","Ni buena ni mala",0.239,0.2,0.371,0.176,0.444
"P09","Mala",0.059,0.135,0.161,0.205,0.144
"P09","Muy mala",0.097,0.415,0.228,0.409,0.153
"P09","No sabe",0.073,0.129,0.081,0.148,0.068
"P10","Muy buena",0.043,0.088,0.011,0.003,0.05
"P10","Buena",0.105,0.143,0.07,0.041,0.085
"P10","Ni buena ni mala",0.366,0.457,0.428,0.442,0.365
"P10","Mala",0.104,0.045,0.209,0.15,0.13
"P10","Muy mala",0.217,0.066,0.207,0.128,0.075
"P10","No sabe",0.165,0.201,0.075,0.236,0.295
"P11","Muy buena",0.11,0.073,0.196,0.065,0.023
"P11","Buena",0.096,0.171,0.023,0.054,0.167
"P11","Ni buena ni mala",0.338,0.205,0.234,0.17,0.344
"P11","Mala",0.16,0.096,0.31,0.235,0.169
"P11","Muy mala",0.267,0.359,0.217,0.381,0.182
"P11","No sabe",0.029,0.096,0.02,0.095,0.115
"P12","Muy buena",0.043,0.093,0.103,0.029,0.033
"P12","Buena",0.066,0.196,0.069,0.067,0.026
"P12","Ni buena ni mala",0.337,0.365,0.371,0.38,0.441
"P12","Mala",0.111,0.065,0.12,0.054,0.078
"P12","Muy mala",0.208,0.055,0.06,0.179,0.108
"P12","No sabe",0.235,0.226,0.277,0.291,0.314
"P13","Muy buena",0.085,0.011,0.129,0.015,0.002
"P13","Buena",0.081,0.051,0.004,0.053,0.006
"P13","Ni buena ni mala",0.319,0.381,0.577,0.38,0.436
"P13","Mala",0.058,0.082,0.07,0.067,0.056
"P13","Muy mala",0.146,0.057,0.019,0.153,0.064
"P13","No sabe",0.311,0.418,0.201,0.332,0.436
"P14","Muy buena",0.045,0.005,0.048,0.01,0
"P14","Buena",0.04,0.042,0.031,0.013,0.001
"P14","Ni buena ni mala",0.389,0.348,0.366,0.372,0.445
"P14","Mala",0.043,0.063,0.147,0.1,0.019
"P14","Muy mala",0.123,0.055,0.088,0.14,0.068
"P14","No sabe",0.36,0.487,0.32,0.365,0.467
"P15","La seguridad",0.089,0.087,0,0.023,0.074
"P15","El tránsito",0.021,0.019,0.081,0.019,0.002
"P15","El arreglo de las calles",0.232,0.097,0.247,0.144,0.152
"P15","El estado de las escuelas y la educación",0.048,0.017,0.159,0.078,0.038
"P15","El sistema de salud",0.056,0.043,0.027,0.169,0.056
"P15","El deporte y la cultura",0.174,0.123,0.115,0.132,0.075
"P15","La obra pública",0.155,0.021,0.057,0.017,0.007
"P15","La luminaria",0.029,0.116,0.151,0.095,0.055
"P15","No sabe",0.196,0.477,0.163,0.323,0.541
"P16","La seguridad",0.351,0.469,0.303,0.498,0.581
"P16","El tránsito",0.056,0.043,0.016,0.013,0.048
"P16","El arreglo de las calles",0.219,0.156,0.353,0.235,0.106
"P16","El estado de las escuelas y la educación",0.033,0.076,0.068,0.038,0.033
"P16","El sistema de salud",0.146,0.115,0.159,0.103,0.072
"P16","El deporte y la cultura",0.048,0.002,0.013,0.004,0.013
"P16","La obra pública",0.02,0.013,0.032,0.061,0.006
"P16","La luminaria",0.036,0.037,0.005,0.02,0.01
"P16","No sabe",0.091,0.089,0.051,0.028,0.131
"P17","Agua corriente y cloacas",0.537,0.555,0.315,0.499,0.533
"P17","Energía eléctrica",0.118,0.096,0.184,0.088,0.055
"P17","Red de gas natural",0.092,0.152,0.163,0.096,0.122
"P17","Recolección de residuos",0.108,0.13,0.166,0.196,0.177
"P17","Ninguno",0.145,0.067,0.172,0.121,0.113
"P18","Los robos",0.513,0.491,0.565,0.494,0.553
"P18","El narcotráfico",0.199,0.12,0.197,0.079,0.147
"P18","La ausencia de patrulleros y personal policial",0.188,0.258,0.128,0.265,0.158
"P18","Otro",0.085,0.121,0.086,0.08,0.083
"P18","Ninguno",0.015,0.01,0.024,0.082,0.059
"P19","Muy buena",0.145,0.031,0.235,0.078,0.026
"P19","Buena",0.195,0.112,0.103,0.02,0.082
"P19","Ni buena ni mala",0.423,0.391,0.308,0.298,0.321
"P19","Mala",0.081,0.246,0.212,0.265,0.302
"P19","Muy mala",0.078,0.182,0.1,0.231,0.177
"P19","No sabe",0.078,0.038,0.042,0.108,0.092
"P20","Muy buena",0.141,0.045,0,0.009,0.026
"P20","Buena",0.235,0.117,0.13,0.033,0.076
"P20","Ni buena ni mala",0.36,0.323,0.506,0.434,0.435
"P20","Mala",0.09,0.277,0.262,0.255,0.203
"P20","Muy mala",0.097,0.219,0.092,0.221,0.14
"P20","No sabe",0.077,0.019,0.01,0.048,0.12
"P23","Frente de Todos y el peronismo",0.879,0.156,0.389,0.157,0.19
"P23","Cambiemos",0.065,0.708,0.02,0.007,0.167
"P23","Liberales",0.019,0.064,0.246,0.505,0.117
"P23","Izquierda",0.005,0.001,0.19,0.162,0.044
"P23","No sabe",0.032,0.071,0.155,0.169,0.482
"P25","A Alberto Fernández",0.207,0.147,0.037,0.131,0.426
"P25","A Sergio Massa",0.224,0.44,0.548,0.222,0.063
"P25","A algún candidato del peronismo",0.051,0.071,0.16,0.588,0.085
"P25","A algún candidato del kirchnerismo",0.518,0.342,0.255,0.059,0.426
"P26","A Alberto Fernández",0.162,0.105,0,0.132,0.401
"P26","A Sergio Massa",0.167,0.394,0.508,0.228,0.006
"P26","A algún candidato del peronismo",0.076,0.049,0.154,0.57,0.085
"P26","A Cristina Fernández de Kirchner",0.595,0.452,0.338,0.07,0.508
"P27","A Horacio Rodriguez Larreta",0.636,0.331,0.073,0,0.112
"P27","A Mauricio Macri",0.113,0.363,0,0.597,0.385
"P27","A Patricia Bullrich",0.023,0.267,0.155,0.193,0.439
"P27","A Facundo Manes",0.152,0.035,0.772,0.21,0.064
"P27","A Martín Lousteau",0.076,0.004,0,0,0
"P28","Seguro lo votaria",0.025,0.185,0.084,0,0.079
"P28","Quizás lo votaría",0.019,0.371,0.073,0.393,0.103
"P28","Nunca lo votaría",0.956,0.444,0.843,0.607,0.818
"P29","Muy buena",0.27,0.022,0.117,0.022,0.158
"P29","Buena",0.283,0.067,0.077,0.125,0.155
"P29","Ni buena ni mala",0.281,0.082,0.353,0.092,0.271
"P29","Mala",0.119,0.137,0.241,0.129,0.091
"P29","Muy mala",0.046,0.686,0.188,0.617,0.316
"P29","No sabe",0.001,0.006,0.024,0.015,0.009
"P30","Muy buena",0.074,0.295,0.096,0.056,0.07
"P30","Buena",0.015,0.261,0.016,0.111,0.081
"P30","Ni buena ni mala",0.055,0.186,0.177,0.184,0.281
"P30","Mala",0.235,0.12,0.266,0.318,0.247
"P30","Muy mala",0.607,0.078,0.445,0.331,0.285
"P30","No sabe",0.014,0.06,0,0,0.036
"P31","Muy buena",0.749,0.046,0.372,0.07,0.145
"P31","Buena",0.076,0.082,0.117,0.059,0.178
"P31","Ni buena ni mala",0.083,0.022,0.241,0.166,0.186
"P31","Mala",0.036,0.074,0.108,0.157,0.106
"P31","Muy mala",0.054,0.765,0.162,0.548,0.336
"P31","No sabe",0.002,0.011,0,0,0.049
