"var","categoria","Frente de Todos y el peronismo","Cambiemos","Liberales","Izquierda","No sabe"
"P07","Muy buena",0.254,0.011,0.001,0.027,0.063
"P07","Buena",0.257,0.132,0.099,0.085,0.147
"P07","Ni buena ni mala",0.198,0.152,0.244,0.092,0.321
"P07","Mala",0.124,0.173,0.164,0.341,0.189
"P07","Muy mala",0.153,0.515,0.466,0.444,0.27
"P07","No sabe",0.014,0.017,0.026,0.011,0.01
"P08","Muy buena",0.098,0.141,0.042,0.166,0.07
"P08","Buena",0.064,0.288,0.144,0.038,0.069
"P08","Ni buena ni mala",0.354,0.406,0.363,0.242,0.519
"P08","Mala",0.12,0.012,0.084,0.286,0.015
"P08","Muy mala",0.179,0.081,0.203,0.245,0.113
"P08","No sabe",0.185,0.072,0.164,0.023,0.214
"P09","Muy buena",0.19,0.016,0.039,0.215,0.058
"P09","Buena",0.262,0.094,0.058,0.063,0.098
"P09","Ni buena ni mala",0.268,0.193,0.225,0.082,0.417
"P09","Mala",0.086,0.172,0.167,0.202,0.107
"P09","Muy mala",0.121,0.413,0.383,0.427,0.15
"P09","No sabe",0.073,0.112,0.128,0.011,0.17
"P10","Muy buena",0.049,0.06,0.058,0.011,0.027
"P10","Buena",0.071,0.169,0.107,0.161,0.044
"P10","Ni buena ni mala",0.349,0.409,0.377,0.423,0.566
"P10","Mala",0.151,0.055,0.114,0.138,0.063
"P10","Muy mala",0.195,0.07,0.104,0.223,0.089
"P10","No sabe",0.185,0.237,0.24,0.044,0.211
"P11","Muy buena",0.123,0.022,0.088,0.09,0.077
"P11","Buena",0.092,0.155,0.103,0.188,0.075
"P11","Ni buena ni mala",0.307,0.192,0.134,0.238,0.436
"P11","Mala",0.167,0.135,0.166,0.246,0.216
"P11","Muy mala",0.275,0.364,0.412,0.221,0.142
"P11","No sabe",0.036,0.132,0.097,0.017,0.054
"P12","Muy buena",0.035,0.077,0.093,0.058,0.047
"P12","Buena",0.053,0.218,0.063,0.065,0.052
"P12","Ni buena ni mala",0.365,0.348,0.297,0.212,0.52
"P12","Mala",0.122,0.023,0.155,0.091,0.033
"P12","Muy mala",0.17,0.077,0.118,0.351,0.084
"P12","No sabe",0.255,0.257,0.274,0.223,0.264
"P13","Muy buena",0.061,0.005,0.075,0.04,0.024
"P13","Buena",0.094,0.019,0.011,0.007,0.028
"P13","Ni buena ni mala",0.386,0.366,0.34,0.222,0.525
"P13","Mala",0.079,0.042,0.125,0.118,0.016
"P13","Muy mala",0.104,0.059,0.078,0.188,0.098
"P13","No sabe",0.276,0.509,0.371,0.425,0.309
"P14","Muy buena",0.044,0.005,0.001,0.022,0.002
"P14","Buena",0.049,0.015,0.006,0.017,0.023
"P14","Ni buena ni mala",0.37,0.312,0.424,0.357,0.483
"P14","Mala",0.066,0.037,0.054,0.269,0.017
"P14","Muy mala",0.108,0.059,0.1,0.171,0.098
"P14","No sabe",0.363,0.572,0.415,0.164,0.377
"P15","La seguridad",0.075,0.045,0.059,0,0.077
"P15","El tránsito",0.022,0.014,0.049,0.006,0.012
"P15","El arreglo de las calles",0.222,0.104,0.147,0.091,0.181
"P15","El estado de las escuelas y la educación",0.061,0.009,0.055,0.278,0.01
"P15","El sistema de salud",0.07,0.041,0.073,0.197,0.066
"P15","El deporte y la cultura",0.163,0.15,0.129,0.011,0.08
"P15","La obra pública",0.126,0.041,0.003,0.011,0.016
"P15","La luminaria",0.043,0.118,0.13,0.09,0.044
"P15","No sabe",0.218,0.478,0.355,0.316,0.514
"P16","La seguridad",0.341,0.505,0.537,0.577,0.485
