"var","categoria","Porque me siento desanimado con la realidad del país","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa","Nunca voy a votar","Por miedo a la pandemia","Porque las PASO no son elecciones importantes"
"P14","A Tolosa Paz por el Frente de Todos",0.226,0.185,0.43,0.62,0.596
"P14","A Santilli y Manes por Juntos",0.544,0.375,0.255,0.193,0.183
"P14","A del Caño por el Frente de Izquierda",0,0.114,0,0.077,0.028
"P14","A Espert por Avanza libertad",0.042,0.078,0,0.022,0.089
"P14","A Randazzo por ""Vamos con vos""",0.065,0.02,0,0.083,0.043
"P14","A Hotton por “+Valores”",0.1,0,0,0,0.017
"P14","Votaría en blanco o anularía",0.023,0.228,0.315,0.005,0.044
"P16","A Karina Isabel Menendez por el Frente de todos",0.23,0.149,0.406,0.616,0.58
"P16","A David Mauricio Zencich por Juntos",0.569,0.382,0.266,0.189,0.179
"P16","A Flavia Luz Tesone por el Frente de Izquierda",0,0.118,0,0.076,0.028
"P16","A Martín Maximiliano Diaz por Avanza libertad",0.043,0.083,0,0.023,0.089
"P16","A Domingo Palma por “Vamos con vos""",0.03,0.02,0,0.082,0.042
"P16","A Juan Domingo Ochoa por Union Celeste y Blanco",0.105,0,0,0,0.017
"P16","A Gustavo Javier Marchesani por Vocación Social",0,0,0,0,0
"P16","A Claudio Alejandro Ferrari por Republicano Federal",0,0,0,0.009,0.023
"P16","Votaría en blanco o anularía",0.023,0.248,0.328,0.005,0.042
"P18","Diego Santilli y Facundo Manes por “Juntos”",0.515,0.44,0.265,0.234,0.162
"P18","Victoria Tolosa Paz por el Frente de todos",0.136,0.085,0,0.587,0.406
"P18","Nicolás del Caño por el Frente de Izquierda",0,0.162,0,0,0.029
"P18","José Luis Espert por “Avanza Libertad”",0.286,0.003,0,0,0.074
"P18","Florencio Randazzo por “Vamos con vos”",0.028,0,0,0.156,0.04
"P18","Cynthia Hotton por “+Valores”",0,0,0,0,0.011
"P18","Ninguna en particular",0.019,0.278,0.293,0.008,0.278
"P18","No sabe",0.016,0.032,0.442,0.015,0
"P19","Diego Santilli y Facundo Manes por “Juntos”",0.136,0.211,0,0.495,0.871
"P19","Victoria Tolosa Paz por el Frente de todos",0.616,0.405,0.409,0.321,0.129
"P19","Nicolás del Caño por el Frente de Izquierda",0,0.019,0.258,0.139,0
"P19","José Luis Espert por “Avanza Libertad”",0.059,0.014,0,0.014,0
"P19","Florencio Randazzo por “Vamos con vos”",0,0.031,0,0,0
"P19","Cynthia Hotton por “+Valores”",0.1,0.04,0,0,0
"P19","Ninguna en particular",0.089,0.228,0.333,0.004,0
"P19","No sabe",0,0.052,0,0.027,0
"P20","No alcanzan para cubrir las necesidades básicas familiares",0.363,0.215,0.74,0.479,0.287
"P20","Solo alcanzan para cubrir las necesidades básicas familiares",0.441,0.386,0.26,0.215,0.336
"P20","No alcanzan para cubrir los gastos totales de la familia",0.038,0.093,0,0.281,0.213
"P20","Alcanzan para cubrir los gastos totales de la familia",0.099,0.212,0,0,0.164
"P20","Tenemos un pequeño excedente, pero es excepcional",0,0,0,0,0
"P20","Tenemos un pequeño excedente habitual que ahorramos o invertimos",0,0.005,0,0,0
"P20","Tenemos un gran excedente pero es excepcional",0,0.011,0,0,0
"P20","Tenemos un gran excedente habitual que ahorramos o invertimos",0,0.051,0,0.008,0
"P20","No sabe",0.059,0.027,0,0.017,0
"P21","Muy buena",0.083,0,0,0.314,0.146
"P21","Buena",0.016,0.102,0.666,0.348,0.644
"P21","Ni buena ni mala",0.228,0.386,0,0.16,0
"P21","Mala",0.042,0.276,0,0.109,0
"P21","Muy mala",0.631,0.236,0.334,0.059,0.21
"P21","No sabe",0,0,0,0.01,0
"P22","Muy buena",0.062,0.076,0,0.643,0.451
"P22","Buena",0.05,0.029,0,0.146,0.11
"P22","Ni buena ni mala",0.089,0.283,0.248,0.038,0.214
"P22","Mala",0.139,0.293,0,0.03,0.029
"P22","Muy mala",0.66,0.319,0.324,0.133,0.196
"P22","No sabe",0,0,0.428,0.01,0
"P23","Muy buena",0.051,0.026,0,0.237,0.061
"P23","Buena",0.088,0.231,0,0.331,0.182
"P23","Ni buena ni mala",0.245,0.275,0.248,0.161,0.532
"P23","Mala",0.06,0.145,0,0.165,0.029
"P23","Muy mala",0.396,0.323,0.324,0.106,0.196
"P23","No sabe",0.16,0,0.428,0,0
"P24","Muy buena",0.179,0,0,0.026,0
"P24","Buena",0.307,0.334,0,0.154,0.088
"P24","Ni buena ni mala",0.046,0.119,0.262,0.014,0
"P24","Mala",0.31,0.355,0,0.075,0.286
"P24","Muy mala",0.158,0.192,0.322,0.721,0.626
"P24","No sabe",0,0,0.416,0.01,0
"P25","Muy buena",0.245,0.082,0,0.079,0.028
"P25","Buena",0.476,0.061,0,0.153,0.158
"P25","Ni buena ni mala",0.053,0.496,0.263,0.076,0.499
"P25","Mala",0.029,0.158,0,0.106,0
"P25","Muy mala",0.022,0.148,0.331,0.576,0.315
"P25","No sabe",0.175,0.055,0.406,0.01,0
