"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Inflación",0.347,0.344,0.349,0.365,0.347,0.369,0.308,0.218,0.35,0.388,0.452,0.307,0.252,0.385,0.467,0.312,0.376,0.371
"Desempleo",0.07,0.07,0.071,0.09,0.059,0.066,0.075,0.169,0.061,0.043,0.087,0.058,0.045,0.118,0.035,0.038,0.095,0.068
"Corrupción",0.316,0.312,0.318,0.248,0.321,0.317,0.368,0.323,0.323,0.308,0.117,0.385,0.295,0.113,0.125,0.445,0.327,0.32
"Inseguridad",0.109,0.103,0.115,0.108,0.111,0.117,0.099,0.145,0.141,0.077,0.085,0.142,0.125,0.154,0.078,0.112,0.084,0.132
"Precio del dólar",0.021,0.018,0.025,0.034,0.026,0.01,0.014,0.034,0.024,0.016,0.059,0.009,0,0.067,0.018,0.003,0.009,0.03
"Pobreza",0.056,0.057,0.056,0.069,0.06,0.057,0.038,0.019,0.035,0.083,0.083,0.028,0.265,0.071,0.134,0.02,0.07,0.023
"Narcotráfico",0.005,0.009,0.001,0,0.001,0.014,0.004,0.017,0,0.003,0.004,0.006,0,0.004,0,0.01,0,0
"Tarifas",0.004,0.003,0.005,0,0.001,0.009,0.008,0,0.004,0.006,0.004,0.006,0,0.004,0.004,0.007,0,0.003
"Otro",0.054,0.07,0.039,0.052,0.071,0.032,0.048,0.041,0.036,0.069,0.091,0.038,0.018,0.065,0.131,0.048,0.017,0.042
"No sabe",0.018,0.014,0.021,0.034,0.003,0.009,0.038,0.034,0.026,0.007,0.018,0.021,0,0.019,0.008,0.005,0.022,0.011
