"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco"
"P05","Mucho",0.55,0.429,0.515,0.507,0.611,0.405
"P05","Bastante",0.294,0.299,0.265,0.341,0.228,0.128
"P05","Poco",0.136,0.201,0.138,0.127,0.161,0.069
"P05","Nada",0.018,0.051,0.068,0.025,0,0.398
"P05","No sabe",0.002,0.02,0.014,0,0,0
"P06","Siempre",0.161,0.176,0.219,0.08,0.077,0.167
"P06","Casi siempre",0.33,0.372,0.318,0.201,0.2,0.171
"P06","Casi nunca",0.323,0.302,0.308,0.47,0.418,0.569
"P06","Nunca, pero esta es una excepción",0.186,0.15,0.155,0.249,0.305,0.093
"P10","Unión por la Patria",0.645,0.087,0.413,0,0,0.127
"P10","Juntos por el Cambio",0.237,0.577,0.09,0,0.182,0.073
"P10","De los Liberales libertarios",0.032,0.2,0.344,0.158,0,0.094
"P10","De la Izquierda",0.012,0.022,0.032,0.765,0.063,0
"P10","Hacemos por nuestro país",0,0.021,0.059,0,0.425,0.025
"P10","En blanco",0.002,0.003,0.015,0,0.224,0.656
"P10","No sabe",0.072,0.09,0.047,0.077,0.106,0.025
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.23,0.633,0.403,0.253,0.253,0.376
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.232,0.163,0.259,0.138,0.183,0.197
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.341,0.127,0.232,0.178,0.223,0.096
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.107,0.032,0.034,0.268,0,0.114
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.031,0.002,0.03,0.064,0,0
"P26","No sabe",0.059,0.043,0.042,0.099,0.341,0.217
"P27","Totalmente seguro.",0.744,0.808,0.685,0.689,0.285,0.437
"P27","Bastante seguro",0.159,0.091,0.152,0.137,0.374,0
"P27","Algo seguro",0.044,0.075,0.125,0.174,0.278,0.329
"P27","Para nada seguro",0.053,0.026,0.038,0,0.063,0.234
"P28","Tiene Decidido que va a ir a votar.",0.936,0.914,0.893,0.807,1,0.481
"P28","Tiene dudas sobre si va a ir a  votar",0.056,0.054,0.066,0.151,0,0.299
"P28","Tiene Decidido que no va a ir a votar",0.008,0.032,0.041,0.042,0,0.22
"P29","No estaba enterado del tema",0.151,0.177,0.194,0.308,0,0.131
"P29","Un tema de la vida privada de él",0.148,0.051,0.113,0.184,0.146,0.056
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.445,0.196,0.325,0.298,0.227,0.227
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.148,0.227,0.152,0.025,0.48,0.307
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.073,0.342,0.213,0.179,0.147,0.279
"P29","No sabe",0.035,0.007,0.003,0.006,0,0
"P30","Si",0.735,0.838,0.731,0.927,0.578,0.701
"P30","No",0.265,0.162,0.269,0.073,0.422,0.299
"P31","Sergio Massa",0.652,0.226,0.416,0.198,0.145,0.286
"P31","Patria Bullrich",0.18,0.432,0.169,0.012,0.245,0.294
"P31","Javier Milei",0.049,0.232,0.286,0.189,0.043,0.106
"P31","Myriam Bregman",0.092,0.028,0.066,0.387,0.17,0
"P31","Juan Schiaretti",0.027,0.082,0.063,0.214,0.397,0.314
"P32","Ha aumentado significativamente",0.173,0.062,0.107,0,0.372,0.059
"P32","Ha aumentado ligeramente",0.173,0.137,0.254,0.264,0.068,0
"P32","Se mantiene igual",0.299,0.203,0.272,0.291,0.26,0.363
"P32","Ha disminuido ligeramente",0.191,0.234,0.132,0.012,0.242,0.177
"P32","Ha disminuido significativamente",0.164,0.364,0.235,0.433,0.058,0.401
"P33","No, ninguna dificultad",0.418,0.16,0.303,0.38,0.622,0.252
"P33","Alguna dificultad ocasional",0.312,0.312,0.316,0.262,0.253,0
"P33","Sí, dificultades frecuentes",0.27,0.528,0.381,0.358,0.125,0.748
"P34","Sí, absolutamente",0.598,0.337,0.47,0.622,0.639,0.305
"P34","Sí, en cierta medida",0.327,0.313,0.321,0.138,0.361,0.257
"P34","No, en absoluto",0.075,0.35,0.209,0.24,0,0.438
"P35","Reducir la inflación",0.455,0.412,0.351,0.673,0.341,0.372
"P35","Implementar reformas fiscales",0.126,0.029,0.159,0.252,0.096,0.11
"P35","Establecer políticas de control de precios",0.228,0.077,0.164,0.027,0,0.219
"P35","Reducir el gasto público",0.13,0.428,0.312,0.036,0.278,0.299
"P35","Estimular la inversión extranjera",0.03,0.049,0.012,0,0.285,0
"P35","Aumentar los subsidios a los servicios públicos",0.031,0.005,0.002,0.012,0,0
"P36","Muy positiva",0.347,0.167,0.249,0.125,0,0.118
"P36","Positiva",0.255,0.108,0.175,0.14,0.053,0.155
"P36","Neutral",0.15,0.377,0.292,0.117,0.023,0.291
"P36","Algo negativa",0.075,0.117,0.107,0.175,0.076,0.239
"P36","Negativa",0.046,0.132,0.046,0.26,0.391,0.197
"P36","No sabe",0.127,0.099,0.131,0.183,0.457,0
"P37","Muy positiva",0.566,0.162,0.416,0.552,0.079,0.356
"P37","Positiva",0.2,0.178,0.205,0.063,0.323,0.31
"P37","Neutral",0.123,0.326,0.191,0.011,0.047,0.334
"P37","Algo negativa",0.039,0.193,0.052,0.355,0,0
"P37","Negativa",0.044,0.103,0.086,0.019,0.135,0
"P37","No sabe",0.028,0.038,0.05,0,0.416,0
"P38","Muy positiva",0.389,0.136,0.231,0.048,0,0.119
"P38","Positiva",0.26,0.077,0.214,0.332,0.101,0.329
"P38","Neutral",0.23,0.372,0.233,0.058,0.37,0.299
"P38","Algo negativa",0.028,0.109,0.089,0.231,0.121,0
"P38","Negativa",0.043,0.256,0.118,0.056,0.408,0.147
"P38","No sabe",0.05,0.05,0.115,0.275,0,0.106
"P39","Muy positiva",0.521,0.353,0.45,0.223,0,0.532
"P39","Positiva",0.219,0.098,0.259,0.308,0.388,0.286
"P39","Neutral",0.165,0.24,0.137,0.374,0.153,0
"P39","Algo negativa",0.051,0.156,0.076,0,0,0.076
"P39","Negativa",0.029,0.131,0.046,0.019,0.459,0
"P39","No sabe",0.015,0.022,0.032,0.076,0,0.106
"P40","Muy positiva",0.468,0.19,0.421,0.316,0.027,0.151
"P40","Positiva",0.192,0.27,0.183,0.031,0.224,0.41
"P40","Neutral",0.201,0.218,0.23,0.065,0.447,0.239
"P40","Algo negativa",0.051,0.161,0.052,0.36,0,0
"P40","Negativa",0.024,0.115,0.025,0.149,0.302,0.146
"P40","No sabe",0.064,0.046,0.089,0.079,0,0.054
"P41","Lo votaría",0.7,0.083,0.382,0.261,0.246,0.375
"P41","Puede que lo vote",0.061,0.037,0.103,0.361,0,0.066
"P41","Nunca lo votaría",0.215,0.856,0.476,0.289,0.754,0.505
"P41","No sabe",0.024,0.024,0.039,0.089,0,0.054
"P42","Lo votaría",0.248,0.579,0.136,0,0.164,0.354
"P42","Puede que lo vote",0.049,0.147,0.197,0.39,0.162,0
"P42","Nunca lo votaría",0.682,0.255,0.622,0.486,0.35,0.594
"P42","No sabe",0.021,0.019,0.045,0.124,0.324,0.052
"P43","Lo votaría",0.058,0.334,0.373,0.293,0.083,0.257
"P43","Puede que lo vote",0.056,0.204,0.126,0.026,0.349,0.097
"P43","Nunca lo votaría",0.868,0.42,0.496,0.681,0.241,0.593
"P43","No sabe",0.018,0.042,0.005,0,0.327,0.053
"P44","Si",0.419,0.363,0.482,0.099,0.06,0.123
"P44","No",0.581,0.637,0.518,0.901,0.94,0.877
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.597,0.096,0.339,0.013,0.126,0.242
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.252,0.561,0.151,0.106,0.652,0.388
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.08,0.3,0.438,0.217,0.118,0
"P17_imputada","Los candidatos a presidente de la Izquierda",0.002,0,0.052,0.627,0,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.067,0.043,0.006,0.021,0.104,0
"P17_imputada","En blanco",0.002,0,0.014,0.016,0,0.37
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.497,0.157,0.347,0.263,0.111,0.7
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.31,0.509,0.202,0.021,0.122,0.143
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.151,0.326,0.365,0,0.583,0
"P20_imputada","El candidato a gobernador de la Izquierda",0.01,0.002,0.048,0.716,0,0
"P20_imputada","En blanco",0.032,0.006,0.038,0,0.184,0.157
"P23_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.395,0.164,0.412,0.643,0.293,0.393
"P23_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.294,0.671,0.386,0.021,0.576,0.116
"P23_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.168,0.125,0.165,0.026,0.131,0.145
"P23_imputada","El candidato del Frente de Izquierda",0.129,0.03,0.015,0.31,0,0
"P23_imputada","En blanco",0.014,0.01,0.022,0,0,0.346
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.885,0.037,0.121,0.006,0.025,0.082
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.072,0.807,0.051,0.067,0.112,0.172
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.022,0.133,0.804,0.116,0.029,0
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.001,0,0.015,0.791,0,0
