"var","categoria","No estaba enterado del tema","Un tema de la vida privada de él","Un hecho vergonzoso de exclusiva responsabilidad de él","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa","No sabe"
"P05","Mucho",0.658,0.558,0.55,0.397,0.419,0.461
"P05","Bastante",0.169,0.229,0.308,0.412,0.286,0.449
"P05","Poco",0.156,0.203,0.106,0.124,0.17,0.09
"P05","Nada",0.014,0.01,0.031,0.044,0.104,0
"P05","No sabe",0.003,0,0.005,0.023,0.021,0
"P06","Siempre",0.145,0.097,0.205,0.109,0.249,0.243
"P06","Casi siempre",0.294,0.312,0.343,0.419,0.274,0.357
"P06","Casi nunca",0.377,0.358,0.311,0.302,0.294,0.24
"P06","Nunca, pero esta es una excepción",0.184,0.233,0.141,0.17,0.183,0.16
"P10","Unión por la Patria",0.407,0.589,0.678,0.144,0.042,0.689
"P10","Juntos por el Cambio",0.223,0.055,0.175,0.477,0.464,0.07
"P10","De los Liberales libertarios",0.169,0.203,0.097,0.204,0.3,0.017
"P10","De la Izquierda",0.075,0.067,0.017,0.015,0.076,0.012
"P10","Hacemos por nuestro país",0.064,0,0.02,0.049,0.029,0
"P10","En blanco",0,0.004,0,0.046,0.012,0
"P10","No sabe",0.062,0.082,0.013,0.065,0.077,0.212
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.319,0.513,0.523,0.307,0.153,0.754
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.257,0.114,0.147,0.333,0.426,0.085
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.302,0.288,0.28,0.246,0.311,0.057
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.06,0.054,0.03,0.005,0.032,0.012
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.021,0.011,0.045,0.013,0
"P13","En blanco",0.006,0.004,0.006,0.015,0.01,0
"P13","No sabe",0.056,0.006,0.003,0.049,0.055,0.092
"P16","Si",0.418,0.359,0.261,0.357,0.348,0.214
"P16","No",0.582,0.641,0.739,0.643,0.652,0.786
"P17","Sergio Massa a presidente por Unión por la Patria.",0.389,0.68,0.406,0.148,0.047,0.564
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.152,0.038,0.301,0.544,0.537,0
"P17","Javier Milei a presidente por la Libertad Avanza",0.376,0.101,0.203,0.29,0.317,0.074
"P17","Los candidatos a presidente de la Izquierda",0.003,0.169,0.048,0,0.012,0
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.08,0,0.019,0.004,0.038,0
"P17","En blanco",0,0,0.015,0,0.02,0
"P17","No sabe",0,0.012,0.008,0.014,0.029,0.362
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.404,0.557,0.402,0.137,0.115,0
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.204,0.026,0.274,0.569,0.499,0
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.318,0.228,0.216,0.149,0.258,0.44
"P20","El candidato a gobernador de la Izquierda",0.058,0.165,0.054,0.008,0.012,0.122
"P20","En blanco",0,0.012,0.03,0.054,0.01,0.076
"P20","No sabe",0.016,0.012,0.024,0.083,0.106,0.362
"P23","Fernando Moreira a intendente por Unión por la Patria.",0.373,0.48,0.363,0.251,0.107,0.562
"P23","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.195,0.095,0.394,0.538,0.746,0.076
"P23","Hernán Sardella a intendente por la Libertad Avanza",0.249,0.032,0.066,0.097,0.069,0
"P23","El candidato del Frente de Izquierda",0.055,0.152,0.111,0.053,0.031,0
"P23","En blanco",0,0.038,0.031,0.035,0,0
"P23","No sabe",0.128,0.203,0.035,0.026,0.047,0.362
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.421,0.284,0.214,0.526,0.569,0.481
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.24,0.228,0.188,0.228,0.231,0.258
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.204,0.283,0.432,0.141,0.07,0.146
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.056,0.074,0.096,0.047,0.056,0
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.017,0.024,0.033,0.019,0.017,0.012
"P26","No sabe",0.062,0.107,0.037,0.039,0.057,0.103
"P27","Totalmente seguro.",0.678,0.677,0.759,0.707,0.791,0.718
"P27","Bastante seguro",0.22,0.139,0.132,0.122,0.108,0.163
"P27","Algo seguro",0.068,0.107,0.09,0.108,0.071,0.097
"P27","Para nada seguro",0.034,0.077,0.019,0.063,0.03,0.022
"P28","Tiene Decidido que va a ir a votar.",0.95,0.838,0.934,0.868,0.921,0.82
"P28","Tiene dudas sobre si va a ir a  votar",0.039,0.162,0.033,0.069,0.068,0.109
"P28","Tiene Decidido que no va a ir a votar",0.011,0,0.033,0.063,0.011,0.071
"P30","Si",0.726,0.503,0.84,0.77,0.797,0.965
"P30","No",0.274,0.497,0.16,0.23,0.203,0.035
"P31","Sergio Massa",0.675,0.662,0.622,0.137,0.091,0.696
"P31","Patria Bullrich",0.141,0.074,0.176,0.4,0.386,0.099
"P31","Javier Milei",0.133,0.079,0.06,0.221,0.401,0.084
"P31","Myriam Bregman",0.014,0.077,0.115,0.112,0.039,0.121
"P31","Juan Schiaretti",0.037,0.108,0.027,0.13,0.083,0
"P32","Ha aumentado significativamente",0.3,0.169,0.115,0.022,0.031,0.167
"P32","Ha aumentado ligeramente",0.157,0.218,0.231,0.168,0.143,0.198
"P32","Se mantiene igual",0.269,0.32,0.328,0.183,0.184,0.48
"P32","Ha disminuido ligeramente",0.112,0.065,0.17,0.298,0.226,0.029
"P32","Ha disminuido significativamente",0.162,0.228,0.156,0.329,0.416,0.126
"P33","No, ninguna dificultad",0.504,0.328,0.405,0.175,0.136,0.343
"P33","Alguna dificultad ocasional",0.233,0.317,0.352,0.327,0.258,0.556
"P33","Sí, dificultades frecuentes",0.263,0.355,0.243,0.498,0.606,0.101
"P34","Sí, absolutamente",0.637,0.611,0.615,0.35,0.225,0.571
"P34","Sí, en cierta medida",0.218,0.345,0.301,0.419,0.324,0.3
"P34","No, en absoluto",0.145,0.044,0.084,0.231,0.451,0.129
"P35","Reducir la inflación",0.525,0.433,0.455,0.367,0.32,0.187
"P35","Implementar reformas fiscales",0.101,0.116,0.148,0.113,0.075,0.085
"P35","Establecer políticas de control de precios",0.205,0.238,0.232,0.054,0.021,0.562
"P35","Reducir el gasto público",0.143,0.198,0.104,0.429,0.532,0
"P35","Estimular la inversión extranjera",0.004,0.003,0.038,0.035,0.052,0.116
"P35","Aumentar los subsidios a los servicios públicos",0.022,0.012,0.023,0.002,0,0.05
"P36","Muy positiva",0.355,0.424,0.303,0.112,0.141,0.184
"P36","Positiva",0.143,0.18,0.307,0.101,0.094,0.217
"P36","Neutral",0.236,0.104,0.178,0.38,0.354,0.012
"P36","Algo negativa",0.168,0.106,0.034,0.187,0.077,0
"P36","Negativa",0.01,0.065,0.058,0.099,0.194,0
"P36","No sabe",0.088,0.121,0.12,0.121,0.14,0.587
"P37","Muy positiva",0.447,0.573,0.603,0.148,0.155,0.611
"P37","Positiva",0.153,0.265,0.191,0.167,0.239,0.125
"P37","Neutral",0.253,0.099,0.095,0.35,0.242,0
"P37","Algo negativa",0.045,0.016,0.052,0.138,0.196,0
"P37","Negativa",0.067,0.047,0.013,0.124,0.149,0
"P37","No sabe",0.035,0,0.046,0.073,0.019,0.264
"P38","Muy positiva",0.37,0.473,0.376,0.075,0.039,0.101
"P38","Positiva",0.125,0.215,0.312,0.139,0.103,0.293
"P38","Neutral",0.313,0.171,0.184,0.382,0.304,0.369
"P38","Algo negativa",0.032,0.017,0.023,0.136,0.173,0
"P38","Negativa",0.107,0.033,0.032,0.214,0.295,0
"P38","No sabe",0.053,0.091,0.073,0.054,0.086,0.237
"P39","Muy positiva",0.588,0.64,0.523,0.179,0.322,0.232
"P39","Positiva",0.136,0.204,0.209,0.271,0.215,0.063
"P39","Neutral",0.175,0.098,0.173,0.216,0.184,0.37
"P39","Algo negativa",0.027,0.023,0.054,0.216,0.104,0.068
"P39","Negativa",0.066,0.017,0.017,0.105,0.144,0.053
"P39","No sabe",0.008,0.018,0.024,0.013,0.031,0.214
"P40","Muy positiva",0.451,0.653,0.512,0.158,0.121,0.299
"P40","Positiva",0.196,0.207,0.223,0.217,0.202,0.091
"P40","Neutral",0.186,0.097,0.112,0.381,0.334,0.07
"P40","Algo negativa",0.047,0,0.067,0.17,0.131,0
"P40","Negativa",0.075,0.036,0.027,0.047,0.106,0.05
"P40","No sabe",0.045,0.007,0.059,0.027,0.106,0.49
"P41","Lo votaría",0.489,0.751,0.706,0.079,0.016,0.695
"P41","Puede que lo vote",0.038,0.057,0.101,0.13,0.012,0.186
"P41","Nunca lo votaría",0.426,0.177,0.174,0.741,0.957,0.022
"P41","No sabe",0.047,0.015,0.019,0.05,0.015,0.097
"P42","Lo votaría",0.253,0.164,0.191,0.467,0.443,0.117
"P42","Puede que lo vote",0.083,0.158,0.072,0.243,0.163,0
"P42","Nunca lo votaría",0.601,0.671,0.709,0.241,0.371,0.849
"P42","No sabe",0.063,0.007,0.028,0.049,0.023,0.034
"P43","Lo votaría",0.266,0.154,0.097,0.247,0.463,0
"P43","Puede que lo vote",0.138,0.04,0.062,0.189,0.191,0
"P43","Nunca lo votaría",0.574,0.799,0.835,0.498,0.306,0.978
"P43","No sabe",0.022,0.007,0.006,0.066,0.04,0.022
"P44","Si",0.361,0.589,0.424,0.305,0.434,0.195
"P44","No",0.639,0.411,0.576,0.695,0.566,0.805
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.371,0.571,0.528,0.269,0.114,0.794
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.166,0.09,0.143,0.362,0.481,0.085
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.347,0.258,0.272,0.276,0.305,0.017
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.039,0.056,0.029,0.005,0.03,0.012
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.034,0.017,0.015,0.047,0.016,0
"PRESIDENTE","En blanco",0.006,0.004,0.011,0.01,0.007,0
"PRESIDENTE","No sabe",0.037,0.004,0.002,0.031,0.047,0.092
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.384,0.524,0.526,0.265,0.139,0.667
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.191,0.091,0.138,0.373,0.479,0.085
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.31,0.302,0.276,0.226,0.272,0.104
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.062,0.054,0.031,0.007,0.03,0.04
"GOBERNADOR","En blanco",0.006,0.025,0.024,0.072,0.007,0.012
"GOBERNADOR","No sabe",0.047,0.004,0.005,0.057,0.073,0.092
"INTENDENTE","Fernando Moreira a intendente por Unión por la Patria.",0.383,0.494,0.51,0.307,0.131,0.799
"INTENDENTE","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.169,0.114,0.171,0.351,0.566,0.097
"INTENDENTE","Hernán Sardella a intendente por la Libertad Avanza",0.295,0.23,0.238,0.216,0.211,0
"INTENDENTE","El candidato del Frente de Izquierda",0.06,0.059,0.047,0.021,0.036,0.012
"INTENDENTE","En blanco",0.006,0.034,0.021,0.069,0.004,0
"INTENDENTE","No sabe",0.087,0.069,0.013,0.036,0.052,0.092
"CORTA_PRESIDENTE","Si",0.261,0.122,0.109,0.149,0.142,0.04
"CORTA_PRESIDENTE","No",0.739,0.878,0.891,0.851,0.858,0.96
"CORTA_GOBERNADOR","Si",0.193,0.142,0.129,0.19,0.193,0.127
"CORTA_GOBERNADOR","No",0.807,0.858,0.871,0.81,0.807,0.873
"CORTA_INTENDENTE","Si",0.285,0.332,0.13,0.184,0.213,0.057
"CORTA_INTENDENTE","No",0.715,0.668,0.87,0.816,0.787,0.943
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.346,0.517,0.525,0.342,0.153,0.824
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.262,0.114,0.149,0.336,0.462,0.107
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.326,0.29,0.28,0.257,0.328,0.057
"P13_imputada","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.06,0.054,0.029,0.005,0.032,0.012
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.021,0.011,0.045,0.013,0
"P13_imputada","En blanco",0.006,0.004,0.006,0.015,0.012,0
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.389,0.68,0.409,0.148,0.058,0.564
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.152,0.038,0.306,0.547,0.55,0.217
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.376,0.101,0.203,0.295,0.322,0.219
"P17_imputada","Los candidatos a presidente de la Izquierda",0.003,0.169,0.048,0.006,0.012,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.08,0.012,0.019,0.004,0.038,0
"P17_imputada","En blanco",0,0,0.015,0,0.02,0
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.404,0.557,0.406,0.144,0.131,0.217
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.215,0.038,0.279,0.602,0.571,0
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.323,0.228,0.231,0.188,0.276,0.44
"P20_imputada","El candidato a gobernador de la Izquierda",0.058,0.165,0.054,0.007,0.012,0.122
"P20_imputada","En blanco",0,0.012,0.03,0.059,0.01,0.221
"P23_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.416,0.48,0.398,0.255,0.119,0.779
"P23_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.206,0.164,0.394,0.551,0.782,0.221
"P23_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.323,0.166,0.066,0.105,0.068,0
"P23_imputada","El candidato del Frente de Izquierda",0.055,0.152,0.111,0.054,0.031,0
"P23_imputada","En blanco",0,0.038,0.031,0.035,0,0
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.388,0.571,0.529,0.294,0.118,0.816
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.171,0.09,0.144,0.364,0.523,0.133
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.362,0.258,0.272,0.278,0.306,0.039
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.039,0.056,0.029,0.007,0.03,0.012
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.034,0.021,0.015,0.047,0.016,0
"PRESIDENTE_imputada","En blanco",0.006,0.004,0.011,0.01,0.007,0
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.401,0.524,0.527,0.292,0.146,0.737
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.202,0.095,0.139,0.391,0.541,0.085
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.329,0.302,0.279,0.236,0.277,0.104
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.062,0.054,0.031,0.007,0.029,0.04
"GOBERNADOR_imputada","En blanco",0.006,0.025,0.024,0.074,0.007,0.034
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.412,0.493,0.523,0.334,0.135,0.869
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.18,0.134,0.171,0.358,0.615,0.119
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.342,0.28,0.238,0.218,0.211,0
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0.06,0.059,0.047,0.021,0.035,0.012
"INTENDENTE_imputada","En blanco",0.006,0.034,0.021,0.069,0.004,0
