"var","categoria","Axel Kicillof a gobernador por Unión por la Patria.","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco"
"P05","Mucho",0.5,0.336,0.531,0.37,0.207
"P05","Bastante",0.266,0.331,0.274,0.372,0.054
"P05","Poco",0.171,0.299,0.167,0.218,0.35
"P05","Nada",0.063,0.027,0.017,0.028,0.389
"P05","No sabe",0,0.007,0.011,0.012,0
"P06","Siempre",0.053,0.196,0.198,0.061,0.18
"P06","Casi siempre",0.401,0.305,0.228,0.198,0.616
"P06","Casi nunca",0.464,0.393,0.371,0.294,0.049
"P06","Nunca, pero esta es una excepción",0.082,0.106,0.203,0.447,0.155
"P10","Unión por la Patria",0.617,0.038,0.204,0.074,0.526
"P10","Juntos por el Cambio",0.062,0.701,0.317,0.03,0.075
"P10","De los Liberales libertarios",0.124,0.148,0.37,0.125,0.041
"P10","De la Izquierda",0.055,0.015,0.012,0.66,0
"P10","Hacemos por nuestro país",0.002,0.005,0.016,0,0
"P10","En blanco",0.059,0.008,0,0,0
"P10","No sabe",0.081,0.085,0.081,0.111,0.358
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.217,0.549,0.51,0.062,0.362
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.13,0.156,0.172,0.145,0.085
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.322,0.234,0.172,0.342,0.474
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.176,0.011,0.072,0.352,0
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.067,0.002,0.005,0.019,0
"P26","No sabe",0.088,0.048,0.069,0.08,0.079
"P27","Totalmente seguro.",0.677,0.65,0.748,0.336,0.347
"P27","Bastante seguro",0.199,0.231,0.129,0.312,0
"P27","Algo seguro",0.084,0.098,0.112,0.352,0.292
"P27","Para nada seguro",0.04,0.021,0.011,0,0.361
"P28","Tiene Decidido que va a ir a votar.",0.943,0.938,0.943,0.694,0.491
"P28","Tiene dudas sobre si va a ir a  votar",0.046,0.023,0.018,0.306,0.509
"P28","Tiene Decidido que no va a ir a votar",0.011,0.039,0.039,0,0
"P29","No estaba enterado del tema",0.282,0.138,0.285,0.248,0
"P29","Un tema de la vida privada de él",0.215,0.013,0.111,0.389,0.06
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.335,0.212,0.241,0.271,0.33
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.084,0.324,0.14,0.027,0.456
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.078,0.313,0.208,0.045,0.077
"P29","No sabe",0.006,0,0.015,0.02,0.077
"P30","Si",0.693,0.855,0.88,0.893,0.355
"P30","No",0.307,0.145,0.12,0.107,0.645
"P31","Sergio Massa",0.742,0.06,0.421,0.279,0.341
"P31","Patria Bullrich",0.1,0.597,0.195,0.042,0.027
"P31","Javier Milei",0.055,0.145,0.258,0.195,0.346
"P31","Myriam Bregman",0.07,0.022,0.101,0.484,0.049
"P31","Juan Schiaretti",0.033,0.176,0.025,0,0.237
"P32","Ha aumentado significativamente",0.306,0.016,0.008,0,0.174
"P32","Ha aumentado ligeramente",0.091,0.108,0.203,0.114,0
"P32","Se mantiene igual",0.342,0.206,0.179,0.202,0.397
"P32","Ha disminuido ligeramente",0.087,0.428,0.087,0,0.261
"P32","Ha disminuido significativamente",0.174,0.242,0.523,0.684,0.168
"P33","No, ninguna dificultad",0.63,0.132,0.097,0.206,0
"P33","Alguna dificultad ocasional",0.253,0.257,0.341,0.292,0.373
"P33","Sí, dificultades frecuentes",0.117,0.611,0.562,0.502,0.627
"P34","Sí, absolutamente",0.707,0.197,0.312,0.727,0.848
"P34","Sí, en cierta medida",0.2,0.546,0.418,0.273,0.072
"P34","No, en absoluto",0.093,0.257,0.27,0,0.08
"P35","Reducir la inflación",0.418,0.423,0.506,0.654,0.081
"P35","Implementar reformas fiscales",0.089,0.03,0.139,0.057,0
"P35","Establecer políticas de control de precios",0.317,0.139,0.084,0.036,0.689
"P35","Reducir el gasto público",0.142,0.381,0.223,0.235,0.209
"P35","Estimular la inversión extranjera",0.029,0.027,0.032,0.018,0.021
"P35","Aumentar los subsidios a los servicios públicos",0.005,0,0.016,0,0
"P36","Muy positiva",0.457,0.037,0.293,0.029,0
"P36","Positiva",0.173,0.26,0.137,0.062,0.096
"P36","Neutral",0.141,0.411,0.259,0.253,0.412
"P36","Algo negativa",0.131,0.109,0.098,0.196,0.074
"P36","Negativa",0.028,0.049,0.015,0.024,0.169
"P36","No sabe",0.07,0.134,0.198,0.436,0.249
"P37","Muy positiva",0.53,0.107,0.244,0.682,0.619
"P37","Positiva",0.322,0.226,0.133,0.03,0.079
"P37","Neutral",0.08,0.347,0.358,0,0.076
"P37","Algo negativa",0.013,0.2,0.021,0,0.042
"P37","Negativa",0.029,0.083,0.189,0.015,0
"P37","No sabe",0.026,0.037,0.055,0.273,0.184
"P38","Muy positiva",0.518,0.076,0.13,0.064,0.505
"P38","Positiva",0.209,0.076,0.058,0.097,0.117
"P38","Neutral",0.193,0.361,0.348,0,0.23
"P38","Algo negativa",0.008,0.23,0.043,0,0.096
"P38","Negativa",0.049,0.152,0.164,0.01,0.052
"P38","No sabe",0.023,0.105,0.257,0.829,0
"P39","Muy positiva",0.624,0.254,0.361,0.406,0.138
"P39","Positiva",0.16,0.153,0.125,0.584,0.069
"P39","Neutral",0.133,0.268,0.169,0,0.725
"P39","Algo negativa",0.017,0.233,0.112,0,0.068
"P39","Negativa",0.045,0.056,0.209,0.01,0
"P39","No sabe",0.021,0.036,0.024,0,0
"P40","Muy positiva",0.544,0.125,0.239,0.617,0.085
"P40","Positiva",0.138,0.264,0.082,0.095,0.12
"P40","Neutral",0.129,0.283,0.251,0,0.671
"P40","Algo negativa",0.098,0.249,0.006,0,0
"P40","Negativa",0.053,0.046,0.2,0.01,0.07
"P40","No sabe",0.038,0.033,0.222,0.278,0.054
"P41","Lo votaría",0.845,0.008,0.115,0.559,0.33
"P41","Puede que lo vote",0.076,0.016,0.077,0.112,0.531
"P41","Nunca lo votaría",0.068,0.886,0.668,0.329,0.054
"P41","No sabe",0.011,0.09,0.14,0,0.085
"P42","Lo votaría",0.298,0.561,0.115,0.018,0
"P42","Puede que lo vote",0.073,0.266,0.181,0.545,0.054
"P42","Nunca lo votaría",0.62,0.154,0.564,0.437,0.79
"P42","No sabe",0.009,0.019,0.14,0,0.156
"P43","Lo votaría",0.101,0.249,0.564,0.291,0
"P43","Puede que lo vote",0.106,0.238,0.215,0,0.541
"P43","Nunca lo votaría",0.782,0.487,0.202,0.709,0.407
"P43","No sabe",0.011,0.026,0.019,0,0.052
"P44","Si",0.517,0.299,0.464,0.388,0.25
"P44","No",0.483,0.701,0.536,0.612,0.75
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.481,0.295,0.179,0.066,0.401
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.166,0.526,0.421,0.012,0.082
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.297,0.17,0.384,0.276,0.412
"P13_imputada","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.035,0.003,0,0.646,0
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.003,0.003,0.016,0,0.053
"P13_imputada","En blanco",0.018,0.003,0,0,0.052
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.603,0.073,0.298,0.102,0.602
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.076,0.687,0.232,0.079,0.053
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.123,0.222,0.47,0.331,0.345
"P17_imputada","Los candidatos a presidente de la Izquierda",0.075,0.006,0,0.431,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.102,0.012,0,0.043,0
"P17_imputada","En blanco",0.021,0,0,0.014,0
"P23_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.583,0.154,0.149,0.601,0.657
"P23_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.213,0.689,0.498,0.068,0.289
"P23_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.044,0.112,0.353,0,0
"P23_imputada","El candidato del Frente de Izquierda",0.126,0.031,0,0.331,0
"P23_imputada","En blanco",0.034,0.014,0,0,0.054
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.603,0.073,0.298,0.102,0.602
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.076,0.687,0.232,0.079,0.053
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.123,0.222,0.47,0.331,0.345
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.075,0.006,0,0.431,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.102,0.012,0,0.043,0
