"var","categoria","Sergio Massa a presidente por Unión por la Patria.","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Los candidatos a presidente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco"
"P05","Mucho",0.543,0.459,0.51,0.434,0.578,0.426
"P05","Bastante",0.283,0.306,0.265,0.43,0.19,0.119
"P05","Poco",0.139,0.16,0.172,0.1,0.203,0.11
"P05","Nada",0.033,0.052,0.041,0.036,0.029,0.345
"P05","No sabe",0.002,0.023,0.012,0,0,0
"P06","Siempre",0.134,0.215,0.235,0.007,0.053,0.271
"P06","Casi siempre",0.339,0.39,0.295,0.177,0.197,0.088
"P06","Casi nunca",0.356,0.257,0.295,0.554,0.388,0.641
"P06","Nunca, pero esta es una excepción",0.171,0.138,0.175,0.262,0.362,0
"P10","Unión por la Patria",0.69,0.097,0.322,0.016,0.202,0.37
"P10","Juntos por el Cambio",0.183,0.619,0.121,0,0.113,0.106
"P10","De los Liberales libertarios",0.045,0.134,0.41,0.199,0,0
"P10","De la Izquierda",0.015,0.027,0.043,0.66,0.084,0.037
"P10","Hacemos por nuestro país",0.001,0.028,0.062,0,0.161,0
"P10","En blanco",0.001,0.007,0.001,0.112,0.137,0.487
"P10","No sabe",0.065,0.088,0.041,0.013,0.303,0
"P16","Si",0.294,0.456,0.35,0.475,0.545,0.463
"P16","No",0.706,0.544,0.65,0.525,0.455,0.537
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.249,0.537,0.47,0.304,0.215,0.303
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.199,0.203,0.258,0.155,0.315,0.109
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.356,0.158,0.18,0.209,0.153,0.266
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.104,0.026,0.051,0.149,0.064,0.152
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.029,0.008,0.023,0.072,0.044,0
"P26","No sabe",0.063,0.068,0.018,0.111,0.209,0.17
"P27","Totalmente seguro.",0.742,0.784,0.708,0.772,0.292,0.535
"P27","Bastante seguro",0.145,0.107,0.154,0.008,0.496,0
"P27","Algo seguro",0.064,0.08,0.101,0.208,0.151,0.237
"P27","Para nada seguro",0.049,0.029,0.037,0.012,0.061,0.228
"P28","Tiene Decidido que va a ir a votar.",0.929,0.908,0.904,0.783,0.982,0.577
"P28","Tiene dudas sobre si va a ir a  votar",0.064,0.054,0.055,0.17,0.018,0.293
"P28","Tiene Decidido que no va a ir a votar",0.007,0.038,0.041,0.047,0,0.13
"P29","No estaba enterado del tema",0.169,0.117,0.216,0.224,0.239,0.128
"P29","Un tema de la vida privada de él",0.164,0.041,0.101,0.214,0.096,0.056
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.449,0.193,0.316,0.326,0.212,0.437
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.128,0.248,0.165,0.04,0.33,0.215
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.056,0.392,0.2,0.189,0.123,0.164
"P29","No sabe",0.034,0.009,0.002,0.007,0,0
"P30","Si",0.732,0.828,0.76,0.903,0.52,0.623
"P30","No",0.268,0.172,0.24,0.097,0.48,0.377
"P31","Sergio Massa",0.692,0.173,0.402,0.079,0.389,0.297
"P31","Patria Bullrich",0.148,0.487,0.168,0.027,0.185,0.288
"P31","Javier Milei",0.049,0.192,0.317,0.217,0.068,0.133
"P31","Myriam Bregman",0.092,0.037,0.059,0.431,0.092,0.053
"P31","Juan Schiaretti",0.019,0.111,0.054,0.246,0.266,0.229
"P32","Ha aumentado significativamente",0.171,0.036,0.112,0,0.494,0.074
"P32","Ha aumentado ligeramente",0.186,0.157,0.22,0.293,0.062,0
"P32","Se mantiene igual",0.311,0.211,0.249,0.327,0.223,0.4
"P32","Ha disminuido ligeramente",0.164,0.236,0.165,0.014,0.191,0.223
"P32","Ha disminuido significativamente",0.168,0.36,0.254,0.366,0.03,0.303
"P33","No, ninguna dificultad",0.426,0.158,0.29,0.304,0.676,0.316
"P33","Alguna dificultad ocasional",0.316,0.298,0.318,0.295,0.258,0
"P33","Sí, dificultades frecuentes",0.258,0.544,0.392,0.401,0.066,0.684
"P34","Sí, absolutamente",0.622,0.325,0.444,0.549,0.719,0.374
"P34","Sí, en cierta medida",0.293,0.321,0.359,0.167,0.266,0.322
