"var","categoria","Fernando Moreira a intendente por Unión por la Patria.","Mauricio D’Alessandro a intendente por Juntos por el Cambio","Hernán Sardella a intendente por la Libertad Avanza","El candidato del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.515,0.454,0.553,0.568,0.626,0.411
"P05","Bastante",0.32,0.302,0.281,0.22,0.158,0.204
"P05","Poco",0.145,0.142,0.122,0.189,0.164,0.284
"P05","Nada",0.018,0.08,0.031,0.023,0.052,0.08
"P05","No sabe",0.002,0.022,0.013,0,0,0.021
"P06","Siempre",0.153,0.235,0.211,0.013,0.087,0.055
"P06","Casi siempre",0.361,0.321,0.328,0.199,0.222,0.313
"P06","Casi nunca",0.322,0.301,0.274,0.673,0.48,0.31
"P06","Nunca, pero esta es una excepción",0.164,0.143,0.187,0.115,0.211,0.322
"P10","Unión por la Patria",0.646,0.109,0.432,0.35,0.188,0.195
"P10","Juntos por el Cambio",0.204,0.595,0.104,0.067,0.187,0.048
"P10","De los Liberales libertarios",0.082,0.204,0.327,0.156,0,0.09
"P10","De la Izquierda",0.035,0.018,0.027,0.417,0.043,0
"P10","Hacemos por nuestro país",0.001,0.022,0.081,0,0.182,0.016
"P10","En blanco",0.004,0.018,0,0,0.329,0.013
"P10","No sabe",0.028,0.034,0.029,0.01,0.071,0.638
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.827,0.098,0.037,0.349,0.058,0.169
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.051,0.746,0.07,0.068,0.041,0.048
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.084,0.123,0.882,0.038,0.071,0.151
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.024,0.001,0.001,0.545,0,0
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.002,0.001,0.002,0,0.55,0.017
"P13","En blanco",0.002,0.002,0.002,0,0.28,0
"P13","No sabe",0.01,0.029,0.006,0,0,0.615
"P16","Si",0.274,0.5,0.18,0.58,0.231,0.671
"P16","No",0.726,0.5,0.82,0.42,0.769,0.329
"P17","Sergio Massa a presidente por Unión por la Patria.",0.516,0.103,0.227,0.603,0.644,0.461
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.169,0.504,0.27,0.145,0.3,0.084
"P17","Javier Milei a presidente por la Libertad Avanza",0.191,0.337,0.383,0.15,0.056,0.148
"P17","Los candidatos a presidente de la Izquierda",0.1,0.037,0,0.035,0,0
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.014,0.011,0.12,0.057,0,0.137
"P17","En blanco",0.008,0.002,0,0.01,0,0.034
"P17","No sabe",0.002,0.006,0,0,0,0.136
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.543,0.119,0.131,0.612,0.655,0.281
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.154,0.507,0.326,0.144,0.262,0.014
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.114,0.305,0.533,0,0,0.373
"P20","El candidato a gobernador de la Izquierda",0.097,0.003,0,0.244,0,0
"P20","En blanco",0.054,0.016,0,0,0.083,0
"P20","No sabe",0.038,0.05,0.01,0,0,0.332
"P23","Fernando Moreira a intendente por Unión por la Patria.",1,0,0,0,0,0
"P23","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0,1,0,0,0,0
"P23","Hernán Sardella a intendente por la Libertad Avanza",0,0,1,0,0,0
"P23","El candidato del Frente de Izquierda",0,0,0,1,0,0
"P23","En blanco",0,0,0,0,1,0
"P23","No sabe",0,0,0,0,0,1
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.264,0.6,0.421,0.198,0.349,0.178
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.211,0.191,0.296,0.107,0.138,0.18
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.351,0.124,0.214,0.285,0.198,0.213
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.1,0.022,0.039,0.305,0,0.076
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.024,0.009,0.014,0.097,0.064,0.058
"P26","No sabe",0.05,0.054,0.016,0.008,0.251,0.295
"P27","Totalmente seguro.",0.759,0.734,0.771,0.644,0.368,0.547
"P27","Bastante seguro",0.136,0.128,0.117,0.296,0.254,0.183
"P27","Algo seguro",0.061,0.112,0.094,0.06,0.224,0.061
"P27","Para nada seguro",0.044,0.026,0.018,0,0.154,0.209
"P28","Tiene Decidido que va a ir a votar.",0.919,0.95,0.912,0.904,0.848,0.622
"P28","Tiene dudas sobre si va a ir a  votar",0.075,0.033,0.037,0,0.078,0.333
"P28","Tiene Decidido que no va a ir a votar",0.006,0.017,0.051,0.096,0.074,0.045
"P29","No estaba enterado del tema",0.172,0.109,0.218,0.239,0.044,0.335
"P29","Un tema de la vida privada de él",0.145,0.048,0.112,0.154,0.156,0.175
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.446,0.214,0.342,0.364,0.291,0.098
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.138,0.225,0.158,0.083,0.48,0.138
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.065,0.398,0.17,0.156,0.029,0.22
"P29","No sabe",0.034,0.006,0,0.004,0,0.034
"P30","Si",0.745,0.832,0.711,0.829,0.683,0.751
"P30","No",0.255,0.168,0.289,0.171,0.317,0.249
"P31","Sergio Massa",0.626,0.207,0.463,0.467,0.257,0.421
"P31","Patria Bullrich",0.172,0.468,0.164,0,0.205,0.045
"P31","Javier Milei",0.071,0.221,0.259,0.137,0.077,0.317
"P31","Myriam Bregman",0.101,0.027,0.073,0.179,0.072,0.111
"P31","Juan Schiaretti",0.03,0.077,0.041,0.217,0.389,0.106
"P32","Ha aumentado significativamente",0.158,0.039,0.136,0.142,0.264,0.133
"P32","Ha aumentado ligeramente",0.198,0.141,0.257,0.181,0.139,0.01
"P32","Se mantiene igual",0.323,0.199,0.282,0.231,0.239,0.127
"P32","Ha disminuido ligeramente",0.16,0.272,0.128,0.036,0.28,0.144
"P32","Ha disminuido significativamente",0.161,0.349,0.197,0.41,0.078,0.586
"P33","No, ninguna dificultad",0.388,0.179,0.327,0.606,0.509,0.102
"P33","Alguna dificultad ocasional",0.334,0.311,0.305,0.157,0.251,0.254
"P33","Sí, dificultades frecuentes",0.278,0.51,0.368,0.237,0.24,0.644
"P34","Sí, absolutamente",0.614,0.33,0.46,0.695,0.538,0.364
"P34","Sí, en cierta medida",0.306,0.358,0.296,0.142,0.37,0.416
"P34","No, en absoluto",0.08,0.312,0.244,0.163,0.092,0.22
"P35","Reducir la inflación",0.476,0.403,0.333,0.559,0.342,0.346
"P35","Implementar reformas fiscales",0.124,0.042,0.16,0.145,0.064,0.239
"P35","Establecer políticas de control de precios",0.236,0.082,0.141,0.184,0.13,0.071
"P35","Reducir el gasto público",0.103,0.422,0.35,0.103,0.276,0.319
"P35","Estimular la inversión extranjera",0.031,0.051,0.009,0,0.188,0
"P35","Aumentar los subsidios a los servicios públicos",0.03,0,0.007,0.009,0,0.025
"P36","Muy positiva",0.367,0.135,0.252,0.308,0.104,0.132
"P36","Positiva",0.234,0.149,0.17,0.269,0.096,0.026
"P36","Neutral",0.17,0.367,0.29,0.092,0.113,0.191
"P36","Algo negativa",0.053,0.118,0.148,0.127,0.102,0.1
"P36","Negativa",0.05,0.102,0.053,0.204,0.271,0.187
"P36","No sabe",0.126,0.129,0.087,0,0.314,0.364
"P37","Muy positiva",0.627,0.139,0.399,0.494,0.239,0.25
"P37","Positiva",0.19,0.189,0.206,0.24,0.345,0.099
"P37","Neutral",0.113,0.359,0.199,0.008,0.016,0.061
"P37","Algo negativa",0.025,0.179,0.066,0.258,0.05,0.109
"P37","Negativa",0.026,0.083,0.076,0,0.085,0.455
"P37","No sabe",0.019,0.051,0.054,0,0.265,0.026
"P38","Muy positiva",0.421,0.072,0.227,0.331,0.154,0.219
"P38","Positiva",0.264,0.071,0.234,0.299,0.147,0.187
"P38","Neutral",0.181,0.434,0.247,0.043,0.299,0.195
"P38","Algo negativa",0.026,0.129,0.08,0.171,0.077,0.011
"P38","Negativa",0.04,0.217,0.141,0.156,0.259,0.196
"P38","No sabe",0.068,0.077,0.071,0,0.064,0.192
"P39","Muy positiva",0.528,0.315,0.43,0.429,0.269,0.642
