"var","categoria","Sergio Massa a presidente por Unión por la Patria.","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Los candidatos a presidente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P05","Mucho",0.513,0.435,0.466,0.102,0.454,0.452,0.174
"P05","Bastante",0.243,0.291,0.232,0.631,0.295,0.076,0.327
"P05","Poco",0.17,0.253,0.257,0.249,0.251,0,0.365
"P05","Nada",0.074,0.014,0.035,0.018,0,0.472,0.12
"P05","No sabe",0,0.007,0.01,0,0,0,0.014
"P06","Siempre",0.063,0.224,0.222,0,0,0.473,0.09
"P06","Casi siempre",0.347,0.376,0.261,0.139,0.139,0.154,0.441
"P06","Casi nunca",0.478,0.281,0.38,0.524,0.477,0.373,0.175
"P06","Nunca, pero esta es una excepción",0.112,0.119,0.137,0.337,0.384,0,0.294
"P10","Unión por la Patria",0.684,0.096,0.031,0.032,0.389,0.512,0.022
"P10","Juntos por el Cambio",0.132,0.715,0.252,0,0.062,0,0.093
"P10","De los Liberales libertarios",0.077,0.06,0.617,0,0,0,0.029
"P10","De la Izquierda",0.018,0.055,0.063,0.652,0.106,0.085,0
"P10","Hacemos por nuestro país",0.003,0.019,0.004,0,0.024,0,0
"P10","En blanco",0,0.008,0.004,0.287,0.021,0.403,0.026
"P10","No sabe",0.086,0.047,0.029,0.029,0.398,0,0.83
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.539,0.219,0.084,0.018,0.504,0.063,0
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.102,0.607,0.393,0,0.085,0,0.037
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.276,0.129,0.445,0.017,0.021,0.449,0.053
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.002,0.015,0.038,0.665,0.025,0.085,0
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.003,0.018,0.004,0,0.024,0,0
"P13","En blanco",0.004,0.012,0,0,0,0.403,0
"P13","No sabe",0.074,0,0.036,0.3,0.341,0,0.91
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.61,0.071,0.151,0.53,0.534,0.781,0.056
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.06,0.66,0.283,0.019,0.071,0,0
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.226,0.183,0.476,0,0,0,0
"P20","El candidato a gobernador de la Izquierda",0.016,0.005,0.059,0.451,0.056,0.09,0
"P20","En blanco",0.049,0.005,0.027,0,0,0,0
"P20","No sabe",0.039,0.076,0.004,0,0.339,0.129,0.944
"P23","Fernando Moreira a intendente por Unión por la Patria.",0.49,0.166,0.221,0.636,0.112,0.331,0.042
"P23","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.131,0.664,0.522,0.314,0.112,0.135,0.156
"P23","Hernán Sardella a intendente por la Libertad Avanza",0.078,0.095,0.159,0,0.338,0,0
"P23","El candidato del Frente de Izquierda",0.128,0.032,0.039,0.05,0.1,0.091,0
"P23","En blanco",0.034,0.017,0.004,0,0,0,0
"P23","No sabe",0.139,0.026,0.055,0,0.338,0.443,0.802
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.276,0.426,0.634,0.035,0.104,0,0.154
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.076,0.175,0.185,0.028,0.572,0.134,0.055
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.385,0.258,0.101,0.506,0,0.41,0.037
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.135,0.073,0.065,0.136,0.175,0.456,0
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.044,0.013,0.005,0.028,0.107,0,0.045
"P26","No sabe",0.084,0.055,0.01,0.267,0.042,0,0.709
"P27","Totalmente seguro.",0.711,0.705,0.633,0.462,0.348,0.654,0.303
"P27","Bastante seguro",0.156,0.161,0.265,0.016,0.62,0,0
"P27","Algo seguro",0.099,0.131,0.064,0.522,0,0.346,0.157
"P27","Para nada seguro",0.034,0.003,0.038,0,0.032,0,0.54
"P28","Tiene Decidido que va a ir a votar.",0.957,0.92,0.943,0.565,1,0.643,0.421
"P28","Tiene dudas sobre si va a ir a  votar",0.041,0.002,0.057,0.435,0,0.357,0.465
"P28","Tiene Decidido que no va a ir a votar",0.002,0.078,0,0,0,0,0.114
"P29","No estaba enterado del tema",0.272,0.105,0.316,0.019,0.578,0,0
"P29","Un tema de la vida privada de él",0.263,0.014,0.047,0.569,0,0,0.1
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.335,0.246,0.202,0.349,0.161,0.504,0.147
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.087,0.317,0.205,0,0.026,0,0.177
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.028,0.318,0.228,0.063,0.235,0.496,0.372
"P29","No sabe",0.015,0,0.002,0,0,0,0.204
"P30","Si",0.743,0.837,0.893,0.793,0.438,0.17,0.57
"P30","No",0.257,0.163,0.107,0.207,0.562,0.83,0.43
"P31","Sergio Massa",0.736,0.149,0.232,0.058,0.794,0,0.257
"P31","Patria Bullrich",0.069,0.617,0.245,0.045,0.083,0.252,0.182
"P31","Javier Milei",0.065,0.015,0.453,0,0.045,0.576,0.107
"P31","Myriam Bregman",0.092,0.038,0.039,0.897,0.046,0.172,0.143
"P31","Juan Schiaretti",0.038,0.181,0.031,0,0.032,0,0.311
"P32","Ha aumentado significativamente",0.192,0.008,0.081,0,0.71,0,0.147
"P32","Ha aumentado ligeramente",0.141,0.138,0.094,0.162,0.066,0,0
"P32","Se mantiene igual",0.34,0.222,0.203,0.057,0.115,0.729,0.277
"P32","Ha disminuido ligeramente",0.116,0.291,0.265,0,0.05,0,0.109
"P32","Ha disminuido significativamente",0.211,0.341,0.357,0.781,0.059,0.271,0.467
"P33","No, ninguna dificultad",0.552,0.083,0.177,0.048,0.776,0.58,0.428
"P33","Alguna dificultad ocasional",0.231,0.298,0.334,0.116,0.201,0,0.432
"P33","Sí, dificultades frecuentes",0.217,0.619,0.489,0.836,0.023,0.42,0.14
"P34","Sí, absolutamente",0.674,0.245,0.267,0.839,0.926,0.76,0.254
"P34","Sí, en cierta medida",0.185,0.421,0.627,0.122,0.039,0,0.386
"P34","No, en absoluto",0.141,0.334,0.106,0.039,0.035,0.24,0.36
