"var","categoria","Axel Kicillof a gobernador por Unión por la Patria.","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco"
"P05","Mucho",0.541,0.412,0.549,0.507,0.466
"P05","Bastante",0.291,0.319,0.276,0.349,0.105
"P05","Poco",0.136,0.192,0.125,0.099,0.246
"P05","Nada",0.03,0.054,0.037,0.04,0.183
"P05","No sabe",0.002,0.023,0.013,0.005,0
"P06","Siempre",0.139,0.195,0.229,0.034,0.128
"P06","Casi siempre",0.353,0.355,0.285,0.197,0.342
"P06","Casi nunca",0.351,0.317,0.283,0.448,0.319
"P06","Nunca, pero esta es una excepción",0.157,0.133,0.203,0.321,0.211
"P10","Unión por la Patria",0.673,0.077,0.386,0.038,0.222
"P10","Juntos por el Cambio",0.166,0.62,0.135,0.017,0.152
"P10","De los Liberales libertarios",0.061,0.178,0.33,0.238,0.013
"P10","De la Izquierda",0.024,0.009,0.024,0.648,0.038
"P10","Hacemos por nuestro país",0.001,0.023,0.069,0,0.159
"P10","En blanco",0.016,0.007,0,0,0.254
"P10","No sabe",0.059,0.086,0.056,0.059,0.162
"P16","Si",0.289,0.45,0.331,0.515,0.327
"P16","No",0.711,0.55,0.669,0.485,0.673
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.237,0.588,0.428,0.275,0.365
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.215,0.194,0.257,0.186,0.114
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.335,0.152,0.211,0.178,0.268
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.114,0.009,0.047,0.257,0
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.035,0.003,0.023,0.059,0
"P26","No sabe",0.064,0.054,0.034,0.045,0.253
"P27","Totalmente seguro.",0.738,0.748,0.75,0.682,0.318
"P27","Bastante seguro",0.155,0.147,0.109,0.151,0.222
"P27","Algo seguro",0.056,0.074,0.112,0.167,0.277
