"var","categoria","Si","No"
"P05","Mucho",0.483,0.517
"P05","Bastante",0.232,0.297
"P05","Poco",0.205,0.137
"P05","Nada",0.073,0.038
"P05","No sabe",0.007,0.011
"P06","Siempre",0.147,0.181
"P06","Casi siempre",0.311,0.332
"P06","Casi nunca",0.394,0.306
"P06","Nunca, pero esta es una excepción",0.148,0.181
"P10","Unión por la Patria",0.273,0.427
"P10","Juntos por el Cambio",0.282,0.275
"P10","De los Liberales libertarios",0.233,0.155
"P10","De la Izquierda",0.091,0.035
"P10","Hacemos por nuestro país",0.011,0.036
"P10","En blanco",0.037,0.01
"P10","No sabe",0.073,0.062
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.253,0.399
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.224,0.261
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.336,0.252
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.063,0.028
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.012,0.017
"P13","En blanco",0.026,0.007
"P13","No sabe",0.086,0.036
"P16","Si",1,0.174
"P16","No",0,0.826
"P17","Sergio Massa a presidente por Unión por la Patria.",0.321,0.299
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.277,0.362
"P17","Javier Milei a presidente por la Libertad Avanza",0.258,0.257
"P17","Los candidatos a presidente de la Izquierda",0.064,0.008
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.033,0.043
"P17","En blanco",0.013,0.002
"P17","No sabe",0.034,0.029
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.383,0.19
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.272,0.331
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.227,0.287
"P20","El candidato a gobernador de la Izquierda",0.051,0.037
"P20","En blanco",0.02,0.03
"P20","No sabe",0.047,0.125
"P23","Fernando Moreira a intendente por Unión por la Patria.",0.324,0.274
"P23","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.322,0.526
"P23","Hernán Sardella a intendente por la Libertad Avanza",0.129,0.08
"P23","El candidato del Frente de Izquierda",0.092,0.034
"P23","En blanco",0.024,0.007
"P23","No sabe",0.109,0.079
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.347,0.399
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.184,0.226
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.284,0.234
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.069,0.07
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.028,0.022
"P26","No sabe",0.088,0.049
"P27","Totalmente seguro.",0.612,0.762
"P27","Bastante seguro",0.223,0.12
"P27","Algo seguro",0.138,0.073
"P27","Para nada seguro",0.027,0.045
"P28","Tiene Decidido que va a ir a votar.",0.914,0.909
"P28","Tiene dudas sobre si va a ir a  votar",0.071,0.061
"P28","Tiene Decidido que no va a ir a votar",0.015,0.03
"P29","No estaba enterado del tema",0.242,0.155
"P29","Un tema de la vida privada de él",0.185,0.095
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.215,0.367
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.156,0.176
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.197,0.187
"P29","No sabe",0.005,0.02
"P30","Si",0.735,0.77
"P30","No",0.265,0.23
"P31","Sergio Massa",0.391,0.465
"P31","Patria Bullrich",0.26,0.231
"P31","Javier Milei",0.192,0.164
"P31","Myriam Bregman",0.075,0.078
"P31","Juan Schiaretti",0.082,0.062
"P32","Ha aumentado significativamente",0.147,0.116
"P32","Ha aumentado ligeramente",0.136,0.2
"P32","Se mantiene igual",0.273,0.265
"P32","Ha disminuido ligeramente",0.152,0.186
"P32","Ha disminuido significativamente",0.292,0.233
"P33","No, ninguna dificultad",0.315,0.323
"P33","Alguna dificultad ocasional",0.297,0.31
"P33","Sí, dificultades frecuentes",0.388,0.367
"P34","Sí, absolutamente",0.483,0.497
"P34","Sí, en cierta medida",0.381,0.3
"P34","No, en absoluto",0.136,0.203
"P35","Reducir la inflación",0.481,0.403
"P35","Implementar reformas fiscales",0.079,0.123
"P35","Establecer políticas de control de precios",0.172,0.158
"P35","Reducir el gasto público",0.24,0.265
"P35","Estimular la inversión extranjera",0.022,0.035
"P35","Aumentar los subsidios a los servicios públicos",0.006,0.016
"P36","Muy positiva",0.236,0.259
"P36","Positiva",0.163,0.189
"P36","Neutral",0.303,0.237
"P36","Algo negativa",0.093,0.102
"P36","Negativa",0.038,0.095
"P36","No sabe",0.167,0.118
"P37","Muy positiva",0.322,0.422
"P37","Positiva",0.265,0.178
"P37","Neutral",0.258,0.18
"P37","Algo negativa",0.019,0.109
"P37","Negativa",0.082,0.07
"P37","No sabe",0.054,0.041
"P38","Muy positiva",0.29,0.247
"P38","Positiva",0.095,0.221
"P38","Neutral",0.281,0.266
"P38","Algo negativa",0.063,0.077
"P38","Negativa",0.1,0.139
"P38","No sabe",0.171,0.05
"P39","Muy positiva",0.447,0.437
"P39","Positiva",0.242,0.194
"P39","Neutral",0.144,0.19
"P39","Algo negativa",0.094,0.082
"P39","Negativa",0.053,0.072
"P39","No sabe",0.02,0.025
"P40","Muy positiva",0.329,0.375
"P40","Positiva",0.197,0.211
"P40","Neutral",0.205,0.217
"P40","Algo negativa",0.106,0.083
"P40","Negativa",0.057,0.058
"P40","No sabe",0.106,0.056
"P41","Lo votaría",0.344,0.437
"P41","Puede que lo vote",0.072,0.074
"P41","Nunca lo votaría",0.518,0.468
"P41","No sabe",0.066,0.021
"P42","Lo votaría",0.31,0.294
"P42","Puede que lo vote",0.198,0.11
"P42","Nunca lo votaría",0.443,0.564
"P42","No sabe",0.049,0.032
"P43","Lo votaría",0.297,0.216
"P43","Puede que lo vote",0.173,0.109
"P43","Nunca lo votaría",0.501,0.65
"P43","No sabe",0.029,0.025
"P44","Si",0.429,0.399
"P44","No",0.571,0.601
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.312,0.402
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.284,0.237
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.267,0.28
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.059,0.023
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.035,0.025
"PRESIDENTE","En blanco",0.015,0.006
"PRESIDENTE","No sabe",0.028,0.027
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.378,0.383
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.282,0.231
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.229,0.285
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.051,0.029
"GOBERNADOR","En blanco",0.018,0.028
"GOBERNADOR","No sabe",0.042,0.044
"INTENDENTE","Fernando Moreira a intendente por Unión por la Patria.",0.319,0.4
"INTENDENTE","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.335,0.26
"INTENDENTE","Hernán Sardella a intendente por la Libertad Avanza",0.13,0.252
"INTENDENTE","El candidato del Frente de Izquierda",0.088,0.028
"INTENDENTE","En blanco",0.02,0.024
"INTENDENTE","No sabe",0.108,0.036
"CORTA_PRESIDENTE","Si",0.551,0.063
"CORTA_PRESIDENTE","No",0.449,0.937
"CORTA_GOBERNADOR","Si",0.662,0.065
"CORTA_GOBERNADOR","No",0.338,0.935
