"var","categoria","Sergio Massa a presidente por Unión por la Patria.","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Los candidatos a presidente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco"
"P05","Mucho",0.507,0.419,0.462,0.096,0.406,0.452
"P05","Bastante",0.236,0.306,0.231,0.597,0.289,0.076
"P05","Poco",0.187,0.249,0.26,0.289,0.225,0
"P05","Nada",0.07,0.019,0.035,0.018,0.08,0.472
"P05","No sabe",0,0.007,0.012,0,0,0
"P06","Siempre",0.06,0.217,0.228,0,0,0.473
"P06","Casi siempre",0.34,0.391,0.26,0.132,0.204,0.154
"P06","Casi nunca",0.469,0.273,0.374,0.549,0.427,0.373
"P06","Nunca, pero esta es una excepción",0.131,0.119,0.138,0.319,0.369,0
"P10","Unión por la Patria",0.669,0.09,0.031,0.031,0.364,0.512
"P10","Juntos por el Cambio",0.128,0.686,0.248,0,0.059,0
"P10","De los Liberales libertarios",0.076,0.057,0.609,0.021,0,0
"P10","De la Izquierda",0.017,0.052,0.063,0.639,0.099,0.085
"P10","Hacemos por nuestro país",0.003,0.018,0.004,0,0.022,0
"P10","En blanco",0.003,0.008,0.004,0.28,0.02,0.403
"P10","No sabe",0.104,0.089,0.041,0.029,0.436,0
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.274,0.417,0.628,0.034,0.149,0
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.078,0.172,0.183,0.027,0.544,0.134
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.382,0.254,0.1,0.489,0,0.41
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.134,0.072,0.064,0.131,0.166,0.456
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.046,0.013,0.005,0.027,0.101,0
"P26","No sabe",0.086,0.072,0.02,0.292,0.04,0
