"var","categoria","Fernando Moreira a intendente por Unión por la Patria.","Mauricio D’Alessandro a intendente por Juntos por el Cambio","Hernán Sardella a intendente por la Libertad Avanza","El candidato del Frente de Izquierda","En blanco"
"P05","Mucho",0.511,0.436,0.566,0.565,0.626
"P05","Bastante",0.317,0.298,0.267,0.218,0.158
"P05","Poco",0.15,0.165,0.117,0.194,0.164
"P05","Nada",0.02,0.078,0.038,0.023,0.052
"P05","No sabe",0.002,0.023,0.012,0,0
"P06","Siempre",0.151,0.218,0.201,0.013,0.087
"P06","Casi siempre",0.355,0.328,0.324,0.198,0.222
"P06","Casi nunca",0.32,0.308,0.268,0.674,0.48
"P06","Nunca, pero esta es una excepción",0.174,0.146,0.207,0.115,0.211
"P10","Unión por la Patria",0.635,0.106,0.414,0.348,0.188
"P10","Juntos por el Cambio",0.195,0.555,0.099,0.067,0.187
"P10","De los Liberales libertarios",0.078,0.188,0.325,0.155,0
"P10","De la Izquierda",0.033,0.016,0.025,0.415,0.043
"P10","Hacemos por nuestro país",0.001,0.024,0.076,0,0.182
"P10","En blanco",0.004,0.019,0,0,0.329
"P10","No sabe",0.054,0.092,0.061,0.015,0.071
"P16","Si",0.287,0.507,0.222,0.582,0.231
"P16","No",0.713,0.493,0.778,0.418,0.769
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.256,0.576,0.419,0.197,0.349
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.202,0.209,0.281,0.107,0.138
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.356,0.124,0.202,0.283,0.198
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.104,0.021,0.037,0.303,0
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.023,0.008,0.024,0.097,0.064
"P26","No sabe",0.059,0.062,0.037,0.013,0.251
"P27","Totalmente seguro.",0.752,0.729,0.751,0.644,0.368
"P27","Bastante seguro",0.134,0.126,0.132,0.296,0.254
"P27","Algo seguro",0.06,0.113,0.089,0.06,0.224
"P27","Para nada seguro",0.054,0.032,0.028,0,0.154
"P28","Tiene Decidido que va a ir a votar.",0.908,0.924,0.906,0.904,0.848
"P28","Tiene dudas sobre si va a ir a  votar",0.083,0.057,0.046,0,0.078
"P28","Tiene Decidido que no va a ir a votar",0.009,0.019,0.048,0.096,0.074
"P29","No estaba enterado del tema",0.177,0.11,0.238,0.239,0.044
"P29","Un tema de la vida privada de él",0.14,0.053,0.128,0.154,0.156
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.439,0.203,0.323,0.364,0.291
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.144,0.217,0.151,0.083,0.48
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.064,0.41,0.16,0.156,0.029
"P29","No sabe",0.036,0.007,0,0.004,0
"P30","Si",0.743,0.829,0.716,0.829,0.683
"P30","No",0.257,0.171,0.284,0.171,0.317
"P31","Sergio Massa",0.627,0.209,0.46,0.467,0.257
"P31","Patria Bullrich",0.166,0.448,0.156,0,0.205
"P31","Javier Milei",0.071,0.235,0.266,0.137,0.077
"P31","Myriam Bregman",0.105,0.032,0.069,0.179,0.072
"P31","Juan Schiaretti",0.031,0.076,0.049,0.217,0.389
"P32","Ha aumentado significativamente",0.161,0.044,0.131,0.142,0.264
"P32","Ha aumentado ligeramente",0.191,0.135,0.248,0.181,0.139
"P32","Se mantiene igual",0.322,0.19,0.273,0.231,0.239
"P32","Ha disminuido ligeramente",0.165,0.263,0.123,0.036,0.28
"P32","Ha disminuido significativamente",0.161,0.368,0.225,0.41,0.078
"P33","No, ninguna dificultad",0.381,0.178,0.314,0.606,0.509
"P33","Alguna dificultad ocasional",0.338,0.308,0.294,0.157,0.251
"P33","Sí, dificultades frecuentes",0.281,0.514,0.392,0.237,0.24
"P34","Sí, absolutamente",0.614,0.322,0.454,0.695,0.538
"P34","Sí, en cierta medida",0.306,0.357,0.311,0.142,0.37
"P34","No, en absoluto",0.08,0.321,0.235,0.163,0.092
"P35","Reducir la inflación",0.478,0.393,0.333,0.559,0.342
"P35","Implementar reformas fiscales",0.123,0.046,0.179,0.145,0.064
"P35","Establecer políticas de control de precios",0.23,0.085,0.135,0.184,0.13
"P35","Reducir el gasto público",0.108,0.428,0.337,0.103,0.276
"P35","Estimular la inversión extranjera",0.03,0.048,0.009,0,0.188
"P35","Aumentar los subsidios a los servicios públicos",0.031,0,0.007,0.009,0
"P36","Muy positiva",0.358,0.141,0.241,0.308,0.104
"P36","Positiva",0.226,0.145,0.162,0.269,0.096
"P36","Neutral",0.165,0.358,0.293,0.092,0.113
"P36","Algo negativa",0.062,0.111,0.141,0.127,0.102
"P36","Negativa",0.049,0.121,0.051,0.204,0.271
"P36","No sabe",0.14,0.124,0.112,0,0.314
"P37","Muy positiva",0.614,0.144,0.395,0.494,0.239
"P37","Positiva",0.184,0.19,0.197,0.24,0.345
"P37","Neutral",0.11,0.345,0.192,0.008,0.016
"P37","Algo negativa",0.035,0.171,0.063,0.258,0.05
"P37","Negativa",0.036,0.102,0.102,0,0.085
"P37","No sabe",0.021,0.048,0.051,0,0.265
"P38","Muy positiva",0.424,0.076,0.216,0.331,0.154
"P38","Positiva",0.259,0.075,0.238,0.299,0.147
"P38","Neutral",0.187,0.42,0.238,0.043,0.299
"P38","Algo negativa",0.025,0.124,0.077,0.171,0.077
"P38","Negativa",0.039,0.232,0.134,0.156,0.259
"P38","No sabe",0.066,0.073,0.097,0,0.064
"P39","Muy positiva",0.524,0.332,0.454,0.429,0.269
"P39","Positiva",0.232,0.142,0.228,0.127,0.344
"P39","Neutral",0.163,0.24,0.134,0.274,0.092
"P39","Algo negativa",0.031,0.157,0.087,0.107,0
