"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Alberto Fernandez","Positiva",0.48,0.456,0.507,0.377,0.552,0.599,0.294,0.548,0.452,0.372,0.717,0.037,0
"Alberto Fernandez","Neutra",0.167,0.168,0.167,0.216,0.135,0.109,0.255,0.168,0.184,0.103,0.195,0.1,0.218
"Alberto Fernandez","Negativa",0.329,0.372,0.281,0.345,0.304,0.292,0.451,0.245,0.348,0.52,0.088,0.863,0.782
"Alberto Fernandez","No sabe",0.024,0.004,0.045,0.062,0.009,0,0,0.039,0.016,0.005,0,0,0
"CFK","Positiva",0.41,0.381,0.439,0.317,0.476,0.559,0.143,0.453,0.358,0.456,0.606,0.013,0
"CFK","Neutra",0.147,0.102,0.196,0.112,0.154,0.18,0.176,0.193,0.128,0.074,0.19,0.008,0.218
"CFK","Negativa",0.387,0.487,0.28,0.496,0.332,0.248,0.521,0.259,0.478,0.464,0.167,0.959,0.767
"CFK","No sabe",0.056,0.03,0.085,0.075,0.038,0.013,0.16,0.095,0.036,0.006,0.037,0.02,0.015
"Horacio Rodriguez Larreta","Positiva",0.304,0.304,0.304,0.331,0.264,0.323,0.358,0.32,0.306,0.253,0.149,0.77,0.393
"Horacio Rodriguez Larreta","Neutra",0.206,0.175,0.24,0.22,0.188,0.202,0.245,0.163,0.237,0.228,0.233,0.105,0.18
"Horacio Rodriguez Larreta","Negativa",0.404,0.457,0.346,0.325,0.477,0.457,0.236,0.392,0.39,0.482,0.517,0.114,0.183
"Horacio Rodriguez Larreta","No sabe",0.086,0.064,0.11,0.124,0.071,0.018,0.161,0.125,0.067,0.037,0.101,0.011,0.244
"Mauricio Macri","Positiva",0.205,0.189,0.223,0.21,0.187,0.196,0.291,0.267,0.158,0.179,0.093,0.596,0.293
"Mauricio Macri","Neutra",0.147,0.162,0.13,0.163,0.154,0.094,0.163,0.084,0.199,0.154,0.122,0.249,0.051
"Mauricio Macri","Negativa",0.631,0.649,0.611,0.614,0.632,0.71,0.524,0.621,0.63,0.667,0.767,0.144,0.656
"Mauricio Macri","No sabe",0.017,0,0.036,0.013,0.027,0,0.022,0.028,0.013,0,0.018,0.011,0
