"var","categoria","Sergio Massa a presidente por Unión por la Patria","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Los candidatos a presidente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P05","Mucho",0.452,0.365,0.446,0.208,0.132,0.316,0.164
"P05","Bastante",0.308,0.289,0.331,0.333,0.223,0.299,0.115
"P05","Poco",0.155,0.245,0.153,0.142,0,0.038,0.267
"P05","Nada",0.059,0.067,0.064,0.266,0.397,0.09,0.183
"P05","No sabe",0.026,0.034,0.006,0.051,0.248,0.257,0.271
"P06","Siempre",0.251,0.214,0.189,0.008,0.005,0.203,0.036
"P06","Casi siempre",0.349,0.327,0.296,0.19,0.151,0.214,0.126
"P06","Casi nunca",0.228,0.296,0.384,0.373,0.794,0.434,0.532
"P06","Nunca, pero esta es una excepción",0.172,0.163,0.131,0.429,0.05,0.149,0.306
"P09","Unión por la Patria",0.664,0.148,0.078,0.059,0.021,0.025,0.014
"P09","Juntos por el Cambio",0.103,0.742,0.059,0,0.005,0,0.101
"P09","De los Liberales libertarios",0.097,0.056,0.683,0.11,0.248,0.129,0.065
"P09","De la Izquierda",0.019,0.009,0.108,0.675,0.024,0.195,0
"P09","Hacemos por nuestro país",0.014,0.016,0.004,0.072,0.533,0,0.017
"P09","Otro",0.027,0.007,0.023,0.084,0.143,0.162,0.153
"P09","En blanco",0.01,0,0.018,0,0.026,0.338,0.106
"P09","No sabe",0.066,0.022,0.027,0,0,0.151,0.544
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.818,0.04,0.028,0.036,0,0.038,0.037
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.043,0.841,0.068,0,0,0,0.09
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.024,0.088,0.863,0,0,0,0
"P12","Raul Othacehé a intendente por el frente vecinal crecer",0.043,0.004,0.007,0.116,0.253,0.406,0.143
"P12","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.019,0.001,0.004,0.67,0.049,0,0
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0,0,0,0.672,0,0
"P12","En blanco",0.006,0,0.003,0.082,0.026,0.556,0.086
"P12","No sabe",0.046,0.026,0.027,0.096,0,0,0.644
"P15","Si",0.44,0.498,0.447,0.637,0.837,0.452,0.609
"P15","No",0.56,0.502,0.553,0.363,0.163,0.548,0.391
"P16","Sergio Massa a presidente por Unión por la Patria",1,0,0,0,0,0,0
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0,1,0,0,0,0,0
"P16","Javier Milei a presidente por la Libertad Avanza",0,0,1,0,0,0,0
"P16","Los candidatos a presidente de la Izquierda",0,0,0,1,0,0,0
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0,0,0,1,0,0
"P16","En blanco",0,0,0,0,0,1,0
"P16","No sabe",0,0,0,0,0,0,1
"P19","Axel Kicillof a gobernador por Unión por la Patria",0.718,0.07,0.104,0.174,0.214,0.226,0.371
"P19","Néstor Grindetti a gobernador por Juntos por el Cambio",0.075,0.704,0.291,0,0.024,0.047,0.161
"P19","Carolina Piparo a gobernadora por la Libertad Avanza",0.144,0.173,0.532,0,0,0,0.028
"P19","El candidato a gobernador de la Izquierda",0.008,0.017,0.024,0.411,0.317,0,0
"P19","En blanco",0.016,0.01,0.004,0.415,0.395,0.221,0
"P19","No sabe",0.039,0.026,0.045,0,0.05,0.506,0.44
"P22","Gustavo Menéndez a intendente por Unión por la Patria",0.42,0.182,0.16,0.199,0.29,0.224,0.06
"P22","Zencich a intendente por Juntos por el Cambio",0.166,0.584,0.296,0,0.053,0,0.034
"P22","Eduardo Varela a intendente por la Libertad Avanza",0.041,0.061,0.333,0.124,0,0,0.158
"P22","Raul Othacehé a intendente por el frente vecinal crecer",0.202,0.09,0.11,0.088,0.338,0.127,0.275
"P22","El candidato a intendente de la Izquierda",0.078,0.014,0.011,0.127,0.011,0,0.012
"P22","En blanco",0.049,0.006,0.002,0.126,0,0.105,0.044
"P22","No sabe",0.044,0.063,0.088,0.336,0.308,0.544,0.417
"P25","Totalmente seguro",0.652,0.656,0.707,0.146,0.424,0.248,0.159
"P25","Bastante seguro",0.195,0.2,0.175,0.166,0.337,0.021,0.108
"P25","Algo seguro",0.106,0.105,0.05,0.189,0,0.046,0.059
"P25","Para nada seguro",0.047,0.039,0.068,0.499,0.239,0.685,0.674
"P26","Tiene Decidido que va a ir a votar",0.884,0.882,0.923,0.534,0.743,0.39,0.655
"P26","Tiene dudas sobre si va a ir a  votar",0.071,0.066,0.059,0.142,0.257,0.339,0.145
"P26","Tiene Decidido que no va a ir a votar",0.045,0.052,0.018,0.324,0,0.271,0.2
"P27","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.233,0.632,0.676,0.437,0.42,0.231,0.209
"P27","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.093,0.159,0.128,0.086,0.107,0,0.09
"P27","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.458,0.134,0.108,0.137,0.02,0.112,0.057
"P27","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.127,0.03,0.021,0.07,0.4,0.074,0.179
"P27","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.018,0.012,0.015,0.234,0,0.072,0.042
"P27","No sabe",0.071,0.033,0.052,0.036,0.053,0.511,0.423
"P28","Lo votaría",0.737,0.139,0.117,0,0.163,0.119,0.062
"P28","Puede que lo vote",0.119,0.087,0.048,0.545,0.366,0.056,0.025
"P28","Nunca lo votaría",0.071,0.748,0.813,0.396,0.418,0.646,0.285
"P28","No sabe",0.073,0.026,0.022,0.059,0.053,0.179,0.628
"P29","Lo votaría",0.147,0.717,0.108,0,0,0,0.094
"P29","Puede que lo vote",0.032,0.108,0.248,0.355,0.312,0,0.162
"P29","Nunca lo votaría",0.745,0.162,0.538,0.585,0.675,0.607,0.406
"P29","No sabe",0.076,0.013,0.106,0.06,0.013,0.393,0.338
"P30","Lo votaría",0.083,0.129,0.773,0.03,0,0.024,0.173
"P30","Puede que lo vote",0.047,0.242,0.121,0.299,0.285,0,0.072
"P30","Nunca lo votaría",0.795,0.593,0.094,0.647,0.715,0.606,0.438
"P30","No sabe",0.075,0.036,0.012,0.024,0,0.37,0.317
"P31","Lo votaría",0.153,0.247,0.198,0.103,0.005,0.087,0.226
"P31","Puede que lo vote",0.077,0.207,0.073,0.189,0.307,0.056,0.044
"P31","Nunca lo votaría",0.674,0.466,0.671,0.6,0.688,0.745,0.347
"P31","No sabe",0.096,0.08,0.058,0.108,0,0.112,0.383
"P32","Si",0.433,0.378,0.379,0.291,0.144,0.233,0.202
