clave	texto
encuesta_especial	Corte especial. Tracking Nacional 
bajada_encuesta_especial	Modelo de pesos 5
bajada_encuesta_especial_fecha	Ventana móvil de dos días: 06 y 07 de Noviembre 2023
ficha_Población objeto de estudio	Población mayor de 16 años.
ficha_Unidad de muestreo	Télefonos celulares de empresas Personal, Movistar y Claro, complementados con un 13% de teléfonos fijos para optimizar cobertura geográfica.
ficha_Ámbito	República Argentina
ficha_Estratificación	Cinco estratos regionales (NEA, NOA, Cuyo, Centro y Patagonia) y Cordones I,II y III de la RMBA e interior PBA.
ficha_Técnicas de recolección de información	ECA - Encuesta Contínua Automática con voz humana.
ficha_Tamaño muestral	La captura de datos se llevó a cabo del 06/11/2023 al 07/11/2023 abarcando 9.675 casos efectivos.
ficha_Calibración de la muestra	En función de datos paramétricos censales de sexo, edad y nivel educativo.
ficha_Margen de error	+/- 1.0 %
