"var","categoria","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza","En blanco"
"P05","Mucho",0.529,0.388,0.389,0.198
"P05","Bastante",0.272,0.379,0.254,0.332
"P05","Poco",0.1,0.104,0.265,0.241
"P05","Nada",0.082,0.088,0.052,0.086
"P05","No sabe",0.017,0.041,0.04,0.143
"P06","Siempre",0.317,0.229,0.205,0.084
"P06","Casi siempre",0.263,0.363,0.198,0.297
"P06","Casi nunca",0.301,0.264,0.413,0.327
"P06","Nunca, pero esta es una excepción",0.119,0.144,0.184,0.292
"P10","Unidos para Cambiar misiones",0.564,0.11,0.133,0.046
"P10","Juntos Avancemos",0.177,0.527,0.176,0.029
"P10","De los liberales libertarios",0.168,0.235,0.496,0.262
"P10","De la Izquierda",0.014,0.027,0.033,0.117
"P10","Hacemos por nuestro país",0.009,0.009,0.023,0.111
"P10","En blanco",0.026,0.02,0.043,0.312
"P10","No sabe",0.042,0.072,0.096,0.123
"P16","Si",0.401,0.618,0.372,0.425
"P16","No",0.599,0.382,0.628,0.575
"P23","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.246,0.48,0.491,0.303
"P23","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.279,0.345,0.268,0.188
"P23","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.323,0.096,0.098,0.012
"P23","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.078,0.008,0.047,0.217
"P23","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.035,0.022,0.014,0.066
"P23","No sabe",0.039,0.049,0.082,0.214
"P24","Totalmente seguro.",0.686,0.714,0.717,0.508
"P24","Bastante seguro",0.127,0.149,0.142,0.078
"P24","Algo seguro",0.106,0.064,0.091,0.151
"P24","Para nada seguro",0.081,0.073,0.05,0.263
"P25","Tiene Decidido que va a ir a votar.",0.892,0.924,0.875,0.825
"P25","Tiene dudas sobre si va a ir a  votar",0.073,0.049,0.116,0.04
"P25","Tiene Decidido que no va a ir a votar",0.035,0.027,0.009,0.135
"P26","La votaría",0.813,0.245,0.33,0.166
"P26","Puede que la vote",0.071,0.094,0.08,0.068
"P26","Nunca la votaría",0.093,0.625,0.552,0.581
"P26","No sabe",0.023,0.036,0.038,0.185
"P27","La votaría",0.241,0.454,0.179,0.125
"P27","Puede que la vote",0.104,0.208,0.167,0.086
"P27","Nunca la votaría",0.58,0.303,0.569,0.789
"P27","No sabe",0.075,0.035,0.085,0
"P28","La votaría",0.148,0.335,0.588,0.371
"P28","Puede que la vote",0.1,0.177,0.086,0.135
"P28","Nunca la votaría",0.701,0.45,0.302,0.494
"P28","No sabe",0.051,0.038,0.024,0
"P29","Si",0.479,0.395,0.427,0.194
"P29","No",0.521,0.605,0.573,0.806
