"var","categoria","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","No sabe"
"P08","Siempre",0.199,0.283,0.268,0.129
"P08","Casi siempre",0.335,0.345,0.361,0.45
"P08","Casi nunca",0.329,0.27,0.308,0.285
"P08","Nunca, pero esta es una excepción",0.137,0.102,0.063,0.136
"P09","Muy de acuerdo",0.468,0.168,0.085,0.083
"P09","De acuerdo",0.281,0.192,0.1,0.104
"P09","Ni de acuerdo ni en desacuerdo",0.184,0.408,0.163,0.395
"P09","En desacuerdo",0.038,0.119,0.223,0.226
"P09","Muy en desacuerdo",0.021,0.101,0.425,0.139
"P09","No sabe",0.008,0.012,0.004,0.053
"P10","De acuerdo",0.715,0.279,0.175,0.119
"P10","Ni de acuerdo ni en desacuerdo",0.164,0.326,0.15,0.27
"P10","En desacuerdo",0.072,0.294,0.598,0.29
"P10","No sabe",0.049,0.101,0.077,0.321
"P11","De acuerdo",0.808,0.388,0.15,0.217
"P11","Ni de acuerdo ni en desacuerdo",0.12,0.371,0.263,0.171
"P11","En desacuerdo",0.056,0.203,0.497,0.342
"P11","No sabe",0.016,0.038,0.09,0.27
"P12","De acuerdo",0.918,0.493,0.167,0.307
"P12","Ni de acuerdo ni en desacuerdo",0.053,0.321,0.242,0.122
"P12","En desacuerdo",0.022,0.148,0.471,0.299
"P12","No sabe",0.007,0.038,0.12,0.272
"P13","De acuerdo",0.733,0.327,0.109,0.149
"P13","Ni de acuerdo ni en desacuerdo",0.198,0.471,0.145,0.327
"P13","En desacuerdo",0.043,0.155,0.704,0.121
"P13","No sabe",0.026,0.047,0.042,0.403
"P14","De acuerdo",0.742,0.305,0.111,0.213
"P14","Ni de acuerdo ni en desacuerdo",0.184,0.485,0.139,0.225
"P14","En desacuerdo",0.055,0.167,0.724,0.179
"P14","No sabe",0.019,0.043,0.026,0.383
"P15","De acuerdo",0.713,0.319,0.114,0.225
"P15","Ni de acuerdo ni en desacuerdo",0.206,0.499,0.107,0.188
"P15","En desacuerdo",0.062,0.131,0.755,0.109
"P15","No sabe",0.019,0.051,0.024,0.478
"P17","De acuerdo",0.615,0.276,0.079,0.12
"P17","Ni de acuerdo ni en desacuerdo",0.201,0.257,0.052,0.106
"P17","En desacuerdo",0.164,0.438,0.863,0.489
"P17","No sabe",0.02,0.029,0.006,0.285
"P18","De acuerdo",0.554,0.229,0.081,0.116
"P18","Ni de acuerdo ni en desacuerdo",0.255,0.26,0.055,0.144
"P18","En desacuerdo",0.137,0.469,0.84,0.476
"P18","No sabe",0.054,0.042,0.024,0.264
"P19","De acuerdo",0.745,0.375,0.101,0.142
"P19","Ni de acuerdo ni en desacuerdo",0.119,0.172,0.056,0.11
"P19","En desacuerdo",0.12,0.43,0.827,0.539
"P19","No sabe",0.016,0.023,0.016,0.209
"P20","De acuerdo",0.691,0.302,0.115,0.112
"P20","Ni de acuerdo ni en desacuerdo",0.172,0.279,0.071,0.142
"P20","En desacuerdo",0.104,0.375,0.802,0.474
"P20","No sabe",0.033,0.044,0.012,0.272
"P21","De acuerdo",0.731,0.345,0.089,0.163
"P21","Ni de acuerdo ni en desacuerdo",0.127,0.196,0.107,0.144
"P21","En desacuerdo",0.123,0.413,0.798,0.478
"P21","No sabe",0.019,0.046,0.006,0.215
"P22","Si",0.439,0.448,0.605,0.363
"P22","No",0.328,0.284,0.143,0.195
"P22","No sabe",0.233,0.268,0.252,0.442
"P23","Si",0.553,0.267,0.168,0.171
"P23","No",0.347,0.64,0.684,0.624
"P23","No sabe",0.1,0.093,0.148,0.205
"P24","Si",0.478,0.225,0.078,0.125
"P24","No",0.397,0.631,0.785,0.633
"P24","No sabe",0.125,0.144,0.137,0.242
"P25","Si",0.527,0.257,0.129,0.121
"P25","No",0.382,0.562,0.748,0.709
"P25","No sabe",0.091,0.181,0.123,0.17
"P26","A favor",0.806,0.372,0.101,0.165
"P26","En contra",0.092,0.424,0.777,0.465
"P26","No sabe",0.102,0.204,0.122,0.37
