"var","categoria","Si","No","No sabe"
"P08","Siempre",0.21,0.231,0.167
"P08","Casi siempre",0.325,0.37,0.347
"P08","Casi nunca",0.332,0.29,0.396
"P08","Nunca, pero esta es una excepción",0.133,0.109,0.09
"P09","Muy de acuerdo",0.587,0.207,0.276
"P09","De acuerdo",0.274,0.204,0.225
"P09","Ni de acuerdo ni en desacuerdo",0.104,0.265,0.375
"P09","En desacuerdo",0.02,0.144,0.047
"P09","Muy en desacuerdo",0.011,0.171,0.063
"P09","No sabe",0.004,0.009,0.014
"P10","De acuerdo",0.815,0.4,0.426
"P10","Ni de acuerdo ni en desacuerdo",0.132,0.203,0.25
"P10","En desacuerdo",0.032,0.311,0.183
"P10","No sabe",0.021,0.086,0.141
"P11","De acuerdo",0.861,0.497,0.536
"P11","Ni de acuerdo ni en desacuerdo",0.091,0.204,0.26
"P11","En desacuerdo",0.042,0.232,0.164
"P11","No sabe",0.006,0.067,0.04
"P12","De acuerdo",0.931,0.577,0.692
"P12","Ni de acuerdo ni en desacuerdo",0.032,0.183,0.125
"P12","En desacuerdo",0.029,0.179,0.141
"P12","No sabe",0.008,0.061,0.042
"P13","De acuerdo",0.836,0.398,0.433
"P13","Ni de acuerdo ni en desacuerdo",0.129,0.276,0.353
"P13","En desacuerdo",0.025,0.259,0.143
"P13","No sabe",0.01,0.067,0.071
"P14","De acuerdo",0.827,0.418,0.448
"P14","Ni de acuerdo ni en desacuerdo",0.131,0.249,0.328
"P14","En desacuerdo",0.034,0.282,0.147
"P14","No sabe",0.008,0.051,0.077
"P15","De acuerdo",0.711,0.464,0.497
"P15","Ni de acuerdo ni en desacuerdo",0.207,0.231,0.257
"P15","En desacuerdo",0.065,0.254,0.173
"P15","No sabe",0.017,0.051,0.073
"P16","De acuerdo",0.878,0.548,0.632
"P16","Ni de acuerdo ni en desacuerdo",0.075,0.159,0.132
"P16","En desacuerdo",0.031,0.23,0.148
"P16","No sabe",0.016,0.063,0.088
"P17","De acuerdo",0.761,0.291,0.377
"P17","Ni de acuerdo ni en desacuerdo",0.144,0.179,0.26
"P17","En desacuerdo",0.088,0.489,0.309
"P17","No sabe",0.007,0.041,0.054
"P18","De acuerdo",0.717,0.244,0.294
"P18","Ni de acuerdo ni en desacuerdo",0.19,0.22,0.321
"P18","En desacuerdo",0.063,0.47,0.301
"P18","No sabe",0.03,0.066,0.084
"P19","De acuerdo",0.888,0.373,0.471
"P19","Ni de acuerdo ni en desacuerdo",0.065,0.126,0.216
"P19","En desacuerdo",0.044,0.469,0.264
"P19","No sabe",0.003,0.032,0.049
"P20","De acuerdo",0.853,0.327,0.421
"P20","Ni de acuerdo ni en desacuerdo",0.085,0.207,0.244
"P20","En desacuerdo",0.051,0.415,0.242
"P20","No sabe",0.011,0.051,0.093
"P21","De acuerdo",0.863,0.363,0.46
"P21","Ni de acuerdo ni en desacuerdo",0.082,0.158,0.195
"P21","En desacuerdo",0.05,0.443,0.278
"P21","No sabe",0.005,0.036,0.067
"P22","Si",0.461,0.501,0.308
"P22","No",0.402,0.243,0.154
"P22","No sabe",0.137,0.256,0.538
"P23","Si",0.822,0.211,0.245
"P23","No",0.151,0.72,0.266
"P23","No sabe",0.027,0.069,0.489
"P25","Si",0.842,0.151,0.214
"P25","No",0.116,0.807,0.238
"P25","No sabe",0.042,0.042,0.548
"P26","A favor",0.911,0.403,0.613
"P26","En contra",0.041,0.43,0.163
"P26","No sabe",0.048,0.167,0.224
