"var","categoria","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","No sabe"
"P08","Siempre",0.223,0.182,0.262,0.144
"P08","Casi siempre",0.334,0.389,0.332,0.365
"P08","Casi nunca",0.315,0.33,0.315,0.297
"P08","Nunca, pero esta es una excepción",0.128,0.099,0.091,0.194
"P09","Muy de acuerdo",0.482,0.303,0.089,0.102
"P09","De acuerdo",0.267,0.266,0.125,0.094
"P09","Ni de acuerdo ni en desacuerdo",0.165,0.327,0.211,0.411
"P09","En desacuerdo",0.045,0.056,0.208,0.22
"P09","Muy en desacuerdo",0.032,0.042,0.36,0.118
"P09","No sabe",0.009,0.006,0.007,0.055
"P10","De acuerdo",0.721,0.494,0.185,0.186
"P10","Ni de acuerdo ni en desacuerdo",0.145,0.269,0.225,0.187
"P10","En desacuerdo",0.09,0.167,0.52,0.208
"P10","No sabe",0.044,0.07,0.07,0.419
"P11","De acuerdo",0.803,0.577,0.223,0.318
"P11","Ni de acuerdo ni en desacuerdo",0.113,0.272,0.245,0.162
"P11","En desacuerdo",0.07,0.121,0.447,0.25
"P11","No sabe",0.014,0.03,0.085,0.27
"P12","De acuerdo",0.885,0.749,0.274,0.377
"P12","Ni de acuerdo ni en desacuerdo",0.063,0.167,0.237,0.121
"P12","En desacuerdo",0.041,0.076,0.395,0.159
"P12","No sabe",0.011,0.008,0.094,0.343
"P13","De acuerdo",0.75,0.484,0.142,0.252
"P13","Ni de acuerdo ni en desacuerdo",0.167,0.409,0.216,0.211
"P13","En desacuerdo",0.058,0.075,0.586,0.111
"P13","No sabe",0.025,0.032,0.056,0.426
"P14","De acuerdo",0.791,0.463,0.107,0.156
"P14","Ni de acuerdo ni en desacuerdo",0.14,0.445,0.177,0.161
"P14","En desacuerdo",0.052,0.077,0.671,0.2
"P14","No sabe",0.017,0.015,0.045,0.483
"P16","De acuerdo",0.877,0.616,0.244,0.269
"P16","Ni de acuerdo ni en desacuerdo",0.072,0.273,0.094,0.133
"P16","En desacuerdo",0.03,0.068,0.63,0.075
"P16","No sabe",0.021,0.043,0.032,0.523
"P17","De acuerdo",0.618,0.441,0.129,0.135
"P17","Ni de acuerdo ni en desacuerdo",0.186,0.253,0.062,0.223
"P17","En desacuerdo",0.172,0.273,0.783,0.476
"P17","No sabe",0.024,0.033,0.026,0.166
"P18","De acuerdo",0.563,0.379,0.111,0.142
"P18","Ni de acuerdo ni en desacuerdo",0.232,0.311,0.079,0.19
"P18","En desacuerdo",0.161,0.237,0.791,0.358
"P18","No sabe",0.044,0.073,0.019,0.31
"P19","De acuerdo",0.725,0.575,0.182,0.249
"P19","Ni de acuerdo ni en desacuerdo",0.108,0.168,0.061,0.17
"P19","En desacuerdo",0.149,0.228,0.747,0.396
"P19","No sabe",0.018,0.029,0.01,0.185
"P20","De acuerdo",0.679,0.504,0.171,0.199
"P20","Ni de acuerdo ni en desacuerdo",0.162,0.241,0.096,0.179
"P20","En desacuerdo",0.128,0.207,0.7,0.408
"P20","No sabe",0.031,0.048,0.033,0.214
"P21","De acuerdo",0.72,0.519,0.188,0.239
"P21","Ni de acuerdo ni en desacuerdo",0.12,0.195,0.104,0.119
"P21","En desacuerdo",0.133,0.261,0.699,0.456
"P21","No sabe",0.027,0.025,0.009,0.186
"P22","Si",0.47,0.371,0.578,0.325
"P22","No",0.319,0.321,0.158,0.267
"P22","No sabe",0.211,0.308,0.264,0.408
"P23","Si",0.561,0.425,0.158,0.156
"P23","No",0.343,0.482,0.681,0.64
"P23","No sabe",0.096,0.093,0.161,0.204
"P24","Si",0.471,0.341,0.139,0.149
"P24","No",0.409,0.505,0.726,0.614
"P24","No sabe",0.12,0.154,0.135,0.237
"P25","Si",0.531,0.365,0.177,0.157
"P25","No",0.371,0.504,0.72,0.65
"P25","No sabe",0.098,0.131,0.103,0.193
"P26","A favor",0.778,0.617,0.191,0.285
"P26","En contra",0.119,0.219,0.678,0.39
"P26","No sabe",0.103,0.164,0.131,0.325
