"var","categoria","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","No sabe"
"P08","Siempre",0.198,0.216,0.269,0.242
"P08","Casi siempre",0.34,0.346,0.349,0.356
"P08","Casi nunca",0.331,0.302,0.273,0.283
"P08","Nunca, pero esta es una excepción",0.131,0.136,0.109,0.119
"P09","Muy de acuerdo",0.45,0.114,0.088,0.1
"P09","De acuerdo",0.284,0.176,0.057,0.072
"P09","Ni de acuerdo ni en desacuerdo",0.196,0.315,0.314,0.305
"P09","En desacuerdo",0.042,0.166,0.187,0.281
"P09","Muy en desacuerdo",0.02,0.212,0.34,0.221
"P09","No sabe",0.008,0.017,0.014,0.021
"P10","De acuerdo",0.709,0.161,0.103,0.124
"P10","Ni de acuerdo ni en desacuerdo",0.166,0.344,0.199,0.14
"P10","En desacuerdo",0.074,0.405,0.571,0.403
"P10","No sabe",0.051,0.09,0.127,0.333
"P11","De acuerdo",0.812,0.212,0.091,0.08
"P11","Ni de acuerdo ni en desacuerdo",0.123,0.451,0.187,0.193
"P11","En desacuerdo",0.047,0.286,0.644,0.313
"P11","No sabe",0.018,0.051,0.078,0.414
"P13","De acuerdo",0.738,0.114,0.061,0.049
"P13","Ni de acuerdo ni en desacuerdo",0.19,0.504,0.203,0.143
"P13","En desacuerdo",0.043,0.321,0.622,0.389
"P13","No sabe",0.029,0.061,0.114,0.419
"P14","De acuerdo",0.734,0.179,0.073,0.13
"P14","Ni de acuerdo ni en desacuerdo",0.195,0.435,0.15,0.142
"P14","En desacuerdo",0.047,0.321,0.695,0.458
"P14","No sabe",0.024,0.065,0.082,0.27
"P15","De acuerdo",0.674,0.29,0.196,0.143
"P15","Ni de acuerdo ni en desacuerdo",0.235,0.316,0.149,0.042
"P15","En desacuerdo",0.065,0.343,0.587,0.398
"P15","No sabe",0.026,0.051,0.068,0.417
"P16","De acuerdo",0.86,0.306,0.127,0.117
"P16","Ni de acuerdo ni en desacuerdo",0.085,0.341,0.157,0.116
"P16","En desacuerdo",0.033,0.299,0.583,0.424
"P16","No sabe",0.022,0.054,0.133,0.343
"P17","De acuerdo",0.6,0.186,0.078,0.098
"P17","Ni de acuerdo ni en desacuerdo",0.208,0.15,0.067,0.135
"P17","En desacuerdo",0.166,0.635,0.799,0.654
"P17","No sabe",0.026,0.029,0.056,0.113
"P18","De acuerdo",0.554,0.14,0.037,0.051
"P18","Ni de acuerdo ni en desacuerdo",0.249,0.216,0.071,0.164
"P18","En desacuerdo",0.142,0.592,0.825,0.673
"P18","No sabe",0.055,0.052,0.067,0.112
"P19","De acuerdo",0.75,0.178,0.062,0.12
"P19","Ni de acuerdo ni en desacuerdo",0.12,0.143,0.064,0.12
"P19","En desacuerdo",0.114,0.641,0.812,0.683
"P19","No sabe",0.016,0.038,0.062,0.077
"P20","De acuerdo",0.688,0.196,0.05,0.084
"P20","Ni de acuerdo ni en desacuerdo",0.173,0.214,0.107,0.152
"P20","En desacuerdo",0.106,0.542,0.762,0.661
"P20","No sabe",0.033,0.048,0.081,0.103
"P21","De acuerdo",0.728,0.189,0.067,0.097
"P21","Ni de acuerdo ni en desacuerdo",0.136,0.213,0.063,0.064
"P21","En desacuerdo",0.124,0.533,0.794,0.709
"P21","No sabe",0.012,0.065,0.076,0.13
"P22","Si",0.441,0.502,0.555,0.416
"P22","No",0.335,0.162,0.14,0.263
"P22","No sabe",0.224,0.336,0.305,0.321
"P23","Si",0.549,0.214,0.126,0.133
"P23","No",0.345,0.683,0.747,0.676
"P23","No sabe",0.106,0.103,0.127,0.191
"P24","Si",0.477,0.101,0.091,0.077
"P24","No",0.394,0.757,0.749,0.778
"P24","No sabe",0.129,0.142,0.16,0.145
"P25","Si",0.519,0.179,0.129,0.093
"P25","No",0.377,0.729,0.711,0.766
"P25","No sabe",0.104,0.092,0.16,0.141
"P26","A favor",0.79,0.234,0.112,0.133
"P26","En contra",0.101,0.603,0.689,0.634
"P26","No sabe",0.109,0.163,0.199,0.233
