"var","categoria","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","No sabe"
"P08","Siempre",0.193,0.22,0.25,0.195
"P08","Casi siempre",0.334,0.316,0.385,0.355
"P08","Casi nunca",0.338,0.371,0.271,0.26
"P08","Nunca, pero esta es una excepción",0.135,0.093,0.094,0.19
"P09","Muy de acuerdo",0.541,0.247,0.098,0.065
"P09","De acuerdo",0.303,0.272,0.065,0.237
"P09","Ni de acuerdo ni en desacuerdo",0.125,0.367,0.271,0.488
"P09","En desacuerdo",0.019,0.061,0.223,0.149
"P09","Muy en desacuerdo",0.008,0.036,0.334,0.019
"P09","No sabe",0.004,0.017,0.009,0.042
"P10","De acuerdo",0.801,0.457,0.155,0.309
"P10","Ni de acuerdo ni en desacuerdo",0.147,0.288,0.186,0.265
"P10","En desacuerdo",0.032,0.156,0.54,0.137
"P10","No sabe",0.02,0.099,0.119,0.289
"P11","De acuerdo",0.848,0.592,0.242,0.455
"P11","Ni de acuerdo ni en desacuerdo",0.112,0.235,0.256,0.218
"P11","En desacuerdo",0.034,0.128,0.405,0.198
"P11","No sabe",0.006,0.045,0.097,0.129
"P12","De acuerdo",0.939,0.739,0.299,0.551
"P12","Ni de acuerdo ni en desacuerdo",0.044,0.15,0.25,0.132
"P12","En desacuerdo",0.011,0.074,0.347,0.22
"P12","No sabe",0.006,0.037,0.104,0.097
"P13","De acuerdo",0.815,0.499,0.155,0.22
"P13","Ni de acuerdo ni en desacuerdo",0.152,0.358,0.274,0.395
"P13","En desacuerdo",0.022,0.067,0.508,0.067
"P13","No sabe",0.011,0.076,0.063,0.318
"P14","De acuerdo",0.811,0.474,0.179,0.388
"P14","Ni de acuerdo ni en desacuerdo",0.151,0.414,0.222,0.185
"P14","En desacuerdo",0.026,0.078,0.551,0.072
"P14","No sabe",0.012,0.034,0.048,0.355
"P15","De acuerdo",0.714,0.535,0.277,0.403
"P15","Ni de acuerdo ni en desacuerdo",0.213,0.32,0.18,0.248
"P15","En desacuerdo",0.056,0.099,0.474,0.132
"P15","No sabe",0.017,0.046,0.069,0.217
"P16","De acuerdo",0.888,0.693,0.275,0.518
"P16","Ni de acuerdo ni en desacuerdo",0.07,0.204,0.181,0.126
"P16","En desacuerdo",0.031,0.061,0.452,0.04
"P16","No sabe",0.011,0.042,0.092,0.316
"P17","De acuerdo",0.773,0.264,0.049,0.199
"P17","Ni de acuerdo ni en desacuerdo",0.157,0.428,0.056,0.177
"P17","En desacuerdo",0.059,0.269,0.877,0.279
"P17","No sabe",0.011,0.039,0.018,0.345
"P18","De acuerdo",0.735,0.132,0.036,0.101
"P18","Ni de acuerdo ni en desacuerdo",0.193,0.559,0.065,0.177
"P18","En desacuerdo",0.046,0.239,0.869,0.191
"P18","No sabe",0.026,0.07,0.03,0.531
"P19","De acuerdo",0.926,0.371,0.049,0.251
"P19","Ni de acuerdo ni en desacuerdo",0.05,0.433,0.045,0.079
"P19","En desacuerdo",0.021,0.166,0.885,0.341
"P19","No sabe",0.003,0.03,0.021,0.329
"P21","De acuerdo",0.878,0.385,0.069,0.287
"P21","Ni de acuerdo ni en desacuerdo",0.09,0.38,0.062,0.13
"P21","En desacuerdo",0.023,0.189,0.857,0.237
"P21","No sabe",0.009,0.046,0.012,0.346
"P22","Si",0.459,0.356,0.559,0.294
"P22","No",0.367,0.28,0.148,0.196
"P22","No sabe",0.174,0.364,0.293,0.51
"P23","Si",0.67,0.255,0.13,0.236
"P23","No",0.248,0.586,0.734,0.628
"P23","No sabe",0.082,0.159,0.136,0.136
"P24","Si",0.592,0.189,0.074,0.098
"P24","No",0.302,0.614,0.799,0.6
"P24","No sabe",0.106,0.197,0.127,0.302
"P25","Si",0.636,0.246,0.105,0.183
"P25","No",0.283,0.562,0.8,0.551
"P25","No sabe",0.081,0.192,0.095,0.266
"P26","A favor",0.897,0.551,0.138,0.289
"P26","En contra",0.05,0.185,0.701,0.301
"P26","No sabe",0.053,0.264,0.161,0.41
