"var","categoria","Patricia Bullrich por Juntos por el Cambio","Cristina Fernández de Kirchner por el Frente de Todos","No sabe"
"P04","Tengo trabajo estable",0.403,0.525,0.456
"P04","Realizo changas o trabajos de vez en cuando",0.194,0.151,0.251
"P04","No tengo trabajo",0.192,0.138,0.148
"P04","Soy jubilado o pensionado",0.211,0.186,0.145
"P05","1",0.372,0.232,0.207
"P05","2",0.107,0.045,0.094
"P05","3",0.071,0.012,0.025
"P05","4",0.113,0.056,0.097
"P05","5",0.212,0.11,0.299
"P05","6",0.034,0.06,0.039
"P05","7",0.041,0.135,0.079
"P05","8",0.014,0.115,0.03
"P05","9",0.036,0.235,0.13
"P06","1",0.13,0.467,0.226
"P06","2",0.029,0.065,0.061
"P06","3",0.021,0.093,0.022
"P06","4",0.044,0.036,0.051
"P06","5",0.202,0.138,0.286
"P06","6",0.054,0.039,0.043
"P06","7",0.075,0.023,0.064
"P06","8",0.107,0.034,0.059
"P06","9",0.338,0.105,0.188
"P07","1",0.188,0.599,0.346
"P07","2",0.023,0.038,0.044
"P07","3",0.049,0.037,0.055
"P07","4",0.01,0.028,0.026
"P07","5",0.144,0.051,0.097
"P07","6",0.036,0.006,0.017
"P07","7",0.051,0.012,0.018
"P07","8",0.059,0.016,0.067
"P07","9",0.44,0.213,0.33
"P09","Del Frente de Todos y el peronismo",0.053,0.811,0.143
"P09","De Juntos por el cambio",0.634,0.03,0.202
"P09","De los Liberales libertarios",0.236,0.035,0.242
"P09","De la Izquierda",0.005,0.032,0.052
"P09","No sabe",0.072,0.092,0.361
"P10","A Alberto Fernández",0.149,0.101,0.126
"P10","A Sergio Massa",0.207,0.296,0.384
"P10","A algún candidato del peronismo",0.448,0.09,0.286
"P10","A algún candidato del kirchnerismo",0.196,0.513,0.204
"P11","A Alberto Fernández",0.264,0.097,0.134
"P11","A Sergio Massa",0.207,0.142,0.282
"P11","A algún candidato del peronismo",0.409,0.044,0.286
"P11","A Cristina Fernández de Kirchner",0.12,0.717,0.298
"P12","A Horacio Rodriguez Larreta",0.193,0.177,0.338
"P12","A Mauricio Macri",0.333,0.034,0.291
"P12","A Patricia Bullrich",0.426,0.149,0.126
"P12","A Facundo Manes",0.04,0.376,0.175
"P12","A Gerardo Morales",0.008,0.264,0.07
"P13","Seguro lo votaria",0.158,0.019,0.346
"P13","Quizás lo votaría",0.362,0.211,0.227
"P13","Nunca lo votaría",0.48,0.77,0.427
"P14","Lo votaría",0.427,0.019,0.039
