"var","categoria","Sergio Massa por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.51,0.378,0.493
"P04","Realizo changas o trabajos de vez en cuando",0.164,0.224,0.191
"P04","No tengo trabajo",0.156,0.177,0.173
"P04","Soy jubilado o pensionado",0.17,0.221,0.143
"P05","1",0.221,0.383,0.257
"P05","2",0.046,0.107,0.085
"P05","3",0.015,0.069,0.032
"P05","4",0.051,0.123,0.072
"P05","5",0.152,0.191,0.245
"P05","6",0.051,0.03,0.064
"P05","7",0.131,0.041,0.073
"P05","8",0.099,0.023,0.048
"P05","9",0.234,0.033,0.124
"P06","1",0.432,0.127,0.294
"P06","2",0.074,0.032,0.038
"P06","3",0.077,0.022,0.046
"P06","4",0.041,0.04,0.039
"P06","5",0.163,0.194,0.255
"P06","6",0.023,0.062,0.054
"P06","7",0.039,0.077,0.033
"P06","8",0.029,0.107,0.069
"P06","9",0.122,0.339,0.172
"P07","1",0.577,0.201,0.364
"P07","2",0.051,0.027,0.027
"P07","3",0.047,0.046,0.037
"P07","4",0.019,0.011,0.03
"P07","5",0.048,0.143,0.098
"P07","6",0.006,0.038,0.022
"P07","7",0.011,0.049,0.024
"P07","8",0.02,0.05,0.069
"P07","9",0.221,0.435,0.329
"P09","Del Frente de Todos y el peronismo",0.809,0.042,0.221
"P09","De Juntos por el cambio",0.048,0.664,0.196
"P09","De los Liberales libertarios",0.021,0.234,0.234
"P09","De la Izquierda",0.03,0.003,0.044
"P09","No sabe",0.092,0.057,0.305
"P10","A Alberto Fernández",0.101,0,0.182
"P10","A Sergio Massa",0.348,0.073,0.032
"P10","A algún candidato del peronismo",0.109,0.56,0.069
"P10","A algún candidato del kirchnerismo",0.442,0.367,0.717
"P11","A Alberto Fernández",0.089,0.141,0.165
"P11","A Sergio Massa",0.2,0.095,0.013
"P11","A algún candidato del peronismo",0.065,0.513,0.056
"P11","A Cristina Fernández de Kirchner",0.646,0.251,0.766
"P12","A Horacio Rodriguez Larreta",0.176,0.194,0.232
"P12","A Mauricio Macri",0.03,0.355,0.096
"P12","A Patricia Bullrich",0.1,0.408,0.393
"P12","A Facundo Manes",0.536,0.034,0.153
"P12","A Gerardo Morales",0.158,0.009,0.126
"P13","Seguro lo votaria",0.074,0.178,0.255
"P13","Quizás lo votaría",0.346,0.365,0.207
"P13","Nunca lo votaría",0.58,0.457,0.538
"P14","Lo votaría",0.03,0.46,0.042
"P14","Puede que lo vote",0.025,0.355,0.142
"P14","Nunca lo votaría",0.863,0.127,0.676
"P14","No sabe",0.082,0.058,0.14
"P15","Lo votaría",0.294,0.026,0.033
"P15","Puede que lo vote",0.425,0.098,0.1
"P15","Nunca lo votaría",0.215,0.859,0.737
"P15","No sabe",0.066,0.017,0.13
"P16","Lo votaría",0.241,0.009,0.066
"P16","Puede que lo vote",0.473,0.016,0.132
"P16","Nunca lo votaría",0.208,0.964,0.696
"P16","No sabe",0.078,0.011,0.106
