"var","categoria","Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.521,0.358,0.492
"P04","Realizo changas o trabajos de vez en cuando",0.158,0.225,0.202
"P04","No tengo trabajo",0.133,0.198,0.167
"P04","Soy jubilado o pensionado",0.188,0.219,0.139
"P05","1",0.223,0.363,0.303
"P05","2",0.051,0.097,0.094
"P05","3",0.011,0.063,0.044
"P05","4",0.044,0.116,0.1
"P05","5",0.109,0.221,0.213
"P05","6",0.062,0.034,0.038
"P05","7",0.158,0.03,0.052
"P05","8",0.11,0.024,0.029
"P05","9",0.232,0.052,0.127
"P06","1",0.473,0.136,0.242
"P06","2",0.08,0.031,0.042
"P06","3",0.091,0.023,0.021
"P06","4",0.036,0.044,0.033
"P06","5",0.128,0.221,0.222
"P06","6",0.026,0.057,0.05
"P06","7",0.026,0.069,0.058
"P06","8",0.038,0.107,0.056
"P06","9",0.102,0.312,0.276
"P07","1",0.625,0.209,0.288
"P07","2",0.05,0.039,0.02
"P07","3",0.05,0.04,0.038
"P07","4",0.017,0.012,0.024
"P07","5",0.056,0.125,0.113
"P07","6",0.006,0.031,0.041
"P07","7",0.013,0.04,0.036
"P07","8",0.022,0.057,0.044
"P07","9",0.161,0.447,0.396
"P09","Del Frente de Todos y el peronismo",0.853,0.045,0.181
"P09","De Juntos por el cambio",0.033,0.687,0.218
"P09","De los Liberales libertarios",0.029,0.168,0.339
"P09","De la Izquierda",0.032,0.01,0.024
"P09","No sabe",0.053,0.09,0.238
"P10","A Alberto Fernández",0.109,0.254,0.077
"P10","A Sergio Massa",0.287,0.135,0.31
"P10","A algún candidato del peronismo",0.104,0.407,0.197
"P10","A algún candidato del kirchnerismo",0.5,0.204,0.416
"P11","A Alberto Fernández",0.096,0.391,0.094
"P11","A Sergio Massa",0.147,0.193,0.231
"P11","A algún candidato del peronismo",0.058,0.382,0.17
"P11","A Cristina Fernández de Kirchner",0.699,0.034,0.505
"P12","A Horacio Rodriguez Larreta",0.204,0.233,0.066
"P12","A Mauricio Macri",0,0.333,0.307
"P12","A Patricia Bullrich",0.112,0.377,0.454
"P12","A Facundo Manes",0.448,0.048,0.089
"P12","A Gerardo Morales",0.236,0.009,0.084
"P13","Seguro lo votaria",0.033,0.17,0.226
"P13","Quizás lo votaría",0.251,0.37,0.268
"P13","Nunca lo votaría",0.716,0.46,0.506
"P14","Lo votaría",0.018,0.424,0.168
"P14","Puede que lo vote",0.04,0.306,0.214
"P14","Nunca lo votaría",0.877,0.21,0.48
"P14","No sabe",0.065,0.06,0.138
"P15","Lo votaría",0.269,0.043,0.058
"P15","Puede que lo vote",0.424,0.1,0.117
"P15","Nunca lo votaría",0.253,0.826,0.726
"P15","No sabe",0.054,0.031,0.099
"P16","Lo votaría",0.25,0.018,0.055
"P16","Puede que lo vote",0.483,0.024,0.114
"P16","Nunca lo votaría",0.2,0.946,0.733
"P16","No sabe",0.067,0.012,0.098
"P17","La votaría",0.791,0.003,0.139
"P17","Puede que la vote",0.12,0.029,0.07
"P17","Nunca la votaría",0.054,0.959,0.714
"P17","No sabe",0.035,0.009,0.077
"P18","Lo votaría",0.124,0.269,0.015
"P18","Puede que lo vote",0.061,0.443,0.203
"P18","Nunca lo votaría",0.806,0.221,0.688
"P18","No sabe",0.009,0.067,0.094
"P19","Lo votaría",0.042,0.106,0.079
"P19","Puede que lo vote",0.147,0.38,0.188
"P19","Nunca lo votaría",0.693,0.428,0.594
"P19","No sabe",0.118,0.086,0.139
