"var","categoria","Patricia Bullrich por Juntos por el Cambio","Wado de Pedro por el Frente de Todos","No sabe"
"P04","Tengo trabajo estable",0.406,0.524,0.458
"P04","Realizo changas o trabajos de vez en cuando",0.196,0.153,0.227
"P04","No tengo trabajo",0.18,0.146,0.16
"P04","Soy jubilado o pensionado",0.218,0.177,0.155
"P05","1",0.371,0.206,0.279
"P05","2",0.093,0.066,0.086
"P05","3",0.067,0.019,0.032
"P05","4",0.107,0.058,0.095
"P05","5",0.211,0.12,0.24
"P05","6",0.033,0.059,0.047
"P05","7",0.054,0.149,0.043
"P05","8",0.023,0.11,0.032
"P05","9",0.041,0.213,0.146
"P06","1",0.148,0.412,0.277
"P06","2",0.027,0.063,0.063
"P06","3",0.025,0.099,0.023
"P06","4",0.04,0.031,0.057
"P06","5",0.206,0.121,0.258
"P06","6",0.055,0.042,0.038
"P06","7",0.077,0.023,0.055
"P06","8",0.09,0.054,0.071
"P06","9",0.332,0.155,0.158
"P07","1",0.211,0.599,0.321
"P07","2",0.028,0.023,0.051
"P07","3",0.048,0.033,0.056
"P07","4",0.013,0.008,0.04
"P07","5",0.132,0.073,0.093
"P07","6",0.028,0.007,0.032
"P07","7",0.049,0.02,0.017
"P07","8",0.048,0.026,0.064
"P07","9",0.443,0.211,0.326
"P09","Del Frente de Todos y el peronismo",0.07,0.738,0.319
"P09","De Juntos por el cambio",0.643,0.071,0.171
"P09","De los Liberales libertarios",0.207,0.097,0.184
"P09","De la Izquierda",0.007,0.032,0.036
"P09","No sabe",0.073,0.062,0.29
"P10","A Alberto Fernández",0.253,0.092,0.095
"P10","A Sergio Massa",0.226,0.249,0.447
"P10","A algún candidato del peronismo",0.311,0.101,0.138
"P10","A algún candidato del kirchnerismo",0.21,0.558,0.32
"P11","A Alberto Fernández",0.224,0.077,0.124
"P11","A Sergio Massa",0.278,0.123,0.241
"P11","A algún candidato del peronismo",0.215,0.057,0.134
"P11","A Cristina Fernández de Kirchner",0.283,0.743,0.501
"P12","A Horacio Rodriguez Larreta",0.214,0.09,0.196
"P12","A Mauricio Macri",0.322,0.226,0.343
"P12","A Patricia Bullrich",0.415,0.375,0.247
"P12","A Facundo Manes",0.041,0.17,0.153
"P12","A Gerardo Morales",0.008,0.139,0.061
"P13","Seguro lo votaria",0.173,0.107,0.186
"P13","Quizás lo votaría",0.362,0.157,0.328
"P13","Nunca lo votaría",0.465,0.736,0.486
"P14","Lo votaría",0.439,0.052,0.047
"P14","Puede que lo vote",0.301,0.077,0.184
"P14","Nunca lo votaría",0.179,0.824,0.625
"P14","No sabe",0.081,0.047,0.144
"P15","Lo votaría",0.046,0.241,0.096
"P15","Puede que lo vote",0.093,0.421,0.173
"P15","Nunca lo votaría",0.845,0.262,0.627
"P15","No sabe",0.016,0.076,0.104
"P16","Lo votaría",0.031,0.179,0.107
"P16","Puede que lo vote",0.033,0.421,0.194
"P16","Nunca lo votaría",0.925,0.312,0.606
"P16","No sabe",0.011,0.088,0.093
"P17","La votaría",0.052,0.674,0.205
"P17","Puede que la vote",0.014,0.111,0.119
"P17","Nunca la votaría",0.927,0.167,0.6
"P17","No sabe",0.007,0.048,0.076
"P18","Lo votaría",0.242,0.093,0.081
"P18","Puede que lo vote",0.383,0.099,0.261
"P18","Nunca lo votaría",0.329,0.794,0.544
"P18","No sabe",0.046,0.014,0.114
"P19","Lo votaría",0.08,0.037,0.097
"P19","Puede que lo vote",0.366,0.18,0.19
"P19","Nunca lo votaría",0.487,0.668,0.518
"P19","No sabe",0.067,0.115,0.195
"P20","La votaría",0.545,0.054,0.088
"P20","Puede que la vote",0.299,0.074,0.129
"P20","Nunca la votaría",0.124,0.826,0.649
"P20","No sabe",0.032,0.046,0.134
"P21","Lo votaría",0.294,0.1,0.188
"P21","Puede que lo vote",0.278,0.08,0.083
"P21","Nunca lo votaría",0.368,0.785,0.604
"P21","No sabe",0.06,0.035,0.125
"P22","La votaría",0.235,0.027,0.046
"P22","Puede que la vote",0.343,0.09,0.188
"P22","Nunca la votaría",0.337,0.842,0.648
"P22","No sabe",0.085,0.041,0.118
"P23","Lo votaría",0.055,0.41,0.038
"P23","Puede que lo vote",0.084,0.281,0.134
"P23","Nunca lo votaría",0.803,0.216,0.653
"P23","No sabe",0.058,0.093,0.175
"P24","Lo votaría",0.06,0.073,0.034
"P24","Puede que lo vote",0.278,0.084,0.137
"P24","Nunca lo votaría",0.557,0.742,0.565
"P24","No sabe",0.105,0.101,0.264
"P25","Mauricio Macri por Juntos por el Cambio",0.268,0.023,0.048
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.137,0.034,0.093
"P25","Patricia Bullrich por Juntos por el Cambio",0.322,0.034,0.05
"P25","Facundo Manes por Juntos por el Cambio",0.029,0.02,0.1
"P25","Alberto Fernández por el Frente de Todos",0.014,0.041,0.066
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.042,0.696,0.253
"P25","Javier Milei por los liberales libertarios",0.141,0.076,0.164
"P25","Nicolás del Caño por la izquierda",0,0.023,0.02
"P25","Otros candidatos",0.018,0.022,0.101
"P25","Aún no lo tengo decidido",0.029,0.031,0.105
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.185,0.019,0.113
"P26","Patricia Bullrich por Juntos por el Cambio",0.486,0.036,0.084
"P26","Facundo Manes por Juntos por el Cambio",0.08,0.029,0.108
"P26","Wado de Pedro por el Frente de Todos",0.015,0.436,0.082
"P26","Sergio Massa por el Frente de Todos",0.033,0.304,0.215
"P26","Javier Milei por los liberales libertarios",0.149,0.07,0.162
"P26","Nicolás del Caño por la izquierda",0.019,0.036,0.033
"P26","Otros candidatos",0.008,0.029,0.056
"P26","Aún no lo tengo decidido",0.025,0.041,0.147
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.06,0.761,0.307
"P27","Mauricio Macri por Juntos por el Cambio",0.544,0.064,0.095
"P27","Javier Milei por los liberales libertarios",0.233,0.091,0.197
"P27","Nicolás del Caño por la izquierda",0.005,0.018,0.046
"P27","Otro candidato",0.095,0.029,0.149
"P27","Aún no lo tengo decidido",0.063,0.037,0.206
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.479,0.095,0.19
"P29","Wado de Pedro por el Frente de Todos",0.08,0.662,0.143
"P29","Javier Milei por los liberales libertarios",0.276,0.119,0.187
"P29","Nicolás del Caño por la izquierda",0.003,0.031,0.03
"P29","Otro candidato",0.088,0.043,0.193
"P29","Aún no lo tengo decidido",0.074,0.05,0.257
"P31","Sergio Massa por el Frente de Todos",0.071,0.612,0.246
"P31","Patricia Bullrich por Juntos por el Cambio",0.645,0.073,0.1
"P31","Javier Milei por los liberales libertarios",0.202,0.097,0.207
"P31","Nicolás del Caño por la izquierda",0.002,0.054,0.059
"P31","Otro candidato",0.032,0.083,0.21
"P31","Aún no lo tengo decidido",0.048,0.081,0.178
"P33","Sergio Massa por el Frente de Todos",0.072,0.591,0.213
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.515,0.078,0.174
"P33","Javier Milei por los liberales libertarios",0.275,0.128,0.188
"P33","Nicolás del Caño por la izquierda",0.005,0.039,0.05
"P33","Otro candidato",0.076,0.093,0.215
"P33","Aún no lo tengo decidido",0.057,0.071,0.16
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.09,0.762,0.299
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.499,0.058,0.12
"P35","Javier Milei por los liberales libertarios",0.289,0.117,0.198
"P35","Nicolás del Caño por la izquierda",0.001,0.022,0.027
"P35","Otro candidato",0.088,0.017,0.166
"P35","Aún no lo tengo decidido",0.033,0.024,0.19
"P36","Sergio Massa por el Frente de Todos",0.061,0.631,0.269
"P36","Mauricio Macri por Juntos por el Cambio",0.576,0.045,0.126
"P36","Javier Milei por los liberales libertarios",0.238,0.113,0.202
"P36","Nicolás del Caño por la izquierda",0.003,0.039,0.051
"P36","Otro candidato",0.079,0.109,0.203
"P36","Aún no lo tengo decidido",0.043,0.063,0.149
"P37","Wado de Pedro por el Frente de Todos",0.039,0.739,0.157
"P37","Mauricio Macri por Juntos por el Cambio",0.59,0.051,0.103
"P37","Javier Milei por los liberales libertarios",0.234,0.092,0.194
"P37","Nicolás del Caño por la izquierda",0.009,0.041,0.05
"P37","Otro candidato",0.085,0.043,0.259
"P37","Aún no lo tengo decidido",0.043,0.034,0.237
"P38","Wado de Pedro por el Frente de Todos",0.036,0.726,0.162
"P38","Patricia Bullrich por Juntos por el Cambio",0.681,0.054,0.105
"P38","Javier Milei por los liberales libertarios",0.202,0.104,0.181
"P38","Nicolás del Caño por la izquierda",0.003,0.03,0.044
"P38","Otro candidato",0.033,0.064,0.253
"P38","Aún no lo tengo decidido",0.045,0.022,0.255
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.05,0.752,0.283
"P39","Patricia Bullrich por Juntos por el Cambio",0.674,0.068,0.097
"P39","Javier Milei por los liberales libertarios",0.207,0.089,0.206
"P39","Nicolás del Caño por la izquierda",0.001,0.023,0.041
"P39","Otro candidato",0.034,0.031,0.184
"P39","Aún no lo tengo decidido",0.034,0.037,0.189
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.124,0.798,0.211
"P40","Mauricio Macri por Juntos por el Cambio",0.752,0.097,0.301
"P40","No sabe",0.124,0.105,0.488
"P41","Wado de Pedro por el Frente de Todos",0.062,0.815,0.172
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.74,0.106,0.229
"P41","No sabe",0.198,0.079,0.599
"P42","Sergio Massa por el Frente de Todos",0.071,0.723,0.288
"P42","Patricia Bullrich por Juntos por el Cambio",0.89,0.107,0.153
"P42","No sabe",0.039,0.17,0.559
"P43","Sergio Massa por el Frente de Todos",0.071,0.714,0.328
"P43","Mauricio Macri por Juntos por el Cambio",0.829,0.138,0.166
"P43","No sabe",0.1,0.148,0.506
"P44","Sergio Massa por el Frente de Todos",0.078,0.728,0.288
"P44","Javier Milei por los liberales libertarios",0.597,0.154,0.235
"P44","No sabe",0.325,0.118,0.477
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.332,0.373,0.142
