"var","categoria","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"P07","Si",0.933,0.806,0.736,0.714,0.797,0.839,0.703,0.494
"P07","Puede ser",0.038,0.138,0.139,0.162,0.131,0.085,0.174,0.27
"P07","No",0.029,0.056,0.125,0.124,0.072,0.076,0.123,0.236
"P23","Si",0.875,0.845,0.807,0.745,0.757,0.894,0.668,0.717
"P23","No",0.125,0.155,0.193,0.255,0.243,0.106,0.332,0.283
"P24","Inflación",0.27,0.189,0.194,0.154,0.221,0.193,0.142,0.191
"P24","Desempleo",0.153,0.079,0.145,0.171,0.164,0.099,0.199,0.139
"P24","Corrupción",0.134,0.465,0.464,0.244,0.396,0.469,0.304,0.303
"P24","Precio del dólar",0.063,0.026,0.041,0.082,0,0.048,0.057,0.085
"P24","Inseguridad",0.144,0.111,0.047,0.244,0.077,0.011,0.12,0.077
"P24","Pobreza",0.107,0.089,0.074,0.063,0.074,0.101,0.088,0.098
"P24","Narcotráfico",0.006,0.002,0.001,0.004,0.01,0.037,0.004,0.01
"P24","Tarifas",0.019,0.005,0,0.005,0,0.005,0.015,0.023
"P24","Otro",0.081,0.027,0.03,0.031,0.054,0.037,0.044,0.038
"P24","No sabe",0.023,0.007,0.004,0.002,0.004,0,0.027,0.036
"P30","Gran excedente habitual",0.005,0.003,0.001,0.006,0.012,0.029,0,0.018
"P30","Gran excedente excepcional",0.003,0.001,0.005,0,0,0.015,0.008,0
"P30","Pequeño excedente habitual",0.053,0.052,0.042,0.017,0.022,0.042,0.053,0.025
"P30","Pequeño excedente excepcional",0.069,0.044,0.064,0.046,0.006,0.051,0.011,0.033
"P30","Alcanza gastos familia",0.189,0.138,0.109,0.045,0.055,0.107,0.087,0.135
"P30","No alcanza gastos familia",0.126,0.14,0.177,0.203,0.076,0.2,0.124,0.179
"P30","Solo NBFamiliares",0.259,0.283,0.203,0.308,0.407,0.339,0.237,0.154
"P30","No alcanza NBFamiliares",0.274,0.313,0.389,0.375,0.304,0.178,0.441,0.418
"P30","No sabe",0.022,0.026,0.01,0,0.118,0.039,0.039,0.038
"P33","Mejor",0.333,0.019,0.019,0.113,0.075,0.025,0.128,0.085
"P33","Igual",0.298,0.204,0.254,0.21,0.548,0.158,0.121,0.349
"P33","Peor",0.197,0.676,0.635,0.555,0.212,0.69,0.468,0.409
"P33","No sabe",0.172,0.101,0.092,0.122,0.165,0.127,0.283,0.157
"P36","Mejor",0.474,0.024,0.045,0.124,0.085,0.039,0.154,0.117
"P36","Igual",0.218,0.125,0.173,0.228,0.344,0.084,0.204,0.173
"P36","Peor",0.192,0.779,0.697,0.593,0.388,0.758,0.465,0.552
"P36","No sabe",0.116,0.072,0.085,0.055,0.183,0.119,0.177,0.158
"P42","Muy buena",0.412,0.022,0.014,0.086,0.064,0.043,0.324,0.176
"P42","Buena",0.303,0.032,0.048,0.149,0.288,0,0.03,0.13
"P42","Ni buena ni mala",0.129,0.056,0.086,0.198,0.221,0.035,0.185,0.216
"P42","Mala",0.037,0.137,0.188,0.255,0.272,0.082,0.186,0.259
"P42","Muy mala",0.115,0.751,0.652,0.312,0.054,0.84,0.272,0.194
