"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad","opciones"
"Muy buena",0.293,0.278,0.307,0.23,0.273,0.378,0.335,0.25,0.275,0.391,0.37,0.182,0.074,0.447,0.319,0.277,6
"Buena",0.221,0.249,0.193,0.254,0.216,0.175,0.243,0.213,0.213,0.244,0.264,0.137,0.092,0.314,0.191,0.239,6
"Ni buena ni mala",0.178,0.16,0.196,0.247,0.152,0.165,0.142,0.184,0.202,0.132,0.169,0.176,0.169,0.158,0.201,0.164,6
"Mala",0.144,0.159,0.131,0.108,0.16,0.175,0.12,0.18,0.133,0.104,0.094,0.209,0.304,0.052,0.149,0.142,6
"Muy mala",0.144,0.141,0.147,0.137,0.175,0.103,0.139,0.153,0.148,0.125,0.098,0.262,0.348,0.025,0.125,0.156,6
"No sabe",0.02,0.013,0.026,0.024,0.024,0.004,0.021,0.02,0.029,0.004,0.005,0.034,0.013,0.004,0.015,0.022,6
"Positiva",0.514,0.527,0.5,0.484,0.489,0.553,0.578,0.463,0.488,0.635,0.634,0.319,0.166,0.761,0.51,0.516,4
"Neutra",0.178,0.16,0.196,0.247,0.152,0.165,0.142,0.184,0.202,0.132,0.169,0.176,0.169,0.158,0.201,0.164,4
"Negativa",0.288,0.3,0.278,0.245,0.335,0.278,0.259,0.333,0.281,0.229,0.192,0.471,0.652,0.077,0.274,0.298,4
"No sabe",0.02,0.013,0.026,0.024,0.024,0.004,0.021,0.02,0.029,0.004,0.005,0.034,0.013,0.004,0.015,0.022,4
