"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad","opciones"
"Muy buena",0.097,0.114,0.081,0.11,0.058,0.093,0.184,0.142,0.078,0.046,0.13,0.033,0.075,0.123,0.154,0.063,6
"Buena",0.234,0.233,0.236,0.203,0.175,0.313,0.349,0.212,0.259,0.234,0.272,0.201,0.193,0.291,0.23,0.237,6
"Ni buena ni mala",0.363,0.39,0.338,0.309,0.434,0.331,0.327,0.37,0.341,0.387,0.352,0.406,0.335,0.366,0.374,0.356,6
"Mala",0.237,0.205,0.265,0.319,0.232,0.221,0.095,0.184,0.276,0.265,0.198,0.27,0.299,0.18,0.181,0.27,6
"Muy mala",0.062,0.048,0.075,0.059,0.095,0.027,0.031,0.081,0.043,0.059,0.038,0.087,0.096,0.035,0.054,0.067,6
"No sabe",0.007,0.01,0.005,0,0.006,0.015,0.014,0.011,0.003,0.009,0.01,0.003,0.002,0.005,0.007,0.007,6
"Positiva",0.331,0.347,0.317,0.313,0.233,0.406,0.533,0.354,0.337,0.28,0.402,0.234,0.268,0.414,0.384,0.3,4
"Neutra",0.363,0.39,0.338,0.309,0.434,0.331,0.327,0.37,0.341,0.387,0.352,0.406,0.335,0.366,0.374,0.356,4
"Negativa",0.299,0.253,0.34,0.378,0.327,0.248,0.126,0.265,0.319,0.324,0.236,0.357,0.395,0.215,0.235,0.337,4
"No sabe",0.007,0.01,0.005,0,0.006,0.015,0.014,0.011,0.003,0.009,0.01,0.003,0.002,0.005,0.007,0.007,4
