"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad","opciones"
"Muy buena",0.087,0.096,0.077,0.119,0.066,0.074,0.103,0.123,0.063,0.065,0.093,0.105,0.094,0.089,0.054,0.106,6
"Buena",0.121,0.124,0.119,0.092,0.139,0.125,0.12,0.146,0.1,0.113,0.132,0.109,0.127,0.128,0.14,0.109,6
"Ni buena ni mala",0.461,0.442,0.48,0.414,0.439,0.515,0.527,0.43,0.509,0.438,0.49,0.394,0.446,0.48,0.496,0.441,6
"Mala",0.156,0.169,0.144,0.22,0.172,0.101,0.077,0.132,0.155,0.196,0.133,0.185,0.17,0.122,0.169,0.148,6
"Muy mala",0.049,0.065,0.034,0.048,0.054,0.044,0.048,0.063,0.037,0.046,0.031,0.082,0.049,0.051,0.04,0.055,6
"No sabe",0.126,0.104,0.146,0.107,0.13,0.141,0.125,0.106,0.136,0.142,0.121,0.125,0.114,0.13,0.101,0.141,6
"Positiva",0.208,0.22,0.196,0.211,0.205,0.199,0.223,0.269,0.163,0.178,0.225,0.214,0.221,0.217,0.194,0.215,4
"Neutra",0.461,0.442,0.48,0.414,0.439,0.515,0.527,0.43,0.509,0.438,0.49,0.394,0.446,0.48,0.496,0.441,4
"Negativa",0.205,0.234,0.178,0.268,0.226,0.145,0.125,0.195,0.192,0.242,0.164,0.267,0.219,0.173,0.209,0.203,4
"No sabe",0.126,0.104,0.146,0.107,0.13,0.141,0.125,0.106,0.136,0.142,0.121,0.125,0.114,0.13,0.101,0.141,4
