"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad","opciones"
"Muy buena",0.066,0.081,0.051,0.102,0.057,0.034,0.073,0.101,0.054,0.028,0.063,0.072,0.111,0.05,0.066,0.066,6
"Buena",0.067,0.06,0.074,0.046,0.078,0.073,0.065,0.08,0.052,0.069,0.053,0.091,0.122,0.038,0.082,0.057,6
"Ni buena ni mala",0.477,0.444,0.509,0.43,0.484,0.5,0.511,0.419,0.534,0.483,0.5,0.431,0.48,0.478,0.536,0.441,6
"Mala",0.185,0.213,0.159,0.226,0.17,0.17,0.178,0.188,0.176,0.196,0.203,0.167,0.109,0.22,0.158,0.202,6
"Muy mala",0.048,0.06,0.035,0.057,0.059,0.024,0.034,0.06,0.028,0.057,0.043,0.051,0.029,0.071,0.033,0.057,6
"No sabe",0.157,0.142,0.172,0.139,0.152,0.199,0.139,0.152,0.156,0.167,0.138,0.188,0.149,0.143,0.125,0.177,6
"Positiva",0.133,0.141,0.125,0.148,0.135,0.107,0.138,0.181,0.106,0.097,0.116,0.163,0.233,0.088,0.148,0.123,4
"Neutra",0.477,0.444,0.509,0.43,0.484,0.5,0.511,0.419,0.534,0.483,0.5,0.431,0.48,0.478,0.536,0.441,4
"Negativa",0.233,0.273,0.194,0.283,0.229,0.194,0.212,0.248,0.204,0.253,0.246,0.218,0.138,0.291,0.191,0.259,4
"No sabe",0.157,0.142,0.172,0.139,0.152,0.199,0.139,0.152,0.156,0.167,0.138,0.188,0.149,0.143,0.125,0.177,4
