"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad","opciones"
"Muy buena",0.089,0.113,0.066,0.104,0.062,0.103,0.11,0.128,0.059,0.069,0.116,0.058,0.076,0.099,0.095,0.085,6
"Buena",0.236,0.261,0.213,0.155,0.211,0.293,0.39,0.266,0.221,0.206,0.271,0.191,0.173,0.285,0.191,0.262,6
"Ni buena ni mala",0.388,0.38,0.396,0.399,0.401,0.37,0.361,0.354,0.395,0.44,0.386,0.352,0.347,0.394,0.432,0.362,6
"Mala",0.218,0.194,0.241,0.249,0.255,0.193,0.087,0.188,0.242,0.232,0.182,0.313,0.305,0.18,0.208,0.225,6
"Muy mala",0.06,0.042,0.077,0.082,0.069,0.034,0.026,0.056,0.07,0.05,0.035,0.081,0.087,0.039,0.062,0.059,6
"No sabe",0.009,0.01,0.007,0.011,0.002,0.007,0.026,0.008,0.013,0.003,0.01,0.005,0.012,0.003,0.012,0.007,6
"Positiva",0.325,0.374,0.279,0.259,0.273,0.396,0.5,0.394,0.28,0.275,0.387,0.249,0.249,0.384,0.286,0.347,4
"Neutra",0.388,0.38,0.396,0.399,0.401,0.37,0.361,0.354,0.395,0.44,0.386,0.352,0.347,0.394,0.432,0.362,4
"Negativa",0.278,0.236,0.318,0.331,0.324,0.227,0.113,0.244,0.312,0.282,0.217,0.394,0.392,0.219,0.27,0.284,4
"No sabe",0.009,0.01,0.007,0.011,0.002,0.007,0.026,0.008,0.013,0.003,0.01,0.005,0.012,0.003,0.012,0.007,4
