"var","categoria","El gobierno nacional","El gobierno provincial","No sabe"
"P09","Siempre",0.283,0.243,0.236
"P09","Casi siempre",0.348,0.362,0.329
"P09","Casi nunca",0.244,0.261,0.32
"P09","Nunca, pero esta es una excepción",0.125,0.134,0.115
"P10","Camau Espinola por Unión por la patria",0.108,0.104,0.111
"P10","German Brailard por Unión por la patria",0.063,0.055,0.013
"P10","Juan Pablo Valdes por Juntos por el cambio",0.299,0.166,0.21
"P10","Eduardo Tassano por Juntos por el cambio",0.072,0.07,0.065
"P10","Pitin Aragon por Unión por la patria",0.046,0.109,0.051
"P10","Tincho Ascua por Unión por la patria",0.026,0.063,0.058
"P10","Emiliano Fernandez por Unión por la patria",0.04,0.061,0.043
"P10","Ricardo Colombi por Juntos por el cambio",0.149,0.15,0.189
"P10","Noelia Bassi por Juntos por el cambio",0.073,0.029,0.036
"P10","No sabe",0.124,0.193,0.224
"P14","Lo votaría",0.288,0.145,0.128
"P14","Puede que lo vote",0.152,0.206,0.197
"P14","Nunca lo votaría",0.409,0.549,0.475
"P14","No sabe",0.151,0.1,0.2
"P15","Lo votaría",0.114,0.109,0.074
"P15","Puede que lo vote",0.264,0.259,0.206
"P15","Nunca lo votaría",0.426,0.523,0.461
"P15","No sabe",0.196,0.109,0.259
"P16","Lo votaría",0.374,0.18,0.252
"P16","Puede que lo vote",0.207,0.267,0.197
"P16","Nunca lo votaría",0.263,0.46,0.288
"P16","No sabe",0.156,0.093,0.263
"P17","Lo votaría",0.194,0.099,0.123
"P17","Puede que lo vote",0.302,0.192,0.302
"P17","Nunca lo votaría",0.309,0.595,0.339
"P17","No sabe",0.195,0.114,0.236
"P18","Lo votaría",0.088,0.08,0.035
"P18","Puede que lo vote",0.257,0.206,0.195
"P18","Nunca lo votaría",0.432,0.589,0.451
"P18","No sabe",0.223,0.125,0.319
"P19","Lo votaría",0.114,0.059,0.052
"P19","Puede que lo vote",0.193,0.235,0.161
"P19","Nunca lo votaría",0.482,0.591,0.486
"P19","No sabe",0.211,0.115,0.301
"P20","Lo votaría",0.097,0.1,0.019
"P20","Puede que lo vote",0.141,0.17,0.14
"P20","Nunca lo votaría",0.499,0.568,0.486
"P20","No sabe",0.263,0.162,0.355
"P21","Lo votaría",0.328,0.224,0.198
"P21","Puede que lo vote",0.217,0.158,0.196
"P21","Nunca lo votaría",0.295,0.526,0.377
"P21","No sabe",0.16,0.092,0.229
"P22","Lo votaría",0.224,0.061,0.115
"P22","Puede que lo vote",0.224,0.225,0.158
"P22","Nunca lo votaría",0.337,0.545,0.395
"P22","No sabe",0.215,0.169,0.332
"P23","Muy buena",0.177,0.053,0.091
"P23","Buena",0.282,0.206,0.234
"P23","Ni buena ni mala",0.318,0.353,0.413
"P23","Mala",0.179,0.28,0.212
"P23","Muy mala",0.032,0.105,0.04
"P23","No sabe",0.012,0.003,0.01
"P24","Muy buena",0.185,0.051,0.059
"P24","Buena",0.269,0.246,0.194
"P24","Ni buena ni mala",0.265,0.313,0.596
"P24","Mala",0.229,0.271,0.125
"P24","Muy mala",0.044,0.11,0.016
"P24","No sabe",0.008,0.009,0.01
"P26","El gobierno nacional",0.364,0.046,0.065
"P26","El gobierno provincial",0.28,0.73,0.26
"P26","No sabe",0.356,0.224,0.675
"P27","Muy buena",0.553,0.165,0.325
"P27","Buena",0.171,0.283,0.271
"P27","Ni buena ni mala",0.185,0.292,0.344
"P27","Mala",0.067,0.177,0.034
"P27","Muy mala",0.022,0.067,0.013
"P27","No sabe",0.002,0.016,0.013
"P28","Muy buena",0.131,0.047,0.06
"P28","Buena",0.154,0.152,0.107
"P28","Ni buena ni mala",0.384,0.412,0.51
"P28","Mala",0.251,0.232,0.207
"P28","Muy mala",0.036,0.091,0.051
"P28","No sabe",0.044,0.066,0.065
