"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Muy buena",0.254,0.24,0.268,0.209,0.202,0.321,0.327,0.195,0.266,0.297,0.255,0.239,0.228,0.263,0.074,0.472,0.142
"Patricia Bullrich","Buena",0.16,0.181,0.14,0.112,0.155,0.178,0.199,0.168,0.156,0.157,0.161,0.17,0.158,0.155,0.081,0.223,0.172
"Patricia Bullrich","Ni buena ni mala",0.157,0.146,0.167,0.227,0.175,0.105,0.111,0.184,0.166,0.117,0.141,0.234,0.154,0.139,0.131,0.13,0.255
"Patricia Bullrich","Mala",0.099,0.106,0.093,0.105,0.105,0.093,0.091,0.122,0.094,0.085,0.091,0.106,0.102,0.104,0.134,0.054,0.158
"Patricia Bullrich","Muy mala",0.308,0.321,0.295,0.308,0.34,0.294,0.256,0.284,0.304,0.337,0.325,0.22,0.342,0.324,0.55,0.116,0.267
"Patricia Bullrich","No sabe",0.022,0.006,0.037,0.039,0.023,0.009,0.016,0.047,0.014,0.007,0.027,0.031,0.016,0.015,0.03,0.005,0.006
"Maria Eugenia Vidal","Muy buena",0.16,0.153,0.167,0.096,0.148,0.191,0.212,0.173,0.15,0.161,0.162,0.165,0.127,0.161,0.041,0.281,0.113
"Maria Eugenia Vidal","Buena",0.196,0.189,0.204,0.14,0.166,0.245,0.256,0.167,0.2,0.22,0.205,0.199,0.198,0.188,0.064,0.347,0.18
"Maria Eugenia Vidal","Ni buena ni mala",0.193,0.194,0.191,0.227,0.195,0.179,0.171,0.206,0.212,0.153,0.19,0.232,0.211,0.176,0.121,0.203,0.296
"Maria Eugenia Vidal","Mala",0.121,0.119,0.122,0.134,0.138,0.098,0.1,0.131,0.108,0.128,0.101,0.148,0.098,0.13,0.145,0.075,0.197
"Maria Eugenia Vidal","Muy mala",0.309,0.335,0.284,0.378,0.329,0.276,0.235,0.276,0.316,0.331,0.32,0.233,0.342,0.325,0.603,0.087,0.209
"Maria Eugenia Vidal","No sabe",0.021,0.01,0.032,0.025,0.024,0.011,0.026,0.047,0.014,0.007,0.022,0.023,0.024,0.02,0.026,0.007,0.005
"Horacio Rodriguez Larreta","Muy buena",0.13,0.109,0.151,0.064,0.118,0.161,0.186,0.133,0.125,0.135,0.123,0.117,0.12,0.143,0.045,0.242,0.1
"Horacio Rodriguez Larreta","Buena",0.202,0.197,0.207,0.131,0.162,0.25,0.3,0.164,0.204,0.236,0.214,0.187,0.143,0.205,0.064,0.359,0.178
"Horacio Rodriguez Larreta","Ni buena ni mala",0.218,0.215,0.221,0.221,0.239,0.214,0.175,0.245,0.228,0.179,0.203,0.283,0.248,0.201,0.175,0.205,0.276
"Horacio Rodriguez Larreta","Mala",0.137,0.149,0.124,0.149,0.146,0.121,0.123,0.133,0.135,0.142,0.136,0.13,0.126,0.142,0.179,0.082,0.178
"Horacio Rodriguez Larreta","Muy mala",0.288,0.317,0.261,0.396,0.307,0.242,0.196,0.269,0.293,0.301,0.296,0.245,0.345,0.291,0.507,0.103,0.268
"Horacio Rodriguez Larreta","No sabe",0.025,0.013,0.036,0.039,0.028,0.012,0.02,0.056,0.015,0.007,0.028,0.038,0.018,0.018,0.03,0.009,0
"Javier Milei","Muy buena",0.18,0.24,0.122,0.307,0.183,0.142,0.089,0.194,0.197,0.143,0.183,0.229,0.16,0.16,0.078,0.221,0.163
"Javier Milei","Buena",0.136,0.149,0.123,0.108,0.139,0.155,0.133,0.134,0.125,0.153,0.136,0.162,0.132,0.126,0.061,0.197,0.141
"Javier Milei","Ni buena ni mala",0.241,0.209,0.271,0.181,0.233,0.257,0.299,0.256,0.25,0.212,0.221,0.26,0.243,0.249,0.145,0.327,0.281
"Javier Milei","Mala",0.124,0.109,0.14,0.106,0.106,0.139,0.164,0.121,0.125,0.126,0.119,0.12,0.111,0.133,0.125,0.13,0.128
"Javier Milei","Muy mala",0.296,0.284,0.308,0.283,0.315,0.287,0.281,0.245,0.29,0.356,0.312,0.204,0.325,0.316,0.564,0.114,0.274
