"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P04","Tengo trabajo estable",0.369,0.434,0.453
"P04","Realizo changas o trabajos de vez en cuando",0.272,0.178,0.153
"P04","No tengo trabajo",0.176,0.195,0.159
"P04","Soy jubilado o pensionado",0.183,0.193,0.235
"P05","1",0.427,0.351,0.366
"P05","2",0.098,0.081,0.07
"P05","3",0.07,0.113,0.093
"P05","4",0.047,0.098,0.115
"P05","5",0.126,0.187,0.191
"P05","6",0.018,0.024,0.029
"P05","7",0.015,0.022,0.059
"P05","8",0.029,0.026,0.021
"P05","9",0.17,0.098,0.056
"P06","1",0.248,0.16,0.182
"P06","2",0.037,0.053,0.045
"P06","3",0.043,0.021,0.04
"P06","4",0.016,0.032,0.049
"P06","5",0.183,0.209,0.227
"P06","6",0.028,0.042,0.06
"P06","7",0.04,0.103,0.084
"P06","8",0.065,0.08,0.073
"P06","9",0.34,0.3,0.24
"P07","1",0.235,0.182,0.278
"P07","2",0.029,0.034,0.031
"P07","3",0.012,0.025,0.041
"P07","4",0.009,0.021,0.019
"P07","5",0.098,0.169,0.117
"P07","6",0.027,0.025,0.031
"P07","7",0.042,0.062,0.047
"P07","8",0.03,0.048,0.048
"P07","9",0.518,0.434,0.388
"P12","A Horacio Rodriguez Larreta",0.359,0.218,0.233
"P12","A Mauricio Macri",0.307,0.416,0.329
"P12","A Patricia Bullrich",0.232,0.287,0.298
"P12","A Facundo Manes",0.067,0.056,0.085
"P12","A Gerardo Morales",0.035,0.023,0.055
"P14","Lo votaría",0.63,0.505,0.479
"P14","Puede que lo vote",0.229,0.363,0.258
"P14","Nunca lo votaría",0.122,0.099,0.252
"P14","No sabe",0.019,0.033,0.011
"P15","Lo votaría",0.095,0.11,0.084
"P15","Puede que lo vote",0.102,0.101,0.099
"P15","Nunca lo votaría",0.763,0.735,0.779
"P15","No sabe",0.04,0.054,0.038
"P16","Lo votaría",0.052,0.061,0.047
"P16","Puede que lo vote",0.035,0.06,0.052
"P16","Nunca lo votaría",0.883,0.854,0.888
"P16","No sabe",0.03,0.025,0.013
"P17","La votaría",0.058,0.067,0.076
"P17","Puede que la vote",0.039,0.03,0.012
"P17","Nunca la votaría",0.88,0.879,0.902
"P17","No sabe",0.023,0.024,0.01
"P18","Lo votaría",0.416,0.266,0.316
"P18","Puede que lo vote",0.293,0.439,0.382
"P18","Nunca lo votaría",0.246,0.247,0.263
"P18","No sabe",0.045,0.048,0.039
"P19","Lo votaría",0.157,0.099,0.102
"P19","Puede que lo vote",0.232,0.298,0.288
"P19","Nunca lo votaría",0.517,0.495,0.557
"P19","No sabe",0.094,0.108,0.053
"P20","La votaría",0.476,0.521,0.467
"P20","Puede que la vote",0.222,0.267,0.279
"P20","Nunca la votaría",0.241,0.151,0.228
"P20","No sabe",0.061,0.061,0.026
"P21","Lo votaría",0.386,0.097,0.078
"P21","Puede que lo vote",0.267,0.596,0.133
"P21","Nunca lo votaría",0.289,0.227,0.756
"P21","No sabe",0.058,0.08,0.033
"P22","La votaría",0.27,0.279,0.241
"P22","Puede que la vote",0.361,0.41,0.355
"P22","Nunca la votaría",0.295,0.221,0.345
"P22","No sabe",0.074,0.09,0.059
"P23","Lo votaría",0.053,0.039,0.03
"P23","Puede que lo vote",0.092,0.091,0.07
"P23","Nunca lo votaría",0.821,0.826,0.866
"P23","No sabe",0.034,0.044,0.034
"P24","Lo votaría",0.114,0.072,0.094
"P24","Puede que lo vote",0.197,0.268,0.298
"P24","Nunca lo votaría",0.562,0.566,0.549
"P24","No sabe",0.127,0.094,0.059
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.474,0.588,0.473
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.26,0.201,0.264
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.033,0.006,0.02
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.027,0.043,0.081
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.151,0.059,0.039
"P25","Nicolás del Caño – Myriam Bregman",0.005,0.008,0.006
"P25","Otros candidatos",0.05,0.095,0.117
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.029,0.059,0.087
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.622,0.732,0.68
"P29","Javier Milei – José Luis Espert por los liberales",0.237,0.087,0.042
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0,0.002,0.008
"P29","Otro candidato",0.112,0.12,0.183
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.489,0.542,0.615
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.067,0.098,0.114
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.29,0.206,0.055
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.01,0.001,0.007
"P31","Otro candidato",0.144,0.153,0.209
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.073,0.064,0.092
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.628,0.718,0.706
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.215,0.089,0.041
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.016,0.022,0.005
"P33","Otro candidato",0.068,0.107,0.156
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.077,0.073,0.102
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.48,0.531,0.611
"P35","Javier Milei – José Luis Espert por los liberales",0.335,0.193,0.064
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.004,0.024,0.007
"P35","Otro candidato",0.104,0.179,0.216
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.051,0.083,0.088
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.54,0.533,0.633
"P37","Javier Milei – José Luis Espert por los liberales",0.31,0.217,0.07
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.001,0.009,0.003
"P37","Otro candidato",0.098,0.158,0.206
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.022,0.031,0.063
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.674,0.717,0.72
"P38","Javier Milei – José Luis Espert por los liberales",0.203,0.108,0.054
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.012,0.008,0.013
"P38","Otro candidato",0.089,0.136,0.15
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.082,0.077,0.115
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.734,0.806,0.755
"P39","No sabe",0.184,0.117,0.13
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.081,0.045,0.081
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.691,0.724,0.738
"P40","No sabe",0.228,0.231,0.181
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.057,0.031,0.08
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.762,0.801,0.795
"P41","No sabe",0.181,0.168,0.125
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.049,0.041,0.07
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.717,0.722,0.74
"P42","No sabe",0.234,0.237,0.19
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.037,0.041,0.068
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.699,0.731,0.746
"P43","No sabe",0.264,0.228,0.186
"P44","Mauricio Macri – María Eugenia Vidal",0.714,0.747,0.74
"P44","Sergio Massa – Wado de Pedro",0.101,0.092,0.144
"P44","No sabe",0.185,0.161,0.116
"P45","Sergio Massa – Wado de Pedro",0.106,0.115,0.131
"P45","Javier Milei – José Luis Espert",0.543,0.543,0.283
"P45","No sabe",0.351,0.342,0.586
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.456,0.479,0.654
"P46","Javier Milei – José Luis Espert",0.358,0.304,0.103
"P46","No sabe",0.186,0.217,0.243
"P47","Muy buena",0.092,0.06,0.079
"P47","Buena",0.04,0.031,0.038
"P47","Ni buena ni mala",0.041,0.051,0.06
"P47","Mala",0.096,0.099,0.083
"P47","Muy mala",0.714,0.742,0.737
"P47","No sabe",0.017,0.017,0.003
"P48","Muy buena",0.05,0.031,0.013
"P48","Buena",0.016,0.017,0.03
"P48","Ni buena ni mala",0.076,0.035,0.037
"P48","Mala",0.073,0.108,0.114
"P48","Muy mala",0.781,0.797,0.794
"P48","No sabe",0.004,0.012,0.012
"P49","Muy buena",0.033,0.038,0.036
"P49","Buena",0.028,0.013,0.02
"P49","Ni buena ni mala",0.036,0.019,0.023
"P49","Mala",0.032,0.052,0.048
"P49","Muy mala",0.862,0.875,0.87
"P49","No sabe",0.009,0.003,0.003
"P50","Muy buena",0.382,0.284,0.321
"P50","Buena",0.244,0.36,0.277
"P50","Ni buena ni mala",0.127,0.157,0.189
"P50","Mala",0.054,0.045,0.048
"P50","Muy mala",0.193,0.148,0.162
"P50","No sabe",0,0.006,0.003
"P51","Muy buena",0.351,0.235,0.284
"P51","Buena",0.329,0.413,0.371
"P51","Ni buena ni mala",0.203,0.223,0.208
"P51","Mala",0.054,0.064,0.051
"P51","Muy mala",0.038,0.044,0.084
"P51","No sabe",0.025,0.021,0.002
"P52","Muy buena",0.053,0.042,0.048
"P52","Buena",0.113,0.062,0.067
"P52","Ni buena ni mala",0.116,0.112,0.119
"P52","Mala",0.105,0.181,0.16
"P52","Muy mala",0.598,0.592,0.602
"P52","No sabe",0.015,0.011,0.004
"P53","Muy buena",0.494,0.512,0.502
"P53","Buena",0.184,0.252,0.22
"P53","Ni buena ni mala",0.1,0.12,0.136
"P53","Mala",0.068,0.033,0.041
"P53","Muy mala",0.135,0.066,0.1
"P53","No sabe",0.019,0.017,0.001
"P54","Muy buena",0.281,0.108,0.071
"P54","Buena",0.24,0.303,0.078
"P54","Ni buena ni mala",0.286,0.446,0.386
"P54","Mala",0.08,0.069,0.258
"P54","Muy mala",0.089,0.043,0.202
"P54","No sabe",0.024,0.031,0.005
"P55","Muy buena",0.356,0.325,0.299
"P55","Buena",0.324,0.411,0.331
"P55","Ni buena ni mala",0.197,0.175,0.215
"P55","Mala",0.065,0.038,0.067
"P55","Muy mala",0.031,0.042,0.084
"P55","No sabe",0.027,0.009,0.004
"P56","Muy buena",0.046,0.057,0.04
"P56","Buena",0.047,0.045,0.057
"P56","Ni buena ni mala",0.136,0.123,0.116
"P56","Mala",0.136,0.222,0.219
"P56","Muy mala",0.626,0.55,0.562
"P56","No sabe",0.009,0.003,0.006
"P57","Muy buena",0.103,0.076,0.093
"P57","Buena",0.122,0.142,0.119
"P57","Ni buena ni mala",0.297,0.343,0.251
"P57","Mala",0.15,0.183,0.217
"P57","Muy mala",0.297,0.226,0.291
"P57","No sabe",0.031,0.03,0.029
"P58","Muy buena",0.152,0.074,0.106
"P58","Buena",0.184,0.244,0.209
"P58","Ni buena ni mala",0.396,0.439,0.357
"P58","Mala",0.108,0.092,0.147
"P58","Muy mala",0.117,0.085,0.124
"P58","No sabe",0.043,0.066,0.057
"P59","Siempre",0.344,0.325,0.327
"P59","Casi siempre",0.332,0.389,0.443
"P59","Casi nunca",0.174,0.228,0.156
"P59","Nunca, pero esta es una excepción",0.15,0.058,0.074
"P60","Si",0.572,0.601,0.582
"P60","No",0.428,0.399,0.418
