"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Inflación",0.322,0.321,0.324,0.31,0.353,0.317,0.278,0.265,0.355,0.346,0.374,0.31,0.29,0.319,0.301,0.308,0.339
"Desempleo",0.095,0.097,0.093,0.111,0.104,0.07,0.078,0.111,0.108,0.054,0.119,0.062,0.124,0.079,0.128,0.131,0.086
"Corrupción",0.26,0.284,0.239,0.298,0.23,0.259,0.268,0.249,0.261,0.274,0.143,0.348,0.256,0.281,0.29,0.181,0.237
"Inseguridad",0.151,0.132,0.169,0.104,0.136,0.195,0.214,0.177,0.13,0.152,0.145,0.158,0.188,0.123,0.133,0.121,0.19
"Precio del dólar",0.019,0.023,0.015,0.021,0.022,0.014,0.016,0.027,0.016,0.013,0.022,0.022,0.006,0.021,0.02,0.049,0.013
"Pobreza",0.068,0.057,0.077,0.08,0.072,0.051,0.058,0.093,0.046,0.069,0.093,0.045,0.078,0.073,0.084,0.091,0.052
"Narcotráfico",0.016,0.009,0.023,0.005,0.013,0.022,0.037,0.025,0.01,0.014,0.019,0.02,0,0.02,0.006,0,0.021
"Tarifas",0.011,0.008,0.014,0.013,0.011,0.008,0.011,0.007,0.017,0.006,0.015,0.006,0.005,0.007,0.011,0.018,0.013
"Otro",0.041,0.051,0.031,0.04,0.043,0.046,0.028,0.025,0.042,0.058,0.054,0.022,0.026,0.051,0.019,0.077,0.037
"No sabe",0.017,0.018,0.015,0.018,0.016,0.018,0.012,0.021,0.015,0.014,0.016,0.007,0.027,0.026,0.008,0.024,0.012
