"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P05","Mucho",0.47,0.36,0.398,0.321
"P05","Bastante",0.173,0.299,0.237,0.298
"P05","Poco",0.11,0.267,0.189,0.189
"P05","Nada",0.104,0.068,0.161,0.15
"P05","No sabe",0.143,0.006,0.015,0.042
"P06","Siempre",0.156,0.273,0.253,0.226
"P06","Casi siempre",0.235,0.376,0.315,0.398
"P06","Casi nunca",0.582,0.243,0.308,0.26
"P06","Nunca, pero esta es una excepción",0.027,0.108,0.124,0.116
"P09","De Unión por la Patria",0.236,0.263,0.229,0.249
"P09","De Juntos por el Cambio",0.245,0.268,0.344,0.367
"P09","De los liberales libertarios",0.16,0.154,0.172,0.142
"P09","De la Izquierda",0.135,0.036,0.028,0.027
"P09","Hacemos por Nuestro País",0.061,0.058,0.004,0.012
"P09","otro",0,0.056,0.058,0.066
"P09","En blanco",0.013,0.008,0.098,0.035
"P09","No sabe",0.15,0.157,0.067,0.102
"P10","Unidos para Cambiar Santa Fe",0.225,0.323,0.266,0.229
"P10","Juntos Avancemos",0.353,0.204,0.27,0.272
"P10","De los liberales libertarios",0.217,0.187,0.143,0.122
"P10","De la Izquierda",0.093,0.057,0.041,0.036
"P10","En blanco",0,0,0.115,0.049
"P10","No sabe",0.112,0.229,0.165,0.292
"P11","Carolina Losada a gobernadora y Federico Angelini a vicegobernador por Unidos para Cambiar Santa Fe",0.222,0.276,0.226,0.216
"P11","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.084,0.122,0.184,0.22
"P11","Mónica Fein a gobernadora y Eugenio Fernández a vicegobernador por Unidos para Cambiar Santa Fe",0.103,0.074,0.081,0.066
"P11","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.23,0.221,0.175,0.12
"P11","Marcos Cleri a gobernador y Alejandra del Huerto Obeid a vicegobernadora por Juntos Avancemos",0.083,0.029,0.071,0.087
"P11","Leandro Busatto a gobernador y Alejandra Gómez Sáenz a vicegobernadora por Juntos Avancemos",0.17,0.133,0.044,0.059
"P11","Eduardo Toniolli a gobernador y Leticia Quagliaro a vicegobernadora por Juntos Avancemos",0.108,0.04,0.024,0.024
"P11","Alguno de los candidatos a gobernador y vicegobernador de la Izquierda",0,0.07,0.022,0.009
"P11","En blanco",0,0,0.11,0.039
"P11","No sabe",0,0.035,0.063,0.16
"P15","Lo votaría",0.148,0.122,0.092,0.077
"P15","Puede que lo vote",0.306,0.265,0.151,0.139
"P15","Nunca lo votaría",0.29,0.349,0.58,0.229
"P15","No sabe",0.256,0.264,0.177,0.555
"P16","La votaría",0.402,0.178,0.22,0.157
"P16","Puede que la vote",0.164,0.259,0.11,0.18
"P16","Nunca la votaría",0.434,0.455,0.631,0.39
"P16","No sabe",0,0.108,0.039,0.273
"P17","Lo votaría",0.318,0.258,0.185,0.203
"P17","Puede que lo vote",0.169,0.208,0.13,0.193
"P17","Nunca lo votaría",0.513,0.458,0.642,0.351
"P17","No sabe",0,0.076,0.043,0.253
"P18","La votaría",0.307,0.158,0.093,0.055
"P18","Puede que la vote",0.285,0.32,0.058,0.128
"P18","Nunca la votaría",0.283,0.305,0.716,0.208
"P18","No sabe",0.125,0.217,0.133,0.609
"P19","La votaría",0.206,0.148,0.099,0.093
"P19","Puede que la vote",0.338,0.351,0.158,0.159
"P19","Nunca la votaría",0.456,0.391,0.69,0.317
"P19","No sabe",0,0.11,0.053,0.431
"P20","Lo votaría",0.698,0.261,0.179,0.133
"P20","Puede que lo vote",0.108,0.321,0.108,0.145
"P20","Nunca lo votaría",0.138,0.272,0.666,0.351
"P20","No sabe",0.056,0.146,0.047,0.371
"P21","Lo votaría",0.194,0.14,0.108,0.11
"P21","Puede que lo vote",0.272,0.424,0.086,0.122
"P21","Nunca lo votaría",0.478,0.354,0.748,0.335
"P21","No sabe",0.056,0.082,0.058,0.433
"P22","Lo votaría",0.366,0.144,0.057,0.055
"P22","Puede que lo vote",0.243,0.41,0.1,0.069
"P22","Nunca lo votaría",0.313,0.249,0.738,0.222
"P22","No sabe",0.078,0.197,0.105,0.654
"P23","Lo votaría",0.247,0.092,0.071,0.075
"P23","Puede que lo vote",0.332,0.446,0.075,0.086
"P23","Nunca lo votaría",0.421,0.291,0.784,0.261
"P23","No sabe",0,0.171,0.07,0.578
"P24","Lo votaría",0.402,0.102,0.057,0.056
"P24","Puede que lo vote",0.212,0.458,0.078,0.086
"P24","Nunca lo votaría",0.28,0.307,0.814,0.299
"P24","No sabe",0.106,0.133,0.051,0.559
"P25","Lo votaría",0.259,0.02,0.094,0.076
"P25","Puede que lo vote",0.156,0.465,0.133,0.129
"P25","Nunca lo votaría",0.556,0.303,0.741,0.238
"P25","No sabe",0.029,0.212,0.032,0.557
"P26","Lo votaría",0.254,0,0.034,0.018
"P26","Puede que la vote",0.221,0.405,0.047,0.05
"P26","Nunca la votaría",0.379,0.356,0.83,0.124
"P26","No sabe",0.146,0.239,0.089,0.808
"P27","La votaría",0.127,0.042,0.056,0.032
"P27","Puede que la vote",0.209,0.439,0.085,0.085
"P27","Nunca la votaría",0.461,0.312,0.797,0.158
"P27","No sabe",0.203,0.207,0.062,0.725
"P28","Lo votaría",0.253,0.045,0.02,0.016
"P28","Puede que la vote",0.056,0.48,0.039,0.055
"P28","Nunca la votaría",0.282,0.287,0.854,0.114
"P28","No sabe",0.409,0.188,0.087,0.815
"P29","La votaría",0.295,0.056,0.082,0.058
"P29","Puede que la vote",0.177,0.568,0.064,0.063
"P29","Nunca la votaría",0.355,0.221,0.81,0.132
"P29","No sabe",0.173,0.155,0.044,0.747
"P30","Lo votaría",0.279,0.013,0.045,0.028
"P30","Puede que la vote",0.084,0.519,0.054,0.026
"P30","Nunca la votaría",0.418,0.328,0.835,0.102
"P30","No sabe",0.219,0.14,0.066,0.844
"P31","La votaría",0.143,0.101,0.062,0.047
"P31","Puede que la vote",0.299,0.468,0.077,0.121
"P31","Nunca la votaría",0.472,0.325,0.828,0.228
"P31","No sabe",0.086,0.106,0.033,0.604
"P32","La votaría",0.449,0.056,0.039,0.025
"P32","Puede que la vote",0.079,0.508,0.037,0.031
"P32","Nunca la votaría",0.342,0.284,0.877,0.138
"P32","No sabe",0.13,0.152,0.047,0.806
"P33","Lo votaría",0.333,0.025,0.02,0.016
"P33","Puede que la vote",0.26,0.602,0.047,0.046
"P33","Nunca la votaría",0.333,0.238,0.865,0.1
"P33","No sabe",0.074,0.135,0.068,0.838
"P35","Si",0.324,0.479,0.418,0.416
"P35","No",0.676,0.521,0.582,0.584
