"var","categoria","Porque me siento desanimado con la realidad del país","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa","Nunca voy a votar","Por miedo a la pandemia","Porque las PASO no son elecciones importantes"
"P14","A Tolosa Paz por el Frente de Todos",0.212,0.508,0,0.403,0.113
"P14","A Santilli y Manes por Juntos",0.661,0.282,1,0.584,0.501
"P14","A del Caño por el Frente de Izquierda",0,0.014,0,0,0.065
"P14","A Espert por Avanza libertad",0.023,0.068,0,0,0.074
"P14","A Randazzo por ""Vamos con vos""",0,0,0,0,0.197
"P14","A Hotton por “+Valores”",0,0,0,0,0
"P14","Votaría en blanco o anularía",0.104,0.128,0,0.013,0.05
"P16","A Juan Aníbal Viaggo por Juntos",0.662,0.257,0.657,0.583,0.495
"P16","A Mateo Bartolini por el Frente de todos",0.211,0.524,0,0.404,0.114
"P16","A Catalina Riganti por Convocación Civica por San Isidro",0,0,0.343,0,0.042
"P16","A Francisco Sicardi de Estrada por Avanza libertad",0.023,0.074,0,0,0.071
"P16","A Florencia Sarmiento por el Frente de Izquierda",0,0.014,0,0,0.063
"P16","A Martín Eduardo Palma Bastidas por “Vamos con vos""",0,0,0,0,0.094
"P16","Votaría en blanco o anularía",0.104,0.131,0,0.013,0.121
"P18","Diego Santilli y Facundo Manes por “Juntos”",0.872,0.159,0.401,0.468,0.599
"P18","Victoria Tolosa Paz por el Frente de todos",0.072,0.534,0,0.416,0.11
"P18","Nicolás del Caño por el Frente de Izquierda",0,0.015,0.599,0,0
"P18","José Luis Espert por “Avanza Libertad”",0.024,0.089,0,0,0.043
"P18","Florencio Randazzo por “Vamos con vos”",0,0.037,0,0,0.2
"P18","Cynthia Hotton por “+Valores”",0,0.045,0,0,0
"P18","Ninguna en particular",0.032,0.121,0,0.006,0.048
"P18","No sabe",0,0,0,0.11,0
"P19","Diego Santilli y Facundo Manes por “Juntos”",0.166,0.219,0,0.198,0.162
"P19","Victoria Tolosa Paz por el Frente de todos",0.728,0.516,1,0.679,0.691
"P19","Nicolás del Caño por el Frente de Izquierda",0.036,0.087,0,0.01,0.045
"P19","José Luis Espert por “Avanza Libertad”",0.019,0.085,0,0.023,0
"P19","Florencio Randazzo por “Vamos con vos”",0,0,0,0.054,0
"P19","Cynthia Hotton por “+Valores”",0,0.042,0,0,0
"P19","Ninguna en particular",0.051,0,0,0.005,0.102
"P19","No sabe",0,0.051,0,0.031,0
"P20","No alcanzan para cubrir las necesidades básicas familiares",0.4,0.105,0,0.081,0.051
"P20","Solo alcanzan para cubrir las necesidades básicas familiares",0.267,0.548,0,0.422,0.693
"P20","No alcanzan para cubrir los gastos totales de la familia",0.147,0.074,0,0.188,0.032
"P20","Alcanzan para cubrir los gastos totales de la familia",0.143,0.104,0,0.204,0.204
"P20","Tenemos un pequeño excedente, pero es excepcional",0,0,0,0.077,0.02
"P20","Tenemos un pequeño excedente habitual que ahorramos o invertimos",0,0.169,0.391,0.02,0
"P20","Tenemos un gran excedente pero es excepcional",0,0,0,0,0
"P20","Tenemos un gran excedente habitual que ahorramos o invertimos",0,0,0.609,0,0
"P20","No sabe",0.043,0,0,0.008,0
"P21","Muy buena",0.148,0.077,0,0.053,0.03
"P21","Buena",0,0.352,0,0.268,0.06
"P21","Ni buena ni mala",0.11,0.014,0,0.249,0.139
"P21","Mala",0.292,0.134,0,0.035,0.008
"P21","Muy mala",0.419,0.359,1,0.39,0.763
"P21","No sabe",0.031,0.064,0,0.005,0
"P22","Muy buena",0.034,0.31,0,0.221,0.038
"P22","Buena",0,0.167,0,0.21,0.117
"P22","Ni buena ni mala",0,0.03,0,0,0.019
"P22","Mala",0.166,0.048,0,0.15,0
"P22","Muy mala",0.769,0.381,1,0.339,0.826
"P22","No sabe",0.031,0.064,0,0.08,0
"P23","Muy buena",0,0.017,0,0.042,0.018
"P23","Buena",0.161,0.228,0,0.206,0
"P23","Ni buena ni mala",0.025,0.034,0,0.206,0.301
"P23","Mala",0.042,0.324,0,0.319,0.094
"P23","Muy mala",0.574,0.397,1,0.144,0.587
"P23","No sabe",0.198,0,0,0.083,0
"P24","Muy buena",0.389,0.122,0,0.031,0.03
"P24","Buena",0.228,0.053,0.355,0.129,0.322
"P24","Ni buena ni mala",0.193,0.039,0.645,0.323,0.169
"P24","Mala",0,0.317,0,0.384,0.014
"P24","Muy mala",0.19,0.469,0,0.133,0.445
"P24","No sabe",0,0,0,0,0.02
"P25","Muy buena",0.519,0.13,0,0.08,0.094
"P25","Buena",0.212,0.125,0.355,0.546,0.481
"P25","Ni buena ni mala",0.041,0.304,0.645,0.195,0.217
"P25","Mala",0.096,0.228,0,0.024,0.087
"P25","Muy mala",0.132,0.213,0,0.155,0.103
"P25","No sabe",0,0,0,0,0.018
