"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Inflación",0.379,0.38,0.378,0.438,0.387,0.376,0.314,0.212,0.365,0.445,0.476,0.335,0.596,0.394,0.542,0.35,0.387,0.449
"Desempleo",0.074,0.096,0.057,0.092,0.072,0.048,0.087,0.218,0.057,0.037,0.088,0.071,0.092,0.097,0.038,0.047,0.079,0.123
"Corrupción",0.282,0.3,0.268,0.2,0.258,0.325,0.358,0.232,0.319,0.274,0.11,0.357,0.177,0.08,0.077,0.415,0.335,0.287
"Inseguridad",0.111,0.086,0.13,0.127,0.119,0.111,0.079,0.164,0.143,0.07,0.089,0.133,0.09,0.161,0.052,0.102,0.086,0.103
"Precio del dólar",0.013,0.003,0.02,0.016,0.014,0.013,0.005,0.039,0.008,0.007,0.034,0.002,0,0.048,0.012,0,0,0.003
"Pobreza",0.058,0.041,0.072,0.049,0.075,0.05,0.047,0.043,0.037,0.077,0.093,0.037,0.012,0.102,0.128,0.028,0.048,0.007
"Narcotráfico",0.005,0.009,0.002,0,0.002,0.013,0.007,0.01,0.003,0.005,0.002,0.008,0,0.004,0,0.015,0,0
"Tarifas",0.005,0.004,0.006,0,0,0.012,0.011,0,0.009,0.004,0.006,0.005,0.012,0.011,0,0.009,0,0
"Otro",0.057,0.069,0.048,0.042,0.073,0.034,0.071,0.047,0.036,0.076,0.082,0.036,0.021,0.076,0.134,0.031,0.048,0.023
"No sabe",0.016,0.012,0.019,0.036,0,0.018,0.021,0.035,0.023,0.005,0.02,0.016,0,0.027,0.017,0.003,0.017,0.005
