"var","categoria","Sergio Massa a presidente por Unión por la Patria.","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Los candidatos a presidente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P05","Mucho",0.331,0.273,0.204,0.193,0.268,0.223,0.065
"P05","Bastante",0.391,0.283,0.415,0.522,0.19,0.282,0.422
"P05","Poco",0.178,0.342,0.29,0.031,0.372,0.193,0.091
"P05","Nada",0.061,0.04,0.091,0.116,0.152,0.302,0.255
"P05","No sabe",0.039,0.062,0,0.138,0.018,0,0.167
"P06","Siempre",0.192,0.132,0.095,0.033,0.397,0.143,0
"P06","Casi siempre",0.409,0.32,0.241,0.548,0.166,0.477,0.171
"P06","Casi nunca",0.28,0.45,0.512,0.076,0.342,0.028,0.481
"P06","Nunca, pero esta es una excepción",0.119,0.098,0.152,0.343,0.095,0.352,0.348
"P10","Unión por la Patria",0.57,0.17,0.191,0.037,0.164,0,0.015
"P10","Juntos por el Cambio",0.131,0.56,0.101,0,0.1,0,0.005
"P10","De los Liberales libertarios",0.047,0.085,0.582,0.009,0,0,0
"P10","De la Izquierda",0.088,0.054,0.019,0.838,0,0.175,0
"P10","Hacemos por nuestro país",0.004,0.048,0.019,0.009,0.245,0,0
"P10","En blanco",0.07,0.013,0,0,0.014,0.825,0.055
"P10","No sabe",0.09,0.07,0.088,0.107,0.477,0,0.925
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.817,0.067,0.129,0.046,0,0,0.02
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.093,0.662,0.08,0,0.307,0,0.005
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.022,0.131,0.685,0,0,0,0
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0.018,0.045,0.012,0.056,0.356,0.098,0.034
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.003,0.009,0.021,0.791,0.021,0,0
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.006,0.022,0.023,0,0.183,0,0
"P13","En blanco",0.002,0.005,0.007,0,0.074,0.902,0.017
"P13","No sabe",0.039,0.059,0.043,0.107,0.059,0,0.924
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.827,0.296,0.175,0.383,0.524,0.579,0.056
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.069,0.522,0.221,0,0.153,0,0.005
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.089,0.116,0.514,0,0,0,0
"P20","El candidato a gobernador de la Izquierda",0.003,0.037,0.02,0.617,0,0,0
"P20","En blanco",0,0,0.008,0,0.066,0.309,0
"P20","No sabe",0.012,0.029,0.062,0,0.257,0.112,0.939
"P23","Gustavo Menéndez a intendente por Unión por la Patria.",0.341,0.275,0.197,0.048,0.183,0.613,0.031
"P23","Zencich a intendente por Juntos por el Cambio",0.14,0.235,0.207,0,0.374,0,0
"P23","Eduardo Varela a intendente por la Libertad Avanza",0.055,0.09,0.405,0,0,0.034,0
"P23","Raul Othacehé a intendente por el frente vecinal crecer",0.122,0.244,0.092,0.021,0.056,0.086,0.016
"P23","El candidato a intendente de la Izquierda",0.2,0.097,0.011,0.783,0.308,0.157,0
"P23","En blanco",0.086,0.02,0.062,0,0,0.11,0.036
"P23","No sabe",0.056,0.039,0.026,0.148,0.079,0,0.917
"P26","Totalmente seguro.",0.725,0.499,0.703,0.709,0.874,0.653,0.254
"P26","Bastante seguro",0.138,0.292,0.134,0.063,0,0,0.039
"P26","Algo seguro",0.054,0.146,0.136,0.063,0.097,0,0.044
"P26","Para nada seguro",0.083,0.063,0.027,0.165,0.029,0.347,0.663
"P27","Tiene Decidido que va a ir a votar.",0.831,0.926,0.855,0.838,1,0.744,0.661
"P27","Tiene dudas sobre si va a ir a  votar",0.122,0.054,0.122,0.162,0,0.256,0.33
"P27","Tiene Decidido que no va a ir a votar",0.047,0.02,0.023,0,0,0,0.009
"P28","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.26,0.579,0.703,0.016,0.54,0.117,0.364
"P28","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.167,0.134,0.211,0.053,0.18,0.019,0.272
"P28","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.329,0.159,0.063,0.155,0.207,0.696,0.025
"P28","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.091,0.014,0.004,0.412,0.073,0.168,0.037
"P28","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.098,0.058,0.012,0.364,0,0,0.014
"P28","No sabe",0.055,0.056,0.007,0,0,0,0.288
"P29","No estaba enterado del tema",0.031,0.158,0.09,0,0,0,0
"P29","Un tema de la vida privada de él",0.059,0.068,0.089,0.258,0.505,0.658,0
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.528,0.2,0.201,0.406,0.138,0,0.06
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.178,0.249,0.173,0.084,0.025,0,0.308
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.133,0.312,0.433,0.199,0.332,0.17,0.399
"P29","No sabe",0.071,0.013,0.014,0.053,0,0.172,0.233
"P30","Si",0.797,0.78,0.845,0.741,0.639,0.848,0.704
"P30","No",0.203,0.22,0.155,0.259,0.361,0.152,0.296
"P31","Sergio Massa",0.548,0.11,0.064,0.108,0.092,0,0.018
"P31","Patria Bullrich",0.042,0.339,0.047,0,0.18,0.093,0.182
"P31","Javier Milei",0.058,0.281,0.827,0.048,0,0.015,0.009
"P31","Myriam Bregman",0.32,0.127,0.045,0.844,0.421,0.149,0.777
"P31","Juan Schiaretti",0.032,0.143,0.017,0,0.307,0.743,0.014
"P32","Ha aumentado significativamente",0.179,0.003,0.01,0.015,0.353,0,0
"P32","Ha aumentado ligeramente",0.234,0.096,0.224,0.275,0.029,0.743,0.13
"P32","Se mantiene igual",0.324,0.655,0.368,0.549,0.226,0.093,0.037
"P32","Ha disminuido ligeramente",0.076,0.14,0.216,0.048,0.272,0,0.019
"P32","Ha disminuido significativamente",0.187,0.106,0.182,0.113,0.12,0.164,0.814
"P33","No, ninguna dificultad",0.355,0.245,0.093,0.441,0.429,0,0.192
"P33","Alguna dificultad ocasional",0.356,0.464,0.498,0.451,0.253,0.886,0.656
"P33","Sí, dificultades frecuentes",0.289,0.291,0.409,0.108,0.318,0.114,0.152
"P34","Sí, absolutamente",0.688,0.573,0.298,0.325,0.719,0.977,0.071
"P34","Sí, en cierta medida",0.286,0.299,0.396,0.675,0.254,0.023,0.929
"P34","No, en absoluto",0.026,0.128,0.306,0,0.027,0,0
"P35","Reducir la inflación",0.32,0.387,0.237,0.655,0.508,0.027,0.52
"P35","Implementar reformas fiscales",0.162,0.065,0.07,0,0,0,0.013
"P35","Establecer políticas de control de precios",0.2,0.161,0.101,0.225,0.368,0.198,0.051
"P35","Reducir el gasto público",0.105,0.321,0.582,0.12,0.099,0.775,0.416
"P35","Estimular la inversión extranjera",0.11,0.066,0.01,0,0.025,0,0
"P35","Aumentar los subsidios a los servicios públicos",0.103,0,0,0,0,0,0
"P36","Muy positiva",0.196,0.055,0.043,0.627,0,0,0
"P36","Positiva",0.185,0.132,0.172,0.069,0.184,0.801,0.067
"P36","Neutral",0.211,0.525,0.248,0.186,0.296,0.199,0.253
"P36","Algo negativa",0.002,0.041,0.276,0,0.039,0,0
"P36","Negativa",0.144,0.11,0.032,0,0.34,0,0
"P36","No sabe",0.262,0.137,0.229,0.118,0.141,0,0.68
"P37","Muy positiva",0.519,0.392,0.384,0.755,0.192,0,0.075
"P37","Positiva",0.234,0.269,0.165,0.176,0.234,0,0.132
"P37","Neutral",0.115,0.23,0.138,0.069,0.211,0.805,0.21
"P37","Algo negativa",0.018,0.062,0.06,0,0.337,0.027,0
"P37","Negativa",0.013,0.033,0.162,0,0,0,0
"P37","No sabe",0.101,0.014,0.091,0,0.026,0.168,0.583
"P38","Muy positiva",0.284,0.09,0.125,0.699,0.175,0,0.074
"P38","Positiva",0.279,0.132,0.036,0.09,0,0,0.281
"P38","Neutral",0.18,0.559,0.443,0.211,0.545,1,0.12
"P38","Algo negativa",0.067,0.111,0.133,0,0,0,0
"P38","Negativa",0.018,0.057,0.084,0,0.186,0,0.453
"P38","No sabe",0.172,0.051,0.179,0,0.094,0,0.072
"P39","Muy positiva",0.632,0.138,0.302,0.453,0.478,0.03,0.116
"P39","Positiva",0.142,0.337,0.074,0.344,0.041,0.844,0.694
"P39","Neutral",0.094,0.356,0.515,0.203,0.315,0.126,0.112
"P39","Algo negativa",0.074,0.058,0.048,0,0.166,0,0
"P39","Negativa",0.006,0.098,0.061,0,0,0,0
"P39","No sabe",0.052,0.013,0,0,0,0,0.078
"P40","Muy positiva",0.473,0.456,0.223,0.516,0.446,0.844,0.141
"P40","Positiva",0.25,0.149,0.253,0.38,0.167,0.03,0.049
"P40","Neutral",0.072,0.239,0.394,0.104,0.387,0.126,0.064
"P40","Algo negativa",0.022,0.058,0.003,0,0,0,0.129
"P40","Negativa",0.075,0.081,0.11,0,0,0,0
"P40","No sabe",0.108,0.017,0.017,0,0,0,0.617
"P41","Lo votaría",0.554,0.066,0.048,0.165,0,0,0.054
"P41","Puede que lo vote",0.21,0.079,0.059,0.383,0.281,0,0.116
"P41","Nunca lo votaría",0.128,0.674,0.893,0.452,0.417,1,0.079
"P41","No sabe",0.108,0.181,0,0,0.302,0,0.751
"P42","Lo votaría",0.077,0.466,0.172,0,0.279,0,0
"P42","Puede que lo vote",0.027,0.116,0.267,0,0,0,0.167
"P42","Nunca lo votaría",0.765,0.249,0.537,1,0.419,0.97,0.054
"P42","No sabe",0.131,0.169,0.024,0,0.302,0.03,0.779
"P43","Lo votaría",0.024,0.199,0.631,0,0,0,0
"P43","Puede que lo vote",0.036,0.193,0.197,0,0,0,0.106
"P43","Nunca lo votaría",0.934,0.421,0.107,1,0.698,0.97,0.698
"P43","No sabe",0.006,0.187,0.065,0,0.302,0.03,0.196
"P44","Lo votaría",0.143,0.109,0.244,0.316,0,0,0
"P44","Puede que lo vote",0.184,0.1,0.147,0,0.331,0,0.088
"P44","Nunca lo votaría",0.591,0.569,0.552,0.684,0.669,1,0.135
"P44","No sabe",0.082,0.222,0.057,0,0,0,0.777
"P45","Si",0.575,0.281,0.404,0.705,0.298,0,0.083
"P45","No",0.425,0.719,0.596,0.295,0.702,1,0.917
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",1,0,0,0,0,0,0
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0,1,0,0,0,0,0
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0,0,1,0,0,0,0
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0,0,0,1,0,0,0
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0,0,0,1,0,0
"PRESIDENTE","En blanco",0,0,0,0,0,1,0
"PRESIDENTE","No sabe",0,0,0,0,0,0,1
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.827,0.296,0.175,0.383,0.524,0.579,0.056
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.069,0.522,0.221,0,0.153,0,0.005
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.089,0.116,0.514,0,0,0,0
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.003,0.037,0.02,0.617,0,0,0
"GOBERNADOR","En blanco",0,0,0.008,0,0.066,0.309,0
"GOBERNADOR","No sabe",0.012,0.029,0.062,0,0.257,0.112,0.939
"INTENDENTE","Gustavo Menéndez a intendente por Unión por la Patria.",0.341,0.275,0.197,0.048,0.183,0.613,0.031
"INTENDENTE","Zencich a intendente por Juntos por el Cambio",0.14,0.235,0.207,0,0.374,0,0
"INTENDENTE","Eduardo Varela a intendente por la Libertad Avanza",0.055,0.09,0.405,0,0,0.034,0
