"var","categoria","Axel Kicillof a gobernador por Unión por la Patria.","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco","No sabe"
"P05","Mucho",0.375,0.338,0.379,0.204,0.113,0.207
"P05","Bastante",0.296,0.315,0.411,0.547,0.217,0.272
"P05","Poco",0.178,0.237,0.161,0.156,0.201,0.199
"P05","Nada",0.106,0.084,0.044,0.017,0.399,0.219
"P05","No sabe",0.045,0.026,0.005,0.076,0.07,0.103
"P06","Siempre",0.202,0.23,0.171,0.158,0.074,0.132
"P06","Casi siempre",0.314,0.324,0.239,0.495,0.141,0.231
"P06","Casi nunca",0.358,0.286,0.462,0.193,0.373,0.325
"P06","Nunca, pero esta es una excepción",0.126,0.16,0.128,0.154,0.412,0.312
"P10","Unión por la Patria",0.684,0.033,0.103,0.047,0,0.056
"P10","Juntos por el Cambio",0.081,0.821,0.064,0,0.007,0.003
"P10","De los Liberales libertarios",0.021,0.101,0.758,0,0.032,0.012
"P10","De la Izquierda",0.044,0.014,0.011,0.674,0.216,0.004
"P10","Hacemos por nuestro país",0.007,0.014,0.004,0.034,0.056,0.035
"P10","En blanco",0.056,0.01,0.009,0.24,0.642,0.084
"P10","No sabe",0.107,0.007,0.051,0.005,0.047,0.806
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.852,0.034,0.073,0.012,0,0.01
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.041,0.839,0.009,0.033,0,0.017
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.039,0.071,0.888,0.047,0.013,0.062
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0.012,0.019,0.001,0.058,0.192,0.041
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.011,0,0.009,0.816,0.008,0
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.004,0.022,0,0.004,0.461,0.033
"P13","En blanco",0.014,0.002,0,0,0.326,0.026
"P13","No sabe",0.027,0.013,0.02,0.03,0,0.811
"P16","Si",0.429,0.383,0.358,0.662,0.26,0.713
"P16","No",0.571,0.617,0.642,0.338,0.74,0.287
"P17","Sergio Massa a presidente por Unión por la Patria.",0.652,0.134,0.151,0.023,0,0.037
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.109,0.472,0.093,0.142,0,0.042
"P17","Javier Milei a presidente por la Libertad Avanza",0.119,0.368,0.756,0.14,0.192,0.163
"P17","Los candidatos a presidente de la Izquierda",0.042,0,0,0.695,0,0
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.034,0.024,0,0,0.154,0.066
"P17","En blanco",0.034,0,0,0,0.654,0.026
"P17","No sabe",0.01,0.002,0,0,0,0.666
"P20","Axel Kicillof a gobernador por Unión por la Patria.",1,0,0,0,0,0
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0,1,0,0,0,0
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0,0,1,0,0,0
"P20","El candidato a gobernador de la Izquierda",0,0,0,1,0,0
"P20","En blanco",0,0,0,0,1,0
"P20","No sabe",0,0,0,0,0,1
"P23","Gustavo Menéndez a intendente por Unión por la Patria.",0.388,0.115,0.246,0.075,0.124,0.012
"P23","Zencich a intendente por Juntos por el Cambio",0.112,0.481,0.069,0,0.056,0.023
"P23","Eduardo Varela a intendente por la Libertad Avanza",0.051,0.15,0.498,0,0.078,0.036
"P23","Raul Othacehé a intendente por el frente vecinal crecer",0.106,0.204,0.114,0.117,0,0.035
"P23","El candidato a intendente de la Izquierda",0.212,0,0.058,0.791,0.362,0
"P23","En blanco",0.068,0.005,0.002,0.017,0.214,0.202
"P23","No sabe",0.063,0.045,0.013,0,0.166,0.692
"P26","Totalmente seguro.",0.683,0.655,0.736,0.585,0.141,0.204
"P26","Bastante seguro",0.186,0.255,0.123,0.331,0.405,0.091
"P26","Algo seguro",0.081,0.028,0.074,0.039,0.038,0.034
"P26","Para nada seguro",0.05,0.062,0.067,0.045,0.416,0.671
"P27","Tiene Decidido que va a ir a votar.",0.926,0.951,0.827,0.938,0.146,0.677
"P27","Tiene dudas sobre si va a ir a  votar",0.061,0.036,0.119,0.049,0.651,0.305
"P27","Tiene Decidido que no va a ir a votar",0.013,0.013,0.054,0.013,0.203,0.018
"P28","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.195,0.696,0.648,0.08,0.638,0.529
"P28","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.144,0.245,0.109,0.057,0.008,0.173
"P28","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.374,0.038,0.038,0.172,0.174,0.04
"P28","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.111,0.003,0.059,0.039,0.086,0.011
"P28","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.087,0,0.094,0.63,0,0.014
"P28","No sabe",0.089,0.018,0.052,0.022,0.094,0.233
"P29","No estaba enterado del tema",0.117,0.116,0.075,0.009,0.601,0.018
"P29","Un tema de la vida privada de él",0.188,0.034,0.055,0.037,0,0.01
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.44,0.067,0.103,0.14,0.029,0.158
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.114,0.399,0.327,0.134,0.053,0.299
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.05,0.376,0.428,0.564,0.155,0.351
"P29","No sabe",0.091,0.008,0.012,0.116,0.162,0.164
"P30","Si",0.775,0.861,0.846,0.867,0.343,0.75
"P30","No",0.225,0.139,0.154,0.133,0.657,0.25
"P31","Sergio Massa",0.609,0.07,0.064,0.645,0.485,0.088
"P31","Patria Bullrich",0.025,0.558,0.049,0,0.07,0.239
"P31","Javier Milei",0.061,0.215,0.825,0.117,0.096,0.256
"P31","Myriam Bregman",0.255,0.086,0.038,0.231,0.095,0.357
"P31","Juan Schiaretti",0.05,0.071,0.024,0.007,0.254,0.06
"P32","Ha aumentado significativamente",0.168,0.069,0.035,0.05,0.633,0.013
"P32","Ha aumentado ligeramente",0.282,0.132,0.121,0.148,0,0.077
"P32","Se mantiene igual",0.328,0.295,0.273,0.066,0.045,0.223
"P32","Ha disminuido ligeramente",0.094,0.267,0.259,0.555,0.127,0.214
"P32","Ha disminuido significativamente",0.128,0.237,0.312,0.181,0.195,0.473
"P33","No, ninguna dificultad",0.323,0.192,0.104,0.171,0.048,0.18
"P33","Alguna dificultad ocasional",0.341,0.39,0.325,0.78,0.327,0.387
"P33","Sí, dificultades frecuentes",0.336,0.418,0.571,0.049,0.625,0.433
"P34","Sí, absolutamente",0.732,0.355,0.199,0.384,0.906,0.237
"P34","Sí, en cierta medida",0.243,0.3,0.345,0.616,0.042,0.543
"P34","No, en absoluto",0.025,0.345,0.456,0,0.052,0.22
"P35","Reducir la inflación",0.418,0.362,0.262,0.22,0.716,0.532
"P35","Implementar reformas fiscales",0.091,0.083,0.047,0.097,0.022,0.006
"P35","Establecer políticas de control de precios",0.32,0.052,0.027,0.162,0.104,0.154
"P35","Reducir el gasto público",0.073,0.452,0.654,0.123,0.129,0.27
"P35","Estimular la inversión extranjera",0.039,0.051,0.01,0,0.016,0.038
"P35","Aumentar los subsidios a los servicios públicos",0.059,0,0,0.398,0.013,0
"P36","Muy positiva",0.244,0.059,0.171,0.06,0.484,0.044
"P36","Positiva",0.249,0.113,0.179,0.255,0.162,0.024
"P36","Neutral",0.205,0.323,0.235,0.271,0.162,0.181
"P36","Algo negativa",0.029,0.195,0.132,0,0.035,0
"P36","Negativa",0.047,0.093,0.15,0,0.038,0
"P36","No sabe",0.226,0.217,0.133,0.414,0.119,0.751
"P37","Muy positiva",0.582,0.236,0.162,0.448,0.641,0.199
"P37","Positiva",0.218,0.208,0.204,0.389,0.041,0.124
"P37","Neutral",0.095,0.287,0.36,0.103,0.071,0.348
"P37","Algo negativa",0.014,0.101,0.103,0.022,0.03,0.007
"P37","Negativa",0.011,0.153,0.155,0,0,0
"P37","No sabe",0.08,0.015,0.016,0.038,0.217,0.322
"P38","Muy positiva",0.323,0.105,0.093,0.519,0.452,0.187
"P38","Positiva",0.296,0.075,0.172,0.047,0.175,0.33
"P38","Neutral",0.185,0.334,0.357,0.395,0.199,0.084
"P38","Algo negativa",0.049,0.125,0.198,0,0.043,0.081
"P38","Negativa",0.013,0.258,0.145,0,0,0.188
"P38","No sabe",0.134,0.103,0.035,0.039,0.131,0.13
"P39","Muy positiva",0.56,0.148,0.448,0.52,0.68,0.323
"P39","Positiva",0.245,0.114,0.279,0.12,0.057,0.362
"P39","Neutral",0.116,0.439,0.17,0.306,0.196,0.231
"P39","Algo negativa",0.03,0.071,0.06,0.019,0,0
"P39","Negativa",0.017,0.208,0.021,0,0.067,0
"P39","No sabe",0.032,0.02,0.022,0.035,0,0.084
"P40","Muy positiva",0.546,0.156,0.308,0.558,0.567,0.092
"P40","Positiva",0.251,0.217,0.175,0.16,0.214,0.058
"P40","Neutral",0.087,0.297,0.304,0.148,0.136,0.402
"P40","Algo negativa",0.03,0.027,0.112,0,0,0.069
"P40","Negativa",0.02,0.173,0.047,0.134,0,0.077
"P40","No sabe",0.066,0.13,0.054,0,0.083,0.302
"P41","Lo votaría",0.695,0.059,0.051,0.163,0,0.033
"P41","Puede que lo vote",0.122,0.047,0.024,0.039,0,0.181
"P41","Nunca lo votaría",0.078,0.875,0.862,0.785,0.859,0.427
"P41","No sabe",0.105,0.019,0.063,0.013,0.141,0.359
"P42","Lo votaría",0.015,0.68,0.079,0.204,0,0.02
"P42","Puede que lo vote",0.04,0.131,0.228,0,0.199,0.043
"P42","Nunca lo votaría",0.843,0.149,0.589,0.796,0.699,0.435
"P42","No sabe",0.102,0.04,0.104,0,0.102,0.502
"P43","Lo votaría",0.028,0.135,0.81,0.099,0,0.01
"P43","Puede que lo vote",0.029,0.138,0.044,0,0.17,0.411
"P43","Nunca lo votaría",0.895,0.685,0.096,0.901,0.728,0.386
"P43","No sabe",0.048,0.042,0.05,0,0.102,0.193
"P44","Lo votaría",0.088,0.219,0.113,0,0,0.006
"P44","Puede que lo vote",0.103,0.128,0.082,0.07,0,0.207
"P44","Nunca lo votaría",0.704,0.565,0.709,0.93,0.951,0.194
"P44","No sabe",0.105,0.088,0.096,0,0.049,0.593
"P45","Si",0.39,0.364,0.354,0.67,0.079,0.39
"P45","No",0.61,0.636,0.646,0.33,0.921,0.61
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.88,0.047,0.06,0.012,0,0.018
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.031,0.814,0.039,0.069,0,0.018
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.04,0.134,0.901,0.077,0.034,0.068
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.021,0,0,0.842,0,0
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.009,0.004,0,0,0.47,0.047
"PRESIDENTE","En blanco",0.012,0,0,0,0.496,0.041
"PRESIDENTE","No sabe",0.007,0.001,0,0,0,0.808
"INTENDENTE","Gustavo Menéndez a intendente por Unión por la Patria.",0.724,0.031,0.079,0.039,0.022,0.005
"INTENDENTE","Zencich a intendente por Juntos por el Cambio",0.045,0.791,0.024,0,0.008,0.016
"INTENDENTE","Eduardo Varela a intendente por la Libertad Avanza",0.018,0.063,0.822,0,0.012,0.017
"INTENDENTE","Raul Othacehé a intendente por el frente vecinal crecer",0.056,0.094,0.045,0.06,0.216,0.052
"INTENDENTE","El candidato a intendente de la Izquierda",0.075,0.001,0.024,0.891,0.07,0
"INTENDENTE","En blanco",0.046,0.002,0.001,0.01,0.641,0.078
"INTENDENTE","No sabe",0.036,0.018,0.005,0,0.031,0.832
"CORTA_PRESIDENTE","Si",0.113,0.139,0.051,0.092,0.036,0.107
"CORTA_PRESIDENTE","No",0.887,0.861,0.949,0.908,0.964,0.893
"CORTA_GOBERNADOR","Si",0.15,0.163,0.114,0.187,0.05,0.199
"CORTA_GOBERNADOR","No",0.85,0.837,0.886,0.813,0.95,0.801
"CORTA_INTENDENTE","Si",0.296,0.206,0.164,0.395,0.163,0.153
"CORTA_INTENDENTE","No",0.704,0.794,0.836,0.605,0.837,0.847
